Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1953,18,DET,AL,30,30,0,0,0,-3,0,-4,-0.5,1,-4,-0.4,0.485,0.497,0.0,-0.4,0,$6000.00,8/79,
1954,19,DET,AL,138,535,-16,-1,0,19,-6,-5,-0.6,16,12,1.1,0.496,0.497,-0.9,1.4,-7,$6000.00,*9,MVP-23RoY-3
1955,20,DET,AL,152,681,53,3,1,10,-7,60,6.2,20,80,8.2,0.54,0.538,7.1,0.4,70,$9000.00,*9,ASMVP-2
1956,21,DET,AL,153,693,35,3,3,11,-7,46,4.6,20,66,6.5,0.530,0.5,5.3,0.5,55,$20000.00,*98/7,ASMVP-3
1957,22,DET,AL,149,636,18,1,1,20,-7,34,3.6,20,53,6,0.525,0.523,3.5,1.4,34,$29000.00,*98/7,ASMVP-10GG
1958,23,DET,AL,146,607,20,5,-2,26,-6,43,4.6,19,62,6.5,0.532,0.529,4,2.2,35,$29000.00,*9/8,ASMVP-20GG
1959,24,DET,AL,136,594,33,5,-1,7,-1,42,4,18,60,6.0,0.533,0.527,5.4,0.4,54,$31000.00,*89,ASMVP-6GG
1960,25,DET,AL,147,629,8,2,0,-1,-1,8,0.6,19,28,2.5,0.506,0.505,3,-0.3,28,$40000.00,*8,AS
1961,26,DET,AL,153,665,39,4,-1,29,-6,65,6.4,20,85,8.4,0.544,0.541,5.6,2.3,56,$39000.00,*98/57,ASMVP-9GG
1962,27,DET,AL,100,452,29,0,-2,8,-4,31,3.0,13,44,4.4,0.532,0.520,3.7,0.3,36,$49000.00,9,ASMVP-6GG
1963,28,DET,AL,145,616,35,2,-1,4,-6,35,3.6,19,53,5.4,0.526,0.523,5.2,-0,49,$55000.00,*9/8,ASMVP-2GG
1964,29,DET,AL,146,608,23,4,0,15,-6,36,3.7,19,54,6,0.527,0.525,4.1,0.9,39,$56000.00,*9,ASMVP-14GG
1965,30,DET,AL,125,474,21,3,-1,-8,-3,13,1.4,15,27,2.8,0.511,0.51,3.9,-1.3,36,$54000.00,*89/5,ASMVP-16GG
1966,31,DET,AL,142,572,39,-1,0,0,-3,36,3.7,19,54,5.6,0.528,0.525,5.9,-0.5,54,$54000.00,*89,ASMVP-7GG
1967,32,DET,AL,131,550,43,5,-2,10,-5,51,5.7,18,69,7.5,0.545,0.537,6.6,0.4,59,$54000.00,*9/8,ASMVP-5GG
1968,33,DET,AL,102,389,18,0,0,4,-5,17,2,13,30,3.3,0.521,0.513,3.0,-0.2,26,$70000.00,93/7,
1969,34,DET,AL,131,518,13,3,0,3,-6,12,1.3,18,30,3.1,0.511,0.508,2.9,-0.4,27,$88000.00,*9/3,
1970,35,DET,AL,131,555,19,2,-2,1,-7,13,1.3,19,32,3.2,0.511,0.508,3.2,-0.7,30,$90000.00,93,
1971,36,DET,AL,133,501,26,-3,-1,-3,-5,14,2,17,31,3.2,0.512,0.510,3.7,-1.0,34,$95000.00,*9/38,AS
1972,37,DET,AL,106,314,15,0,-2,2,-4,12,1.4,11,23,2.6,0.514,0.51,2.5,-0.4,21,$100000.00,93,MVP-24
1973,38,DET,AL,91,347,-3,1,-1,0,-5,-8,-0.7,12,5,0.5,0.491,0.495,0.4,-0.4,5,$100000.00,93,
1974,39,DET,AL,147,630,4,-1,-1,0,-13,-12,-1,22,10,0.9,0.491,0.5,1.0,-1.5,10,$110000.00,*D,AS
22 Seasons,22 Seasons,22 Seasons,,2834,11596,471,36,-10,153,-113,537,55.5,368,905,92.8,0.521,0.518,78,2.8,752,$1184000.00,,
