Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1928,19,BRO,NL,3,12,-3,0,0,0,0,-3,-0.4,0,-3,-0.3,0.385,0.498,-0.3,0.0,-3,,/2,
,,,,,,,,,,,,,,,,,,,,,,,
1930,21,BRO,NL,128,466,-7,0,0,2,4,-2,-0.2,14,13,1.3,0.50,0.499,1.2,0.5,11,,*2,
1931,22,BRO,NL,111,391,-11,0,0,-2,3,-10,-1.1,12,2,0.2,0.491,0.5,0.5,0.1,4,,*2,
1932,23,BRO,NL,126,444,-7,0,0,0,4,-3,-0.4,14,11,1,0.498,0.498,1.1,0.4,11,$7000.00,*2,
1933,24,BRO,NL,126,403,3,0,0,3,3,10,1.0,12,22,2.4,0.509,0.507,2,0.7,19,,*2/4,MVP-10
1934,25,BRO,NL,140,504,2,0,0,-2,4,4,0,16,20,2.0,0.503,0.503,2.2,0.3,22,$12000.00,*2/45,ASMVP-23
1935,26,BRO,NL,128,425,-12,0,0,1,4,-8,-0.8,13,5,0.6,0.494,0.495,1,0.5,4,,*2,
1936,27,BSN,NL,128,470,-10,0,0,1,4,-4,-0.5,15,11,1.1,0.497,0.497,1.0,0.5,10,,*2/3,MVP-14
1937,28,BSN,NL,105,377,-18,0,0,1,3,-14,-1.5,12,-2,-0.2,0.486,0.491,-0.3,0.4,-3,$10000.00,2,
1938,29,BSN,NL,71,256,-6,0,0,1,2,-3,-0.4,8,5,0.5,0.495,0.498,0.4,0,4,,2,MVP-21
1939,30,BSN,NL,131,464,-5,0,0,2,4,2,0.1,15,17,2,0.501,0.501,1.6,0.6,15,,*2,
1940,31,BSN,NL,36,126,1,0,0,1,1,3,0.2,4,7,0.7,0.507,0.50,0.6,0.2,6,,2,MVP-23
1940,31,PIT,NL,59,191,-5,0,0,2,2,-1,-0.2,7,5,0.5,0.498,0.499,0.3,0.4,3,,2,MVP-23
1941,32,PIT,NL,114,354,-3,0,0,1,3,1,0.1,12,14,1.4,0.501,0.501,1.3,0.4,12,,*2,ASMVP-24
1942,33,PIT,NL,103,332,-3,0,0,4,3,4,0,11,14,1.5,0.504,0.503,1.1,0.7,10,,2,
1943,34,PIT,NL,118,428,-5,0,0,3,4,2,0.2,14,15,1.6,0.502,0.501,1.3,0.7,12,,*2/5,
1944,35,PIT,NL,115,372,-15,0,0,-1,3,-14,-1.5,12,-2,-0.3,0.487,0.491,-0.2,0.2,-1,,*2,
1945,36,PIT,NL,91,280,-13,0,0,1,2,-10,-1,9,-1,-0.1,0.489,0.494,-0.2,0.4,-2,,2,MVP-29
1946,37,PIT,NL,56,178,3,0,0,1,2,5,0.6,7,12,1.2,0.51,0.503,1.1,0.3,11,,2,
1947,38,CLE,AL,61,135,-5,0,0,1,1,-3,-0.4,4,1,0,0.494,0.498,-0.1,0.2,0,,2,
19 Seasons,19 Seasons,19 Seasons,,1950,6608,-121,0,0,20,55,-46,-5.3,211,166,16.6,0.498,0.499,14.9,7.6,145,$29000.00,,
PIT (7 yrs),PIT (7 yrs),PIT (7 yrs),,656,2135,-42,0,0,11,18,-13,-1.5,70,58,5.7,0.498,0.499,4.7,3.1,47,,,
BRO (7 yrs),BRO (7 yrs),BRO (7 yrs),,762,2645,-36,0,0,2,22,-12,-1.4,82,70,7.1,0.499,0.499,7.1,2.4,68,$19000.00,,
BSN (5 yrs),BSN (5 yrs),BSN (5 yrs),,471,1693,-38,0,0,6,14,-18,-2.1,55,38,3.8,0.496,0.497,3.2,1.9,32,$10000.00,,
CLE (1 yr),CLE (1 yr),CLE (1 yr),,61,135,-5,0,0,1,1,-3,-0.4,4,1,0,0.494,0.498,-0.1,0.2,0,,,
