Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1924,22,PHA,AL,152,647,-5,-2,0,2,-5,-11,-0.9,24,14,1.5,0.493,0.494,1.2,-0.2,12,$4125.00,*87/9,MVP-11
1925,23,PHA,AL,153,697,46,-3,0,5,-4,44,4.0,25,69,6.6,0.526,0.525,6.1,0.1,64,$6000.00,*8,MVP-2
1926,24,PHA,AL,147,642,33,2,0,-4,-4,28,2.7,24,52,5.1,0.52,0.517,5.5,-0.8,56,$11000.00,*8,MVP-5
1927,25,PHA,AL,106,457,43,2,0,2,-3,44,4.2,17,61,5.8,0.539,0.5,5.6,-0.1,59,$13000.00,*87/9,MVP-4
1928,26,PHA,AL,119,509,29,-1,0,4,-5,27,2.7,19,46,5,0.522,0.516,4.2,-0.1,42,$15000.00,*7,
1929,27,PHA,AL,143,629,49,1,0,16,-7,59,5.5,23,82,7.9,0.539,0.534,6,0.9,66,$15000.00,*7,
1930,28,PHA,AL,138,611,63,2,0,4,-6,63,6,23,85,7.8,0.540,0.534,7.3,-0.2,81,$25000.00,*7/8,
1931,29,PHA,AL,128,563,55,0,0,9,-6,59,5.4,21,80,7.5,0.542,0.533,7,0.4,71,$33333.00,*7/8,MVP-3
1932,30,PHA,AL,154,718,26,1,0,-1,-7,19,1.7,26,45,4.2,0.512,0.511,4.3,-0.8,46,$33333.00,*7/8,MVP-9
1933,31,CHW,AL,146,648,25,2,0,10,-7,30,2.9,24,54,5.2,0.520,0.518,4.2,0.4,44,$33333.00,*7/8,ASMVP-8
1934,32,CHW,AL,138,613,30,0,0,2,-6,26,2.3,23,48,4.5,0.517,0.515,4.4,-0,46,$25000.00,*7/8,ASMVP-11
1935,33,CHW,AL,128,562,-12,-1,0,8,-2,-7,-0.8,21,14,1.2,0.495,0.496,0.6,0.5,6,$25000.00,*87,AS
1936,34,DET,AL,143,620,12,0,0,2,-2,11,1.0,22,33,3.0,0.51,0.506,2.9,0.0,31,$15000.00,*8/73,
1937,35,WSH,AL,103,453,-5,0,0,6,-5,-3,-0.3,16,13,1.2,0.497,0.498,0.7,0.1,7,$15000.00,7/8,
1938,36,WSH,AL,125,512,14,0,0,0,-5,10,1,18,28,2.6,0.507,0.5,2.6,-0,28,$10000.00,*7/89,
1939,37,BSN,NL,93,358,4,0,0,1,-4,1,0.1,12,13,1.3,0.501,0.501,1.2,-0,12,,7,
1939,37,CIN,NL,9,23,-3,0,0,0,0,-3,-0.4,1,-2,-0.3,0.463,0.498,-0.3,0.0,-2,,/7,
1940,38,PHA,AL,37,85,-1,0,0,1,-1,-1,-0.1,3,2,0.2,0.499,0.500,0.1,0,1,$6000.00,7,
1941,39,PHA,AL,9,25,-4,0,0,0,0,-4,-0.4,1,-3,-0.3,0.455,0.497,-0.3,0.0,-3,$6000.00,/7,
,,,,,,,,,,,,,,,,,,,,,,,
1943,41,BOS,AL,40,141,-8,0,0,0,-2,-10,-1.2,4,-6,-0.8,0.47,0.493,-0.8,-0.2,-6,$7500.00,7,
1944,42,PHA,AL,4,6,1,0,0,0,0,1,0.1,0,1,0.1,0.516,0.500,0.1,0,1,$6000.00,/7,
20 Seasons,20 Seasons,20 Seasons,,2215,9519,391,3,0,67,-80,381,34.8,348,728,68.8,0.516,0.514,62.5,-1.1,662,$304624.00,,
PHA (12 yrs),PHA (12 yrs),PHA (12 yrs),,1290,5589,335,2,0,38,-48,327,30.4,207,534,50.9,0.524,0.520,47.0,-1,496,$173791.00,,
CHW (3 yrs),CHW (3 yrs),CHW (3 yrs),,412,1823,43,0,0,20,-15,48,4,68,116,10.9,0.511,0.510,9.2,0.5,97,$83333.00,,
WSH (2 yrs),WSH (2 yrs),WSH (2 yrs),,228,965,9,0,0,6,-10,6,0.6,35,41,3.8,0.502,0.502,3.2,-0.3,35,$25000.00,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,93,358,4,0,0,1,-4,1,0.1,12,13,1.3,0.501,0.501,1.2,-0.4,12,,,
BOS (1 yr),BOS (1 yr),BOS (1 yr),,40,141,-8,0,0,0,-2,-10,-1.2,4,-6,-0.8,0.470,0.493,-0.8,-0.2,-6,$7500.00,,
CIN (1 yr),CIN (1 yr),CIN (1 yr),,9,23,-3,0,0,0,0,-3,-0.4,1,-2,-0.3,0.463,0.50,-0.3,0.0,-2,,,
DET (1 yr),DET (1 yr),DET (1 yr),,143,620,12,0,0,2,-2,11,1,22,33,3,0.507,0.506,2.9,0,31,$15000.00,,
