Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1977,19,DET,AL,19,48,-5,0,0,-4,1,-8,-0.8,2,-6,-0.7,0.457,0.495,-0.2,-0.3,-2,,6,
1978,20,DET,AL,139,504,-7,0,1,6,9,10,1.1,18,28,2.8,0.507,0.506,2.2,1.7,21,$21000.00,*6,RoY-4
1979,21,DET,AL,142,520,-9,-2,2,-11,9,-12,-1.1,19,7,0.7,0.49,0.493,1.8,-0.1,18,$65000.00,*6,
1980,22,DET,AL,146,652,12,2,1,2,10,27,2.9,21,48,4.8,0.519,0.5,4.6,1.3,46,$130000.00,*6,ASMVP-20GG
1981,23,DET,AL,105,463,-4,4,1,15,7,21,2.3,15,36,4,0.523,0.515,2.2,2.4,22,,*6,MVP-21GG
1982,24,DET,AL,157,556,-2,4,1,10,10,23,2.4,19,42,4.2,0.515,0.515,3,2.1,32,,*6,
1983,25,DET,AL,142,581,28,3,1,-1,9,40,4,20,60,6.0,0.529,0.525,6.2,0.9,61,,*6,MVP-15GG
1984,26,DET,AL,139,626,27,-3,2,15,6,46,4.8,20,67,6.7,0.535,0.530,5,2.2,51,,*6D,ASMVP-9GG
1985,27,DET,AL,149,678,-10,0,0,8,10,9,1.0,22,31,3.0,0.506,0.506,2.2,1.9,22,$517143.00,*6,AS
1986,28,DET,AL,151,653,19,3,2,8,9,42,4.3,22,64,6.4,0.528,0.526,5.5,1.9,56,$567143.00,*6/D,
1987,29,DET,AL,151,668,50,5,0,0,10,65,6.2,22,87,8.2,0.540,0.538,8.3,1,87,$617143.00,*6,ASMVP-2SS
1988,30,DET,AL,128,523,25,4,-1,6,8,41,4.4,18,59,6,0.533,0.526,5.4,1.5,53,$1000000.00,*6,ASMVP-7SS
1989,31,DET,AL,121,506,-4,1,1,13,7,18,2.0,18,36,3.7,0.516,0.51,2.3,2.3,23,$1100000.00,*6/D,
1990,32,DET,AL,146,637,22,0,2,11,9,43,4.6,22,65,6.7,0.531,0.528,5.7,2.0,55,$1800000.00,*6/D,ASMVP-19SS
1991,33,DET,AL,101,421,-2,3,2,9,6,17,1.9,15,32,3.3,0.518,0.511,2.4,1.6,23,$2200000.00,6/D,
1992,34,DET,AL,29,120,2,-1,1,1,2,5,0.5,5,9,1.0,0.518,0.503,0.9,0.3,9,$2400000.00,6/D,
1993,35,DET,AL,112,447,22,1,2,-1,4,27,2.7,17,44,4.3,0.524,0.517,4.5,0.3,45,$1827500.00,65/D87,
1994,36,DET,AL,76,311,-7,0,0,-8,3,-11,-1,12,0,0,0.486,0.493,0.8,-0.4,8,$3000000.00,6D,
1995,37,DET,AL,74,255,-5,1,-1,2,3,-1,0,10,9,0.9,0.499,0.5,0.7,0.5,7,$1300000.00,6/D,
1996,38,DET,AL,66,207,-21,1,1,-5,3,-20,-1.7,8,-12,-1.1,0.472,0.489,-0.7,-0.1,-7,$600000.00,64/57,
20 Seasons,20 Seasons,20 Seasons,,2293,9376,132,25,14,77,133,382,40.4,323,705,70.7,0.517,0.515,63,22.7,628,$17144929.00,,
