Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1976,21,MON,NL,24,92,-4,0,0,-1,0,-5,-0.6,3,-2,-0.3,0.475,0.496,-0.2,-0.2,-1,,8/79,
1977,22,MON,NL,139,566,10,2,2,7,-1,21,2.1,18,39,3.9,0.516,0.514,3.1,0.7,32,$25000.00,*87/9,RoY-1
1978,23,MON,NL,157,660,8,2,2,12,0,24,2.7,21,45,4.8,0.52,0.517,3.3,1.4,33,,*8,
1979,24,MON,NL,155,684,6,2,1,4,0,13,1.4,21,35,3.6,0.509,0.5,3.1,0.4,31,,*8,MVP-24
1980,25,MON,NL,151,638,29,3,2,8,0,43,4.6,22,64,7,0.531,0.529,5.9,0.9,56,,*8,MVP-7GGSS
1981,26,MON,NL,103,441,29,4,0,18,1,52,6.0,15,67,7.5,0.557,0.536,5,2.2,49,,*8,ASMVP-2GGSS
1982,27,MON,NL,148,660,26,5,2,18,1,52,6,21,73,7.9,0.539,0.535,5.7,2.1,55,$1200000.00,*8,ASMVP-21GG
1983,28,MON,NL,159,698,29,2,2,9,2,43,4.5,23,66,6.9,0.530,0.529,6,1.2,57,,*8,ASMVP-2GGSS
1984,29,MON,NL,138,583,1,1,0,11,-5,8,0.9,20,28,2.9,0.507,0.506,1.6,0.7,17,,*9,GG
1985,30,MON,NL,139,570,3,-1,1,3,-4,2,0.2,19,21,2.2,0.501,0.501,1.7,-0.1,18,$1033333.00,*98,GG
1986,31,MON,NL,130,546,12,-1,-1,-1,-4,5,0.5,19,23,2.4,0.504,0.503,2.4,-1,24,$1047000.00,*9,
1987,32,CHC,NL,153,662,23,0,0,-1,-5,18,1.8,22,40,4,0.512,0.511,4.0,-0.6,41,$700000.00,*9,ASMVP-1GGSS
1988,33,CHC,NL,157,640,28,-1,-1,2,-5,24,2.6,22,46,4.9,0.517,0.52,4.6,-0.4,43,$1850000.00,*9,ASMVP-15GG
1989,34,CHC,NL,118,459,5,0,-1,5,-4,6,0.5,15,20,2.0,0.505,0.504,1.4,0.1,15,$2100000.00,*9,AS
1990,35,CHC,NL,147,581,24,1,0,-17,-5,3,0.4,19,22,2.2,0.502,0.502,3.9,-2.3,39,$2100000.00,*9,ASMVP-19
1991,36,CHC,NL,149,596,13,-2,0,3,-5,10,1.0,19,29,2.9,0.507,0.507,2.5,-0.2,26,$3325000.00,*9,ASMVP-14
1992,37,CHC,NL,143,582,10,-1,0,5,-5,9,1,18,27,2.8,0.507,0.506,2.1,0,22,$3300000.00,*9,
1993,38,BOS,AL,121,498,-6,0,-2,-3,-10,-20,-2,19,-1,-0.2,0.484,0.488,0.2,-1.3,2,$4875000.00,D9,
1994,39,BOS,AL,75,306,-12,-2,-2,0,-7,-23,-2.1,11,-11,-1.1,0.472,0.487,-1,-0.6,-11,$4425000.00,D,
1995,40,FLA,NL,79,246,-3,0,-1,-10,-2,-16,-1.6,8,-8,-0.9,0.48,0.49,0.1,-1.2,2,$500000.00,97,
1996,41,FLA,NL,42,61,0,0,0,-3,0,-3,-0.3,2,-1,-0.1,0.493,0.498,0.2,-0.3,2,$500000.00,/7,
21 Seasons,21 Seasons,21 Seasons,,2627,10769,234,14,6,70,-58,265,29.2,357,622,64.8,0.511,0.511,55.4,1.6,552,$26980333.00,,
MON (11 yrs),MON (11 yrs),MON (11 yrs),,1443,6138,150,18,11,88,-10,257,28,203,460,48.4,0.52,0.517,37.6,8.6,372,$3305333.00,,
CHC (6 yrs),CHC (6 yrs),CHC (6 yrs),,867,3520,105,-3,-2,-2,-29,69,7.3,114,183,18.7,0.509,0.508,18.4,-3.5,186,$13375000.00,,
BOS (2 yrs),BOS (2 yrs),BOS (2 yrs),,196,804,-18,-2,-4,-3,-17,-42,-4.1,30,-12,-1.3,0.479,0.487,-0.9,-1.9,-9,$9300000.00,,
FLA (2 yrs),FLA (2 yrs),FLA (2 yrs),,121,307,-3,0,-1,-13,-2,-19,-2,9,-9,-1,0.485,0.493,0.2,-1.6,4,$1000000.00,,
