Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1932,20,PIT,NL,129,555,12,-1,0,1,9,21,2.0,17,38,3.8,0.516,0.513,3.8,1.0,37,$2500.00,*6,MVP-23
1933,21,PIT,NL,152,655,34,0,0,0,10,45,4.8,20,64,7.0,0.532,0.530,7.0,1.1,64,$4500.00,*6,MVP-23
1934,22,PIT,NL,149,660,42,-1,0,-4,10,47,4.6,20,67,6.6,0.53,0.528,7.0,0.6,71,$7500.00,*6,ASMVP-23
1935,23,PIT,NL,137,609,71,0,0,-3,9,77,7.4,18,95,9.2,0.553,0.5,9.5,0.7,98,,*6,ASMVP-3
1936,24,PIT,NL,156,701,47,-1,0,-2,10,55,5.3,22,77,8,0.534,0.533,7.7,0.8,79,,*6,AS
1937,25,PIT,NL,126,532,23,-1,0,4,7,33,3.3,17,50,5.1,0.527,0.521,5,1.1,46,$12500.00,*67,AS
1938,26,PIT,NL,148,650,36,-1,0,18,10,63,6,21,84,8.6,0.544,0.540,6.7,2.8,66,,*6,ASMVP-3
1939,27,PIT,NL,152,693,19,-1,0,2,10,30,2.9,21,51,5.2,0.520,0.519,5,1.2,49,,*6,AS
1940,28,PIT,NL,156,689,30,-1,0,0,10,39,3.9,23,62,6.3,0.526,0.525,6.4,1.0,62,,*6/5,ASMVP-15
1941,29,PIT,NL,106,438,21,-1,0,1,7,28,2.9,15,43,4.5,0.528,0.518,4.4,0.8,42,,6/5,ASMVP-35
1942,30,BRO,NL,128,558,2,-1,0,3,1,5,0.5,18,22,2.3,0.504,0.503,2.1,0,19,,*5/64,AS
1943,31,BRO,NL,149,685,20,0,0,-4,7,23,2.5,20,43,5,0.517,0.516,5.1,0.3,47,,65,MVP-15
,,,,,,,,,,,,,,,,,,,,,,,
1947,35,BRO,NL,64,153,8,0,0,3,-1,9,0.9,6,15,1.5,0.515,0.506,1.2,0.2,12,,75,
1948,36,BRO,NL,65,144,-2,0,0,2,-1,0,-0.1,6,5,0.5,0.499,0.500,0.3,0.1,3,,7/5,
14 Seasons,14 Seasons,14 Seasons,,1817,7722,363,-7,0,21,97,473,47,244,718,72.9,0.527,0.523,71.0,12.0,697,$27000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
PIT (10 yrs),PIT (10 yrs),PIT (10 yrs),,1411,6182,335,-7,0,17,92,437,43.4,195,632,64.0,0.531,0.528,62.4,11.0,615,$27000.00,,
BRO (4 yrs),BRO (4 yrs),BRO (4 yrs),,406,1540,28,0,0,4,5,37,4,50,86,8.9,0.510,0.508,8.7,1.0,82,,,
