Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1914,19,BOS,AL,5,10,-1,0,0,0,1,0,0.0,0,0,0.0,0.503,0.500,0.0,0.0,0,$350.00,/1,
1915,20,BOS,AL,42,103,8,0,0,0,7,16,1.7,0,16,1.7,0.541,0.511,1.7,0.0,16,$2500.00,1,
1916,21,BOS,AL,67,152,3,0,0,0,10,13,1.5,1,14,1.6,0.52,0.510,1.6,0.0,14,$3500.00,1,
1917,22,BOS,AL,52,142,8,0,0,0,9,18,2.1,0,18,2.1,0.540,0.5,2.1,0.0,18,$3500.00,1,
1918,23,BOS,AL,95,382,33,0,0,1,-3,30,3.6,14,45,5,0.538,0.522,4.6,-0.3,44,$5000.00,7138,
1919,24,BOS,AL,130,543,67,0,0,7,-6,68,7.4,20,89,9.1,0.556,0.545,8,0.2,82,,*71/38,
1920,25,NYY,AL,142,616,109,-1,0,1,-7,102,10,23,125,11.9,0.568,0.560,11.8,-0.5,124,$20000.00,*978/31,
1921,26,NYY,AL,152,693,116,-1,0,6,-7,115,10.4,25,140,12.9,0.568,0.564,12,0.0,134,$20000.00,*78/31,
1922,27,NYY,AL,110,496,48,-1,0,5,-5,47,4.4,18,64,6.3,0.541,0.528,5.9,-0.1,59,$52000.00,*79/3,
1923,28,NYY,AL,152,697,114,-4,0,19,-7,122,11.5,25,147,14.1,0.576,0.572,12.2,1.2,128,$52000.00,*97/83,MVP-1
1924,29,NYY,AL,153,681,100,-2,0,9,-7,99,9.3,25,125,11.7,0.560,0.556,10.8,0,116,$52000.00,*97/8,
1925,30,NYY,AL,98,426,18,0,0,7,-5,20,1.9,16,36,3.5,0.519,0.512,2.8,0.2,29,$52000.00,97,
1926,31,NYY,AL,152,652,97,-1,0,5,-7,95,9.0,25,120,11.5,0.56,0.556,11.0,-0.2,114,$52000.00,*79/3,
1927,32,NYY,AL,151,691,102,0,0,12,-7,106,9.9,25,131,12.4,0.565,0.561,11.2,0.5,119,$70000.00,*97,
1928,33,NYY,AL,154,684,85,0,0,2,-7,80,8,25,104,10.1,0.549,0.5,9.9,-1,102,$70000.00,*97,
1929,34,NYY,AL,135,587,67,1,0,1,-6,63,5.8,22,85,8.0,0.543,0.536,7.9,-1,84,$70000.00,*97,
1930,35,NYY,AL,145,676,98,-2,0,2,-7,91,7.9,24,115,10.3,0.555,0.549,10.0,-0.4,113,$80000.00,*97/1,
1931,36,NYY,AL,145,663,97,0,0,-2,-7,88,8.0,24,112,10.3,0.555,0.549,10.4,-0.8,114,$80000.00,*97/3,MVP-5
1932,37,NYY,AL,133,589,76,0,0,0,-6,70,6.2,22,92,8.3,0.547,0.539,8.4,-0.6,92,$75000.00,*97/3,MVP-6
1933,38,NYY,AL,137,576,53,-1,0,0,-6,46,4.3,22,68,6.3,0.532,0.527,6.3,-0.6,68,$52000.00,*97/31,AS
1934,39,NYY,AL,125,472,37,-1,0,6,-5,37,3.4,18,55,5.1,0.527,0.521,4.6,0.1,49,$35000.00,*97,AS
1935,40,BSN,NL,28,92,2,0,0,-2,-1,-1,-0.1,3,2,0.2,0.497,0.499,0.4,-0,4,,7/9,
22 Seasons,22 Seasons,22 Seasons,,2503,10623,1335,-12,0,79,-78,1324,125.5,377,1702,162.1,0.550,0.543,154.3,-2.3,1623,$846850.00,,
NYY (15 yrs),NYY (15 yrs),NYY (15 yrs),,2084,9199,1215,-12,0,73,-95,1181,109.4,338,1519,142.6,0.6,0.547,135.5,-1.9,1446,$832000.00,,
BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),,391,1332,118,0,0,8,18,145,16.2,36,181,19.3,0.541,0.525,18.4,0.0,173,$14850.00,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,28,92,2,0,0,-2,-1,-1,-0.1,3,2,0.2,0.497,0.499,0.4,-0.3,4,,,
