Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1986,22,CIN,NL,41,169,-1,4,1,3,3,8,0.9,6,14,1.5,0.522,0.506,1.1,0.6,11,$60000.00,2,RoY-7
1987,23,CIN,NL,125,488,-13,0,1,0,7,-4,-0.4,17,13,1.2,0.497,0.497,1.1,0.8,12,$77500.00,*6,
1988,24,CIN,NL,151,652,15,7,0,11,9,43,4.8,22,65,7.0,0.53,0.530,5.8,2.3,54,$127500.00,*6,ASSS
1989,25,CIN,NL,97,357,14,2,-1,4,5,25,2.7,11,36,3.8,0.529,0.5,3.4,1.0,32,$302500.00,6,ASSS
1990,26,CIN,NL,158,681,5,7,0,10,10,32,3.6,21,54,6,0.522,0.522,4.3,2.2,44,$750000.00,*6,ASMVP-7SS
1991,27,CIN,NL,123,527,27,4,1,3,8,42,4.5,17,59,6.1,0.537,0.528,6,1.1,56,$2100000.00,*6,ASMVP-17SS
1992,28,CIN,NL,140,609,24,3,0,-2,9,34,4,18,52,5.6,0.528,0.524,5.8,0.8,54,$4350000.00,*6,MVP-12SS
1993,29,CIN,NL,100,440,16,5,0,-2,6,25,2.5,13,38,3.8,0.525,0.516,4,0.5,40,$5750000.00,6,AS
1994,30,CIN,NL,110,501,5,7,2,5,7,26,2.5,15,40,4.0,0.523,0.516,3.5,1.2,36,$4400000.00,*6,ASGG
1995,31,CIN,NL,131,567,27,12,2,-5,8,44,4.2,17,61,5.9,0.533,0.527,6.4,0.3,66,$5900000.00,*6,ASMVP-1GGSS
1996,32,CIN,NL,152,627,45,7,-1,-2,9,58,5.3,19,77,7.2,0.537,0.535,7.6,1,79,$5700000.00,*6,ASMVP-12GGSS
1997,33,CIN,NL,73,276,16,1,0,7,4,27,2.6,9,36,4,0.537,0.517,2.8,1.0,29,$5350000.00,6/D,AS
1998,34,CIN,NL,145,626,26,4,1,1,8,41,3.8,19,60,5.7,0.528,0.53,5.7,0.9,59,$5300000.00,*6,SS
1999,35,CIN,NL,161,687,6,7,0,12,9,34,3.0,21,55,5.1,0.520,0.520,4.0,2.0,43,$5300000.00,*6,ASMVP-22SS
2000,36,CIN,NL,102,447,11,1,1,-5,6,14,1.2,14,28,2.6,0.513,0.508,3.0,0.1,33,$5300000.00,6/D,AS
2001,37,CIN,NL,45,185,0,1,1,-4,2,-1,-0.1,6,5,0.5,0.499,0.500,0.9,-0.2,9,$9000000.00,6,
2002,38,CIN,NL,145,567,-22,4,-1,-7,7,-19,-2,18,-1,-0.3,0.486,0.488,0.4,0,6,$9000000.00,*6,
2003,39,CIN,NL,70,265,-1,2,-1,-1,3,1,0,8,9,0.9,0.502,0.501,1.0,0.2,10,$9000000.00,6,
2004,40,CIN,NL,111,386,1,3,-1,-11,4,-4,-0.5,12,8,0.7,0.496,0.498,2,-0.7,19,$700000.00,6,AS
19 Seasons,19 Seasons,19 Seasons,,2180,9057,200,80,4,18,124,426,42.5,283,709,70.4,0.52,0.516,68.2,14.4,692,$78467500.00,,
