Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1928,21,NYY,AL,10,16,-1,0,0,0,0,-1,-0.1,1,0,0.0,0.490,0.499,0.0,0.0,0,$2500.00,/2,
1929,22,NYY,AL,130,474,11,-1,0,2,4,16,1.5,18,33,3.3,0.512,0.509,3.1,0.6,31,$3000.00,*2,
1930,23,NYY,AL,109,396,12,2,0,-1,3,16,1.4,15,31,2.9,0.51,0.509,3.0,0.2,32,$10000.00,2,
1931,24,NYY,AL,130,524,15,1,0,3,4,23,2.2,20,43,4.1,0.517,0.5,3.8,0.7,40,$12500.00,*2,
1932,25,NYY,AL,108,459,14,-1,0,-1,4,16,1.4,17,33,3,0.513,0.509,3.2,0.3,34,$12500.00,*2,MVP-14
1933,26,NYY,AL,130,532,25,0,0,0,4,29,2.8,20,49,4.6,0.521,0.517,5,0.4,49,$12500.00,*2,ASMVP-12
1934,27,NYY,AL,104,438,19,-1,0,1,3,22,2,16,38,3.6,0.520,0.513,3.5,0.4,37,$14500.00,*2,AS
1935,28,NYY,AL,120,491,6,0,0,1,4,11,0.9,18,29,2.7,0.509,0.506,3,0.4,28,$14500.00,*2,
1936,29,NYY,AL,112,472,39,-1,0,0,4,42,3.6,17,59,5.1,0.532,0.522,5.2,0.3,59,$14500.00,*2,ASMVP-5
1937,30,NYY,AL,140,609,38,0,0,3,5,46,4.2,22,68,6.2,0.530,0.526,6.0,0.7,65,$18000.00,*2,ASMVP-5
1938,31,NYY,AL,132,533,32,1,0,0,4,37,3.4,19,57,5.1,0.525,0.520,5.1,1,57,$20000.00,*2,ASMVP-2
1939,32,NYY,AL,128,565,27,2,0,2,4,34,3.2,20,55,5.1,0.525,0.519,4.9,0.6,53,$23000.00,*2,ASMVP-6
1940,33,NYY,AL,106,424,-7,-1,0,3,3,-2,-0.2,14,13,1.2,0.50,0.499,0.9,0.7,9,$24000.00,2,AS
1941,34,NYY,AL,109,397,6,0,0,3,3,13,1.3,14,26,2.6,0.512,0.508,2.3,0.7,23,$20000.00,*2,ASMVP-13
1942,35,NYY,AL,82,295,4,0,0,1,2,7,1,9,15,1.6,0.509,0.5,1.5,0,14,$19500.00,2,ASMVP-17
1943,36,NYY,AL,85,284,23,0,0,2,2,27,3.1,8,35,3.9,0.536,0.5,3.7,0.5,33,$19500.00,2,ASMVP-8
,,,,,,,,,,,,,,,,,,,,,,,
1946,39,NYY,AL,54,156,1,0,0,1,1,3,0.3,5,8,0.8,0.506,0.502,0.7,0.3,7,,2,AS
17 Seasons,17 Seasons,17 Seasons,,1789,7065,262,1,0,20,56,339,31.6,252,592,55.8,0.518,0.513,53.9,7.6,572,$240500.00,,
