Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1956,19,PIT,NL,81,277,-11,-1,1,2,3,-6,-0.9,10,4,0.2,0.491,0.496,0.2,0.4,2,,4,
1957,20,PIT,NL,148,568,1,-3,1,8,5,13,1.2,21,35,3.4,0.510,0.509,2.7,1.3,26,,*4,
1958,21,PIT,NL,152,607,-2,0,-1,23,5,25,2.6,23,48,4.9,0.52,0.516,2.6,2.9,25,,*4,ASMVP-8GG
1959,22,PIT,NL,135,537,-19,-1,0,-2,4,-18,-1.8,20,3,0.2,0.486,0.5,0.4,0.3,4,,*4,AS
1960,23,PIT,NL,151,591,-9,0,1,5,5,2,0.2,22,25,3,0.502,0.502,1.9,1.1,19,,*4,ASGG
1961,24,PIT,NL,152,595,-16,0,0,8,4,-4,-0.5,23,19,1.8,0.497,0.498,1,1.2,12,,*4,GG
1962,25,PIT,NL,159,617,-11,0,-1,7,4,-1,-0,23,22,2.3,0.499,0.499,1.5,1.3,15,,*4,AS
1963,26,PIT,NL,142,576,-8,2,-1,23,4,20,2.4,22,42,4.7,0.517,0.515,2,3.3,18,,*4,ASGG
1964,27,PIT,NL,162,644,-5,-2,-3,13,5,9,1.1,24,33,3.7,0.506,0.506,2.0,2.2,20,,*4,ASGG
1965,28,PIT,NL,130,527,-10,1,-1,18,4,12,1.4,20,32,3.4,0.511,0.509,1.3,2.5,14,,*4,GG
1966,29,PIT,NL,162,660,-11,1,0,9,5,4,0.6,24,27,3.0,0.503,0.503,1.8,2,18,,*4,MVP-23GG
1967,30,PIT,NL,163,679,-11,1,-1,8,5,1,0.3,24,26,3,0.501,0.501,1.7,1.6,18,,*4,ASGG
1968,31,PIT,NL,143,556,-8,-4,-1,15,4,6,1.0,19,25,3.0,0.505,0.51,0.9,2.6,10,$50000.00,*4,
1969,32,PIT,NL,67,256,-8,0,0,3,2,-4,-0.4,9,5,0.5,0.494,0.497,0.2,0.5,2,,4,
1970,33,PIT,NL,112,404,-18,0,2,10,3,-3,-0.3,14,11,1.1,0.497,0.498,-0.1,1.5,0,,4,
1971,34,PIT,NL,70,213,-8,0,0,-3,1,-10,-1.1,7,-3,-0.4,0.484,0.493,-0.1,-0.1,0,,4/5,
1972,35,PIT,NL,34,72,-6,-1,0,-1,0,-7,-0.8,2,-4,-0.6,0.477,0.495,-0.5,0,-4,,4/5,
17 Seasons,17 Seasons,17 Seasons,,2163,8379,-160,-6,-3,147,61,40,5,308,348,36.5,0.502,0.503,19.5,24,201,$50000.00,,
