Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1923,24,NYG,NL,3,9,-1,0,0,0,0,-1,-0.1,0,-1,0.0,0.476,0.500,0.0,0.0,0,,/3,
1924,25,NYG,NL,77,180,-2,0,0,-1,-2,-5,-0.5,6,1,0.1,0.494,0.497,0.2,-0.3,2,,3,
1925,26,NYG,NL,133,536,13,0,0,3,-6,10,0.9,17,27,2.5,0.51,0.506,2.4,-0.3,24,,*3,
1926,27,NYG,NL,98,255,5,0,0,2,-2,5,0.4,8,12,1.2,0.505,0.5,1.0,-0.1,10,,39/7,
1927,28,NYG,NL,150,647,31,0,0,8,-7,32,3.2,20,52,5,0.522,0.520,4.5,0.1,44,,*3,MVP-13
1928,29,NYG,NL,149,649,30,-1,0,-2,-7,21,2.0,20,41,4.0,0.514,0.513,4,-0.9,43,,*3,
1929,30,NYG,NL,150,674,33,-1,0,6,-7,31,3,20,51,4.8,0.518,0.517,4.3,-0.1,45,,*3/7,MVP-3
1930,31,NYG,NL,154,708,64,-1,0,9,-7,65,5.5,21,86,7.6,0.536,0.534,7,0.1,77,$18000.00,*3,
1931,32,NYG,NL,153,662,40,-1,0,8,-7,40,4.0,20,61,6.1,0.527,0.525,5.4,0.0,53,$21500.00,*3,MVP-3
1932,33,NYG,NL,154,677,49,0,0,9,-7,51,5.0,21,71,7.2,0.533,0.531,6.3,0.2,62,,*3,MVP-6
1933,34,NYG,NL,123,524,18,0,0,7,-5,19,2.0,16,35,3.8,0.517,0.513,3.1,0,28,,*3,ASMVP-4
1934,35,NYG,NL,153,683,34,1,0,10,-7,38,3.7,20,58,5.8,0.525,0.523,4.8,0.3,48,$27500.00,*3,ASMVP-7
1935,36,NYG,NL,145,653,21,-1,0,10,-7,24,2.4,19,43,4.4,0.52,0.514,3.3,0.4,33,,*3,ASMVP-6
1936,37,NYG,NL,79,252,4,0,0,4,-3,5,0.5,8,14,1.4,0.507,0.503,1.0,0.1,10,$42500.00,3,
14 Seasons,14 Seasons,14 Seasons,,1721,7109,339,-3,0,73,-74,334,32,216,551,54.2,0.519,0.5,47.4,-0,478,$109500.00,,
