Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1888,22,KCC,AA,35,137,1,1,0,-1,-2,-2,-0.1,3,2,0.2,0.496,0.499,0.3,-0.3,2,,O,
1889,23,KCC,AA,137,635,27,6,0,-6,-8,19,1.5,13,32,2.9,0.511,0.510,3.3,-1.1,38,,*O,
1890,24,PHI,NL,123,588,32,7,0,0,-8,32,2.5,18,50,4.4,0.52,0.517,4.7,-0.9,50,,*O,
1891,25,PHI,NL,133,636,49,8,0,6,-9,55,4.5,20,75,6.6,0.536,0.5,6.3,-0.4,69,,*O,
1892,26,PHI,NL,139,643,42,2,0,9,-9,44,4.0,21,65,6,0.529,0.525,5.4,0.0,56,$3400.00,*O,
1893,27,PHI,NL,82,431,45,2,0,6,-5,49,3.7,13,61,5.0,0.545,0.523,5,0.1,55,$1800.00,O,
1894,28,PHI,NL,132,702,82,8,0,6,-7,89,6,21,110,8.2,0.547,0.538,7.8,-0.1,104,$2100.00,*O,
1895,29,PHI,NL,123,629,58,8,0,-2,-7,57,4.2,19,76,6.2,0.535,0.526,6,-0.7,78,,*O,
1896,30,BSN,NL,131,642,47,7,0,0,-7,46,3.7,20,66,5.8,0.529,0.523,5.8,-0.6,66,,*O,
1897,31,BSN,NL,127,622,32,5,0,6,-6,36,2.9,19,55,4.9,0.524,0.518,4.4,-0.1,49,,*O,
1898,32,BSN,NL,110,508,40,3,0,-6,-5,32,2.9,16,48,4.6,0.527,0.518,5.3,-1,54,,*O,
1899,33,BSN,NL,84,375,11,-2,0,2,-4,8,0.6,12,20,1.9,0.508,0.504,1.8,-0.2,18,$2400.00,O,
1900,34,BSN,NL,136,635,27,-2,0,6,-6,25,2.1,20,45,4.2,0.52,0.514,3.8,0.0,39,,*O,
1901,35,BSN,NL,102,425,10,-1,0,4,-3,9,0.9,14,23,2.4,0.509,0.506,2.1,0.0,19,,*O,
14 Seasons,14 Seasons,14 Seasons,,1594,7608,500,53,0,30,-86,497,40,230,727,63.4,0.526,0.5,61.8,-5,697,$9700.00,,
,,,,,,,,,,,,,,,,,,,,,,,
BSN (6 yrs),BSN (6 yrs),BSN (6 yrs),,690,3207,166,9,0,12,-31,156,13.2,102,258,23.9,0.520,0.515,23.2,-2,246,$2400.00,,
PHI (6 yrs),PHI (6 yrs),PHI (6 yrs),,732,3629,307,36,0,25,-44,324,24.9,112,436,36.4,0.535,0.527,35.1,-2.0,411,$7300.00,,
KCC (2 yrs),KCC (2 yrs),KCC (2 yrs),,172,772,28,7,0,-7,-11,17,1.4,16,33,3.1,0.508,0.507,3.6,-1,40,,,
