Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1931,21,CHC,NL,25,115,3,0,0,-4,1,-1,-0.1,3,3,0.3,0.498,0.500,0.7,-0.3,7,,4,
1932,22,CHC,NL,154,723,6,-1,0,4,5,14,1.4,21,35,3.5,0.510,0.509,3.2,0.9,31,,*4,MVP-9
1933,23,CHC,NL,153,681,-4,0,0,7,5,8,0.7,20,28,2.9,0.51,0.505,2.2,1.3,21,,*4,
1934,24,CHC,NL,113,500,3,-1,0,7,4,13,1.3,15,28,2.8,0.511,0.5,2.1,1.1,21,,*4,AS
1935,25,CHC,NL,154,735,28,-1,0,15,5,48,4.8,21,68,7,0.531,0.529,5.4,2.1,53,,*4,ASMVP-4
1936,26,CHC,NL,153,709,28,0,0,13,5,45,4.4,22,67,6.8,0.529,0.528,5,1.8,54,$21361.00,*4,ASMVP-3
1937,27,CHC,NL,138,632,27,0,0,4,5,37,4,19,56,5.7,0.527,0.523,5.3,0.9,52,,*4,ASMVP-9
1938,28,CHC,NL,152,696,-6,0,0,15,6,14,1.3,21,36,3.6,0.510,0.509,2,2.1,21,$20000.00,*4,AS
1939,29,CHC,NL,156,711,19,-1,0,-6,6,18,1.7,22,40,4.1,0.512,0.512,4.8,-0.1,46,$17000.00,*4,ASMVP-31
1940,30,CHC,NL,135,616,3,0,0,4,5,13,1.3,20,33,3.4,0.510,0.509,3.0,1.0,29,,*4,AS
1941,31,CHC,NL,11,45,-1,0,0,-3,0,-3,-0.4,2,-2,-0.2,0.469,0.498,0.1,-0,1,,4,ASMVP-11
1941,31,BRO,NL,133,604,4,0,0,5,6,15,1.6,20,35,4,0.513,0.510,3.1,1.1,30,,*4,ASMVP-11
1942,32,BRO,NL,155,647,-2,0,0,5,7,9,0.9,21,30,3.1,0.507,0.51,2.6,1.3,25,,*4/3,AS
1943,33,BRO,NL,153,663,26,0,0,-8,5,24,2.6,21,45,4.7,0.517,0.516,5.7,-0.3,53,,*45,ASMVP-4
,,,,,,,,,,,,,,,,,,,,,,,
1946,36,BRO,NL,47,211,4,0,0,0,1,4,0,8,12,1.2,0.510,0.503,1.2,0.1,12,$20000.00,54,
1946,36,BSN,NL,75,301,14,0,0,-3,1,12,1.4,11,24,2.6,0.518,0.509,2.9,-0.2,27,,43/5,
1947,37,PIT,NL,15,49,-4,0,0,0,0,-4,-0.4,2,-2,-0.2,0.476,0.498,-0.2,0.1,-2,,4/3,
15 Seasons,15 Seasons,15 Seasons,,1922,8638,148,-3,0,55,68,268,26.6,267,535,54.8,0.514,0.513,49.5,12.4,480,$78361.00,,
CHC (11 yrs),CHC (11 yrs),CHC (11 yrs),,1344,6163,106,-3,0,56,48,207,20.1,185,392,39.8,0.516,0.514,34.2,10.5,336,$58361.00,,
BRO (4 yrs),BRO (4 yrs),BRO (4 yrs),,488,2125,32,0,0,2,18,52,5.5,69,121,12.7,0.512,0.51,12.6,2.2,119,$20000.00,,
PIT (1 yr),PIT (1 yr),PIT (1 yr),,15,49,-4,0,0,0,0,-4,-0.4,2,-2,-0.2,0.476,0.498,-0.2,0.1,-2,,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,75,301,14,0,0,-3,1,12,1.4,11,24,2.6,0.518,0.509,2.9,-0.2,27,,,
