Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1913,20,CLE,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.500,0.500,0.0,0.0,0,,/7,
,,,,,,,,,,,,,,,,,,,,,,,
1915,22,CLE,AL,60,213,0,-1,0,0,-2,-3,-0.3,8,6,0.5,0.50,0.498,0.6,-0.2,6,,87/9,
,,,,,,,,,,,,,,,,,,,,,,,
1918,25,PIT,NL,64,275,16,0,0,10,-3,23,2.7,8,31,4,0.543,0.517,2.4,0.8,21,,9,
1919,26,PIT,NL,121,502,8,0,0,5,-6,7,0.7,15,23,2.4,0.507,0.505,2,-0.2,18,,*79,
1920,27,PIT,NL,146,617,4,-3,0,10,-7,5,0,19,24,2.6,0.504,0.503,1.4,0.3,14,,*9,
1921,28,BSN,NL,141,642,12,-2,0,6,-7,10,0.9,19,28,2.8,0.507,0.506,2,-0.2,22,,*9,
1922,29,BSN,NL,43,182,7,1,0,4,-2,10,1.0,6,16,1.6,0.523,0.506,1.2,0.2,12,,9,
1923,30,BSN,NL,153,691,23,-2,0,-2,-7,11,1.1,20,32,3.2,0.507,0.507,3.4,-0.9,34,,*9/4,
1924,31,NYG,NL,94,325,-6,-2,0,-2,-2,-12,-1.3,10,-2,-0.3,0.486,0.492,0.0,-1,0,,89/7,
1925,32,NYG,NL,123,537,0,-4,0,-4,-3,-11,-1.1,16,6,1,0.492,0.494,1.0,-0.7,10,,*8/9,
1926,33,NYG,NL,36,127,6,0,0,0,-1,5,0.5,4,9,0.9,0.515,0.50,0.9,-0.1,9,,8/79,MVP-19
1926,33,STL,NL,99,439,14,0,0,6,-5,15,1.5,13,28,2.8,0.516,0.510,2.2,0.1,22,,9,MVP-19
1927,34,STL,NL,92,341,-1,0,0,1,-4,-4,-0.4,11,7,0.7,0.496,0.498,0.6,-0.3,6,,9,
,,,,,,,,,,,,,,,,,,,,,,,
1929,36,STL,NL,19,34,-4,0,0,0,0,-5,-0.4,1,-3,-0.3,0.478,0.497,-0.3,0,-3,,/9,
13 Seasons,13 Seasons,13 Seasons,,1192,4925,78,-10,0,34,-49,53,5,150,203,21.0,0.505,0.503,17.6,-2,169,,,
,,,,,,,,,,,,,,,,,,,,,,,
NYG (3 yrs),NYG (3 yrs),NYG (3 yrs),,253,989,0,-5,0,-6,-7,-18,-2,30,13,1.2,0.493,0.495,1.9,-1.4,19,,,
PIT (3 yrs),PIT (3 yrs),PIT (3 yrs),,331,1394,28,-2,0,25,-16,35,3.9,43,77,8.5,0.51,0.507,6,0.9,52,,,
BSN (3 yrs),BSN (3 yrs),BSN (3 yrs),,337,1515,42,-3,0,8,-16,31,3,45,76,7.5,0.509,0.506,6.9,-0.8,68,,,
STL (3 yrs),STL (3 yrs),STL (3 yrs),,210,814,8,0,0,7,-9,7,0.7,25,32,3.2,0.504,0.503,2.6,-0.2,25,,,
CLE (2 yrs),CLE (2 yrs),CLE (2 yrs),,61,213,0,-1,0,0,-2,-3,-0.3,8,6,0.5,0.495,0.498,0.6,-0.2,6,,,
