Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1959,21,CHC,NL,18,34,-4,0,0,1,0,-3,-0.3,1,-2,-0.2,0.481,0.498,-0.3,0.1,-3,$7000.00,7,
1960,22,CHC,NL,12,52,2,1,0,1,-1,3,0.3,2,5,0.5,0.527,0.502,0.4,0.0,4,$7000.00,7,
1961,23,CHC,NL,146,584,5,1,1,-10,-7,-10,-1.1,22,13,1.2,0.49,0.494,2.3,-1.8,23,$9500.00,*79,RoY-1
1962,24,CHC,NL,159,699,18,-1,1,-2,-8,8,0.9,26,34,3.5,0.505,0.5,3.6,-1.0,35,$14000.00,*7,AS
1963,25,CHC,NL,161,687,28,1,0,11,-8,32,3.8,25,57,7,0.523,0.523,5.1,0.4,46,$20000.00,*7,
1964,26,CHC,NL,162,709,36,1,3,-9,-8,22,2.5,26,48,5.2,0.515,0.515,6,-1.9,57,$27000.00,*7/8,ASMVP-18
1965,27,CHC,NL,164,719,47,4,-1,3,-7,47,5,26,73,7.7,0.531,0.531,7.4,-0.4,70,$34000.00,*978,ASMVP-12
1966,28,CHC,NL,162,727,17,2,2,3,-7,17,2.0,24,41,4.5,0.512,0.512,4,-0.3,38,$45000.00,*97,
1967,29,CHC,NL,162,712,23,3,0,1,-9,17,2.2,24,42,4.7,0.512,0.512,4.4,-0.8,41,$47500.00,*7/9,
1968,30,CHC,NL,163,699,26,1,2,-4,-9,15,2.2,23,39,4.6,0.512,0.512,4.8,-1.5,43,$57000.00,*79,ASMVP-8
1969,31,CHC,NL,163,708,13,2,1,-5,-9,2,0.4,24,26,2.8,0.502,0.502,3.2,-2,31,$75000.00,*79,MVP-23
1970,32,CHC,NL,161,714,39,4,4,2,-8,41,4.3,24,64,7,0.526,0.525,6.2,-0.6,62,,*79,MVP-2
1971,33,CHC,NL,157,677,27,2,0,-4,-8,17,2.0,23,40,4.3,0.512,0.51,4.6,-1.3,43,$100000.00,*7/9,MVP-21
1972,34,CHC,NL,150,650,54,-1,0,-10,-7,36,4.2,21,57,6.2,0.527,0.525,7.2,-1.9,67,$115000.00,*7/3,ASMVP-2
1973,35,CHC,NL,156,659,12,-1,0,-6,-7,-1,-0.3,21,21,1.8,0.499,0.499,2.5,-1.5,26,$150000.00,*73,ASMVP-29
1974,36,CHC,NL,117,474,17,1,2,-9,-5,6,1,15,21,2.0,0.505,0.504,3.0,-1.6,30,$150000.00,37,
1975,37,OAK,AL,155,602,10,1,1,-1,-14,-3,-0.2,22,19,1.9,0.498,0.498,2,-1.5,19,$150000.00,*D/3,
1976,38,OAK,AL,120,413,-4,0,1,0,-10,-13,-1.4,15,2,0,0.488,0.491,0.1,-1.1,2,$150000.00,D/7,
18 Seasons,18 Seasons,18 Seasons,,2488,10519,368,20,17,-38,-133,233,27.1,364,598,63.7,0.51,0.51,66.5,-18,635,$1158000.00,,
CHC (16 yrs),CHC (16 yrs),CHC (16 yrs),,2213,9504,362,19,15,-38,-109,249,28.7,328,577,61.8,0.513,0.512,64.4,-15.4,614,$858000.00,,
OAK (2 yrs),OAK (2 yrs),OAK (2 yrs),,275,1015,6,1,2,-1,-24,-15,-1.6,36,21,1.9,0.494,0.495,2.1,-2.6,22,$300000.00,,
