Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1937,19,BOS,AL,55,170,-11,-1,0,-1,2,-12,-1.1,6,-6,-0.5,0.480,0.493,-0.4,0.1,-5,$3300.00,4,
1938,20,BOS,AL,145,589,-10,-3,0,-1,5,-9,-0.8,21,12,1.1,0.494,0.495,1.2,0.5,13,$4000.00,*4,
1939,21,BOS,AL,127,574,3,-4,0,3,5,7,0.7,20,27,2.6,0.51,0.504,2.3,0.8,24,$7000.00,*4,
1940,22,BOS,AL,151,658,11,1,0,-6,6,12,1.1,22,34,3.3,0.507,0.5,3.8,0.1,40,$10000.00,*4,
1941,23,BOS,AL,132,549,3,-1,0,-5,6,3,0.3,19,22,2,0.502,0.502,2.6,0.1,27,$12000.00,*4,AS
1942,24,BOS,AL,144,625,19,0,0,10,6,35,3.8,18,53,5.5,0.526,0.523,4,1.8,43,$12000.00,*4,ASMVP-11
1943,25,BOS,AL,155,676,12,-1,0,8,7,27,3,19,46,5.1,0.520,0.519,4.1,1.8,38,$14000.00,*4,ASMVP-14
1944,26,BOS,AL,125,536,38,0,0,-4,6,40,4.3,15,56,5.9,0.535,0.527,6,0.2,60,$14000.00,*4,ASMVP-7
,,,,,,,,,,,,,,,,,,,,,,,
1946,28,BOS,AL,151,659,12,-1,0,14,7,33,3.6,20,53,5.6,0.524,0.522,4.0,2.4,39,$17500.00,*4,ASMVP-3
1947,29,BOS,AL,146,625,1,0,0,10,7,18,1.9,18,36,3.8,0.514,0.512,2.7,2,26,$22500.00,*4,ASMVP-24
1948,30,BOS,AL,140,619,23,-1,0,6,7,35,3.5,18,53,5,0.525,0.521,4.6,1.2,47,$22500.00,*4,ASMVP-19
1949,31,BOS,AL,139,622,21,2,-4,11,7,37,3.6,18,54,5.4,0.526,0.52,4.3,1.8,43,$27500.00,*4,MVP-16
1950,32,BOS,AL,149,663,12,-1,-1,0,7,17,1.7,20,37,3.6,0.511,0.510,3.5,0.7,37,$27500.00,*4,ASMVP-16
1951,33,BOS,AL,106,463,9,2,-1,-2,5,13,1.3,14,27,2.7,0.512,0.508,2.8,0.3,29,$27500.00,*4,AS
14 Seasons,14 Seasons,14 Seasons,,1865,8028,144,-8,-5,43,82,256,27,248,505,51.2,0.514,0.513,46.3,13.4,462,$221300.00,,
