Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1894,20,CLV,NL,4,13,-3,0,0,0,1,-2,-0.1,0,-2,-0.1,0.467,0.499,-0.1,0.0,-2,,/1,
1895,21,CLV,NL,30,112,-12,0,0,0,8,-4,-0.3,0,-4,-0.3,0.490,0.498,-0.3,0.0,-4,,1,
1896,22,CLV,NL,45,164,-12,0,0,0,-1,-14,-1.2,6,-8,-0.8,0.48,0.493,-0.8,-0.1,-8,,O1/3,
1897,23,CLV,NL,130,580,19,-2,0,6,4,27,2.2,20,47,4.2,0.517,0.5,3.7,0.8,41,,*5/O,
1898,24,CLV,NL,154,671,9,0,0,10,5,24,2.3,23,47,5,0.515,0.514,3.8,1.4,37,,*54,
1899,25,STL,NL,151,638,14,-1,0,15,8,37,3.3,22,59,5.5,0.522,0.521,4,2.1,44,,65,
1900,26,STL,NL,126,532,-1,0,0,-8,8,-1,-0,18,17,1.7,0.499,0.500,2.5,0.0,25,,*6/5,
1901,27,STL,NL,134,583,24,-1,0,25,9,57,5.7,19,76,7.8,0.543,0.536,5,3.4,51,$2800.00,*6,
1902,28,SLB,AL,133,549,7,-1,0,19,9,34,3.2,20,53,5.1,0.525,0.520,3.4,2.7,34,$6500.00,*6/O1,
1903,29,SLB,AL,135,552,0,-1,0,12,9,20,2.0,20,40,4.2,0.516,0.514,3.1,2.2,28,$6500.00,*6,
1904,30,SLB,AL,139,593,14,-1,0,6,9,29,3.3,21,49,5.7,0.525,0.521,5.0,2,43,$6500.00,*6,
1905,31,SLB,AL,156,641,13,-1,0,1,10,23,2.6,23,46,5.2,0.518,0.517,5.1,1.3,45,$6500.00,*6,
1906,32,SLB,AL,139,551,14,0,0,11,9,33,4.0,20,53,6.1,0.53,0.524,4.7,2.5,42,$6500.00,*6,
1907,33,SLB,AL,147,604,6,-1,0,10,10,25,3.0,22,47,5.3,0.520,0.519,4.0,2.4,37,,*6,
1908,34,SLB,AL,137,565,7,0,0,17,9,33,4,20,53,6.3,0.530,0.5,4.1,3,36,,*6,
1909,35,SLB,AL,116,448,-1,-1,0,0,7,5,0.5,16,21,2.3,0.505,0.504,2.4,1,21,,65,
1910,36,SLB,AL,138,568,7,-1,0,5,8,18,2.1,21,40,4.4,0.516,0.514,3.9,1.5,35,,65,
1911,37,SLB,AL,125,466,-15,-1,0,3,8,-5,-0.5,18,13,1.3,0.496,0.497,1.0,1,10,,*6/4,
1912,38,SLB,AL,100,373,-2,-1,0,1,6,4,0.4,14,18,1.9,0.504,0.502,1.7,0.8,17,,65/4,
1913,39,SLB,AL,55,172,-7,0,0,1,3,-3,-0.4,6,4,0.3,0.49,0.498,0.3,0.4,3,,6/5,
1914,40,SLB,AL,26,82,-3,0,0,-1,1,-3,-0.3,3,1,0.0,0.49,0.498,0.2,0.0,1,,6/5,
1915,41,SLB,AL,9,18,1,0,0,-1,0,0,0.0,1,1,0.1,0.502,0.500,0.2,-0,2,,/6,
1916,42,SLB,AL,14,22,0,0,0,1,1,2,0.2,1,2,0.3,0.513,0.501,0.1,0.2,1,,/56,
1917,43,STL,NL,8,12,-2,0,0,0,0,-2,-0.2,0,-1,-0.1,0.477,0.499,-0.1,0,-1,,/56,
1918,44,STL,NL,32,108,-9,0,0,0,1,-8,-1,3,-5,-0.7,0.468,0.494,-0.7,0.1,-5,,46/5,
25 Seasons,25 Seasons,25 Seasons,,2383,9617,68,-13,0,133,143,331,34.8,336,667,70.3,0.515,0.514,56.7,28.7,534,$35300.00,,
SLB (15 yrs),SLB (15 yrs),SLB (15 yrs),,1569,6204,40,-10,0,85,100,216,24.4,225,441,48.5,0.516,0.514,39.2,20.9,355,$32500.00,,
STL (5 yrs),STL (5 yrs),STL (5 yrs),,451,1873,27,-2,0,32,27,83,7.5,62,146,14.1,0.517,0.517,11.2,5.7,114,$2800.00,,
CLV (5 yrs),CLV (5 yrs),CLV (5 yrs),,363,1540,1,-1,0,16,16,32,2.9,48,80,7.6,0.508,0.51,6.3,2.1,64,,,
