Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1955,18,BAL,AL,6,22,-4,0,0,-2,0,-7,-0.7,1,-6,-0.6,0.385,0.496,-0.4,-0.2,-4,$6000.00,/5,
1956,19,BAL,AL,15,45,-2,0,0,0,0,-2,-0.2,1,0,0.0,0.490,0.499,0.0,0.0,0,,5/4,
1957,20,BAL,AL,50,126,-2,0,-1,2,0,0,0.0,4,4,0.4,0.50,0.500,0.1,0.3,2,,5,
1958,21,BAL,AL,145,507,-22,-1,-2,6,2,-16,-2.0,16,-1,-0.4,0.487,0.5,-1.0,0.9,-7,,*54,
1959,22,BAL,AL,88,333,-1,-2,0,13,1,12,1.1,10,22,2,0.514,0.508,0.8,1.5,9,,5/4,
1960,23,BAL,AL,152,651,5,2,-5,17,3,22,2.1,20,42,4.1,0.516,0.515,3,2.0,25,,*5/4,ASMVP-3GG
1961,24,BAL,AL,163,736,-2,0,-2,16,4,16,1,21,38,3.5,0.510,0.510,2.1,1.9,21,$20000.00,*5/46,ASMVP-19GG
1962,25,BAL,AL,162,697,20,1,-2,18,4,40,3.9,21,62,6.1,0.526,0.526,5,2.1,44,$25000.00,*5/64,ASMVP-9GG
1963,26,BAL,AL,161,648,-5,-1,0,12,4,10,0.9,20,30,2.8,0.507,0.507,1.7,1.6,18,$35000.00,*5/6,ASGG
1964,27,BAL,AL,163,685,37,1,-1,17,4,57,5.9,21,78,8.1,0.539,0.539,6.4,2.2,61,$35000.00,*5,ASMVP-1GG
1965,28,BAL,AL,144,616,16,-1,-2,8,3,24,2.7,19,43,4.5,0.519,0.517,3.7,1,35,$50000.00,*5,ASMVP-3GG
1966,29,BAL,AL,157,686,17,1,-1,4,3,24,2.4,21,45,5,0.517,0.517,4.5,0.6,42,$55000.00,*5,ASMVP-2GG
1967,30,BAL,AL,158,681,13,2,-2,32,3,48,5.5,21,70,7.7,0.537,0.54,4.0,4.2,37,$75000.00,*5,ASGG
1968,31,BAL,AL,162,667,13,1,-1,33,3,50,6.0,23,73,8.4,0.539,0.539,4.5,4.5,40,,*5,ASMVP-17GG
1969,32,BAL,AL,156,670,-8,1,-2,23,3,18,1.8,23,40,4.1,0.513,0.512,1.7,2.9,17,,*5,ASMVP-23GG
1970,33,BAL,AL,158,673,10,-1,-2,5,3,15,2,23,38,3.9,0.511,0.510,3.5,0.8,33,,*5,ASMVP-7GG
1971,34,BAL,AL,156,663,10,0,-1,21,3,33,4,22,55,6,0.524,0.523,3.7,2.8,34,$100000.00,*5,ASMVP-4GG
1972,35,BAL,AL,153,612,-8,-3,-1,18,3,10,1.1,22,32,3.5,0.508,0.508,1.4,2.6,14,$110000.00,*5,ASMVP-26GG
1973,36,BAL,AL,155,619,-8,0,-2,18,4,11,1.4,22,33,3.5,0.508,0.507,1.5,2.6,15,$110000.00,*5,ASGG
1974,37,BAL,AL,153,622,6,0,-1,15,4,24,2.8,22,47,5.0,0.518,0.52,3.4,2.2,32,$115000.00,*5,ASMVP-12GG
1975,38,BAL,AL,144,539,-25,0,1,19,4,-1,-0.1,19,18,1.8,0.499,0.499,-0,2.5,-1,,*5,GG
1976,39,BAL,AL,71,232,-10,-1,-1,-2,2,-12,-1.3,8,-4,-0.5,0.481,0.492,-0.3,0.0,-2,$120000.00,5,
1977,40,BAL,AL,24,52,-4,0,0,1,0,-3,-0.3,2,-1,-0.2,0.486,0.498,-0.2,0.1,-2,,5,
23 Seasons,23 Seasons,23 Seasons,,2896,11782,43,2,-28,293,63,373,39.7,383,755,78,0.515,0.515,47.8,39.1,462,$856000.00,,
