Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1981,20,BAL,AL,23,40,-5,0,-1,0,1,-5,-0.6,1,-4,-0.5,0.474,0.496,-0.5,0.1,-4,,6/5D,
1982,21,BAL,AL,160,655,11,1,0,6,7,25,2.6,22,47,4.7,0.516,0.516,4.1,1.4,41,,65,MVP-30RoY-1
1983,22,BAL,AL,162,726,39,-1,-3,11,11,57,6.0,24,81,8.2,0.54,0.536,7.1,2.3,70,$180000.00,*6,ASMVP-1SS
1984,23,BAL,AL,162,716,41,2,-2,23,11,75,7.8,24,99,10.0,0.548,0.5,7.7,3.6,76,$700000.00,*6,ASMVP-27SS
1985,24,BAL,AL,161,718,24,2,-4,0,11,33,3.4,23,56,6,0.521,0.520,5.6,1.1,56,$800000.00,*6,ASMVP-17SS
1986,25,BAL,AL,162,707,20,-2,-2,16,11,43,4.4,24,67,6.6,0.527,0.527,5,2.7,51,$1150000.00,*6,ASSS
1987,26,BAL,AL,162,717,6,-4,-2,0,11,10,1,24,34,3.3,0.506,0.506,3.3,1.1,34,$1350000.00,*6,AS
1988,27,BAL,AL,161,689,27,1,1,-6,10,33,3.6,23,57,5.8,0.522,0.521,6,0.6,62,$1700000.00,*6,AS
1989,28,BAL,AL,162,712,7,2,-1,21,11,39,4.3,25,64,6.7,0.526,0.526,4.4,3.5,43,$2466667.00,*6,ASMVP-3SS
1990,29,BAL,AL,161,695,11,4,1,22,10,49,5.2,24,73,7.5,0.532,0.532,5.3,3.4,51,$1316667.00,*6,ASMVP-24
1991,30,BAL,AL,162,717,56,1,-1,23,11,89,9.2,25,114,11.5,0.556,0.556,9.2,4,92,$2566667.00,*6,ASMVP-1GGSS
1992,31,BAL,AL,162,715,-11,2,0,12,11,14,1.6,26,40,4,0.509,0.509,2.8,2.5,28,$2100000.00,*6,ASGG
1993,32,BAL,AL,162,718,-5,-4,0,11,10,13,1.3,26,39,3.7,0.508,0.51,2.8,2.1,27,$5200000.00,*6,ASMVP-19SS
1994,33,BAL,AL,112,484,4,0,-3,17,7,25,2.3,18,43,4.0,0.521,0.514,2.5,2.3,26,$5500000.00,*6,ASMVP-12SS
1995,34,BAL,AL,144,613,-11,-1,0,22,9,18,1.8,23,41,3.9,0.512,0.511,1.9,3.0,19,$6700000.00,*6,ASMVP-19
1996,35,BAL,AL,163,707,3,0,-4,3,10,12,1.4,27,39,3.8,0.507,0.507,3.4,1.4,35,$6650000.00,*6/5,AS
1997,36,BAL,AL,162,686,-4,-2,-2,-3,3,-8,-0.6,26,18,1.8,0.495,0.495,2.1,0,21,$6850000.00,*5/6,AS
1998,37,BAL,AL,161,659,-10,0,3,0,3,-5,-0,25,20,1.9,0.497,0.497,2.0,0,20,$6400000.00,*5,AS
1999,38,BAL,AL,86,354,20,-3,-2,-1,1,15,1.4,13,29,2.7,0.516,0.509,2.8,0.1,30,$6500000.00,5,AS
2000,39,BAL,AL,83,339,-4,1,-1,5,1,1,0,13,14,1.4,0.502,0.501,0.9,0.5,9,$6300000.00,5D,AS
2001,40,BAL,AL,128,516,-23,-2,0,-1,1,-26,-2.5,19,-6,-0.6,0.48,0.484,-1,0.1,-5,$6300000.00,*5D,AS
21 Seasons,21 Seasons,21 Seasons,,3001,12883,197,-5,-24,181,159,509,53.5,454,962,95.9,0.517,0.517,78,35.7,782,$70730001.00,,
