Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1961,21,BOS,AL,148,643,-9,-2,-2,1,-7,-19,-2.2,19,1,-0.3,0.487,0.488,-0.2,-0.8,-1,$10000.00,*7,
1962,22,BOS,AL,160,719,14,0,-3,19,-8,22,2.1,21,43,4.2,0.515,0.515,2.4,1.0,24,$15000.00,*7,MVP-18
1963,23,BOS,AL,151,668,39,-1,1,13,-8,44,4.6,20,64,6.6,0.53,0.530,5.3,0.4,51,$23000.00,*7/8,ASMVP-6GG
1964,24,BOS,AL,151,646,17,1,-4,8,-1,21,2.0,20,40,3.9,0.515,0.5,3.3,0.5,32,$30000.00,*87/5,
1965,25,BOS,AL,133,571,39,0,0,-2,-6,30,3.2,17,47,5,0.525,0.521,5.3,-1.0,49,$31000.00,*7/89,ASMVP-10GG
1966,26,BOS,AL,160,680,15,0,1,22,-8,31,3.2,22,52,5.5,0.522,0.522,3,1.5,30,$50000.00,*7/8,ASMVP-28
1967,27,BOS,AL,161,680,69,3,3,23,-8,90,10,22,112,12.5,0.565,0.565,9.9,1.7,89,$50000.00,*7/8,ASMVP-1GG
1968,28,BOS,AL,157,664,47,4,0,25,-8,68,8.2,22,90,10.5,0.554,0.552,8,2.0,66,$100000.00,*7/38,ASMVP-9GG
1969,29,BOS,AL,162,707,25,1,-1,13,-9,30,3.1,24,53,5.5,0.520,0.520,4.3,0.4,40,$115000.00,*73/8,ASMVP-18GG
1970,30,BOS,AL,161,698,66,3,0,7,-9,68,7.1,23,92,9.5,0.545,0.545,8.9,-0.3,84,$125000.00,37/8,ASMVP-4
1971,31,BOS,AL,148,620,10,0,0,14,-7,16,1.8,21,38,4.0,0.513,0.512,2.5,1,24,$166667.00,*7,ASGG
1972,32,BOS,AL,125,535,10,0,0,3,-7,7,0.7,19,25,3,0.507,0.505,2.4,-0.5,22,$166667.00,73/8,AS
1973,33,BOS,AL,152,652,29,-1,-1,7,-5,29,3.3,23,52,5.5,0.520,0.52,4.7,0.3,45,$166667.00,357,ASMVP-19
1974,34,BOS,AL,148,633,26,-3,1,-5,-7,12,1.4,22,34,3.6,0.509,0.508,4.2,-1.3,39,$165000.00,37/D,ASMVP-18
1975,35,BOS,AL,149,634,5,1,1,7,-8,5,0.6,23,28,2.8,0.503,0.503,2.1,-0.1,21,$175000.00,*3/7D,ASMVP-30
1976,36,BOS,AL,155,636,11,-2,-1,5,-8,6,1,23,29,3.0,0.504,0.504,2.4,-0.3,23,,37D,ASMVP-14
1977,37,BOS,AL,150,643,17,5,1,11,-7,28,3.0,23,51,5.2,0.519,0.518,4,0.5,40,$200000.00,*7/3D9,ASMVP-17GG
1978,38,BOS,AL,144,611,4,-1,1,2,-8,-2,-0.1,22,20,2,0.499,0.499,1.8,-0.6,18,,73D/8,ASMVP-18
1979,39,BOS,AL,147,590,4,-2,0,10,-9,3,0.4,21,24,2.3,0.50,0.50,1.4,0,14,$375000.00,D37/8,AS
1980,40,BOS,AL,105,412,5,-1,0,-3,-7,-6,-0.5,14,9,0.8,0.495,0.497,1.1,-1.0,12,,D73/98,
1981,41,BOS,AL,91,390,-2,0,1,2,-6,-6,-0.7,13,7,0.5,0.492,0.496,0.4,-0.5,5,,D3,
1982,42,BOS,AL,131,523,6,-1,0,2,-10,-3,-0.3,18,15,1.3,0.497,0.50,1.2,-0.8,12,,D3/8,AS
1983,43,BOS,AL,119,437,1,-5,-1,-1,-10,-16,-1.6,15,-1,-0.2,0.486,0.49,-0.1,-1.1,0,,D/37,AS
23 Seasons,23 Seasons,23 Seasons,,3308,13992,450,-2,-2,184,-171,457,50.1,466,923,96.4,0.516,0.515,78.2,1,740,$1964001.00,,
