Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1969,21,BOS,AL,2,5,-1,0,0,0,0,-1,-0.2,0,-1,-0.1,0.427,0.499,-0.1,0.0,-1,$4500.00,/2,
,,,,,,,,,,,,,,,,,,,,,,,
1971,23,BOS,AL,14,49,1,0,0,2,1,4,0.5,2,6,0.6,0.53,0.503,0.4,0.3,4,,2,
1972,24,BOS,AL,131,514,36,1,-1,1,8,45,5.3,18,63,7.3,0.541,0.5,7.3,1.0,62,,*2,ASMVP-4RoY-1GG
1973,25,BOS,AL,135,558,1,3,0,5,9,17,2.0,20,37,4,0.514,0.511,3.3,1.6,32,,*2/D,ASMVP-18
1974,26,BOS,AL,52,216,14,2,0,0,3,19,2.1,8,27,2.8,0.539,0.513,3,0.4,27,,2/D,AS
1975,27,BOS,AL,79,294,16,1,-1,0,4,20,2,11,30,3.2,0.526,0.513,3.2,0.5,30,$80000.00,2/D,
1976,28,BOS,AL,134,557,7,-1,-1,6,9,20,2.3,20,40,4.3,0.517,0.514,4,1.7,34,,*2/D,AS
1977,29,BOS,AL,152,632,25,-1,0,12,10,46,4.8,23,69,7.0,0.531,0.529,5.7,2.4,57,$160000.00,*2,ASMVP-8
1978,30,BOS,AL,157,658,18,5,0,1,10,34,3.7,24,58,6.0,0.523,0.522,5.9,1.2,57,,*2/D7,ASMVP-9
1979,31,BOS,AL,91,340,-2,2,0,-3,-1,-4,-0.4,12,8,0.8,0.496,0.497,1.1,-0,11,$195000.00,D2/7,
1980,32,BOS,AL,131,530,11,2,-1,1,7,20,2.2,18,38,4,0.516,0.513,3.7,0.9,37,,*2/D735,AS
1981,33,CHW,AL,96,394,7,1,0,0,6,14,1.5,13,27,2.8,0.516,0.51,2.9,0.6,28,$580000.00,*2/357,ASSS
1982,34,CHW,AL,135,536,2,4,-1,1,9,16,1.6,18,34,3.3,0.512,0.510,3.3,1.0,33,$580000.00,*2/3,AS
1983,35,CHW,AL,138,545,20,2,0,-5,8,24,2.6,19,43,4.3,0.518,0.515,4.9,0.4,48,$580000.00,*2/D,MVP-3
1984,36,CHW,AL,102,395,-3,2,0,-2,5,2,0,14,15,1.5,0.502,0.501,2,0.3,17,$580000.00,2/D,
1985,37,CHW,AL,153,620,8,-2,0,0,6,12,1.3,21,33,3.3,0.508,0.508,3.3,0.7,33,$685000.00,*2D,ASMVP-13SS
1986,38,CHW,AL,125,491,-28,-1,-1,-4,2,-32,-3.3,17,-16,-1.7,0.473,0.479,-1.3,-0.2,-12,$875000.00,27D,
1987,39,CHW,AL,135,508,4,-3,-1,9,6,15,1.5,17,32,3.1,0.511,0.509,2.3,1.6,23,$900000.00,*2/3D7,
1988,40,CHW,AL,76,298,17,-1,0,-4,5,16,1.7,10,26,2.6,0.521,0.510,3.0,0.1,30,$700000.00,2,SS
1989,41,CHW,AL,103,419,14,0,-2,0,5,17,1.9,15,32,3.3,0.517,0.511,3.3,0.6,32,$1200000.00,2D,
1990,42,CHW,AL,137,521,19,-1,-1,6,6,29,3.1,19,48,4.9,0.523,0.519,4.4,1.3,42,$1750000.00,*2D,MVP-15
1991,43,CHW,AL,134,501,-4,0,-4,4,5,1,0.2,18,19,1.9,0.501,0.501,1.5,1.0,15,$1250000.00,2D3,AS
1992,44,CHW,AL,62,214,-8,0,0,1,3,-4,-0,8,4,0,0.493,0.497,0,0.5,3,$1000000.00,2/D,
1993,45,CHW,AL,25,58,-5,-1,0,-4,1,-9,-1,2,-7,-0.7,0.47,0.50,-0.3,-0.3,-3,,2,
24 Seasons,24 Seasons,24 Seasons,,2499,9853,168,11,-14,27,126,319,35.3,346,665,68.5,0.514,0.511,66,17.0,638,$11119500.00,,
CHW (13 yrs),CHW (13 yrs),CHW (13 yrs),,1421,5500,43,-2,-11,3,66,100,11,191,291,28.9,0.507,0.506,29.2,7.5,288,$10680000.00,,
BOS (11 yrs),BOS (11 yrs),BOS (11 yrs),,1078,4353,125,13,-3,25,60,219,24.4,155,374,39.5,0.522,0.517,37.1,9.6,350,$439500.00,,
