Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1924,21,DET,AL,5,14,1,0,0,0,0,1,0.1,1,1,0.1,0.513,0.500,0.1,0.0,1,$2100.00,/4,
1925,22,DET,AL,8,20,-2,0,0,1,0,-2,-0.2,1,-1,-0.1,0.480,0.499,-0.2,0.1,-2,$2400.00,/4,
1926,23,DET,AL,123,516,-12,0,0,-4,4,-12,-1.2,19,8,0.7,0.49,0.493,1.2,0.0,11,$3000.00,*4/5,
1927,24,DET,AL,133,571,10,1,0,5,4,20,1.9,21,41,4.0,0.514,0.5,3.5,0.9,36,$4000.00,*4,
1928,25,DET,AL,154,691,20,0,0,-6,5,20,2.0,25,45,5,0.513,0.512,5.0,-0.1,51,$6000.00,*4,MVP-8
1929,26,DET,AL,155,717,38,3,0,-11,5,35,3.3,25,61,5.9,0.521,0.520,7,-0.6,72,$8000.00,*4,
1930,27,DET,AL,154,700,35,-2,0,7,5,45,4,25,70,6.5,0.526,0.525,5.8,1.1,63,$11000.00,*4,
1931,28,DET,AL,101,414,3,2,0,-4,2,3,0.3,16,18,1.8,0.502,0.501,2,-0.1,22,$12500.00,4/3,MVP-17
1932,29,DET,AL,152,692,17,-1,0,4,5,26,2.3,25,51,4.7,0.516,0.515,4.4,0.9,47,$10000.00,*4,MVP-9
1933,30,DET,AL,155,705,26,0,0,18,5,50,4.8,26,76,7.2,0.531,0.529,5.4,2.3,57,$10000.00,*4,ASMVP-6
1934,31,DET,AL,154,708,50,-1,0,11,5,66,6.0,26,91,8.4,0.539,0.537,7.5,2,80,$10000.00,*4,ASMVP-2
1935,32,DET,AL,150,709,39,1,0,14,5,59,5.4,25,84,7.8,0.537,0.534,6.6,1.8,70,$12500.00,*4,ASMVP-6
1936,33,DET,AL,154,731,47,1,0,6,5,59,5.1,25,84,7.4,0.53,0.531,6.9,1.0,78,$12500.00,*4,ASMVP-4
1937,34,DET,AL,144,662,46,1,0,6,5,58,5.2,23,81,7.4,0.536,0.532,6.9,1.1,75,$17500.00,*4,ASMVP-1
1938,35,DET,AL,152,689,25,3,0,-3,6,31,3,24,55,5.1,0.518,0.5,5.3,0,58,$20000.00,*4,ASMVP-10
1939,36,DET,AL,118,487,27,0,0,4,4,36,3.3,17,53,4.9,0.528,0.520,4.5,1,49,$20000.00,*4,MVP-14
1940,37,DET,AL,139,629,22,3,0,-11,6,20,1.9,21,40,3.8,0.513,0.511,4.8,-0.5,51,$20000.00,*4,MVP-23
1941,38,DET,AL,127,537,-15,0,0,-3,5,-13,-1.3,18,6,0.5,0.490,0.492,0.8,0,9,$20000.00,*4,
1942,39,DET,AL,45,52,0,0,0,0,0,0,0.0,2,1,0.1,0.500,0.500,0.1,0.0,1,$10000.00,/4,
19 Seasons,19 Seasons,19 Seasons,,2323,10244,379,9,0,34,77,500,45.4,364,864,80.7,0.52,0.518,77.7,10.7,830,$211500.00,,
