Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1924,21,STL,NL,24,100,-2,0,0,0,-1,-2,-0.2,3,1,0.1,0.491,0.499,0.1,-0.1,1,,7/89,
1925,22,STL,NL,93,375,-8,-2,0,0,-4,-14,-1.4,12,-3,-0.2,0.486,0.492,-0.2,-0.4,-2,,97/8,
1926,23,STL,NL,78,242,-4,0,0,-2,-3,-8,-0.9,7,-1,-0.1,0.49,0.495,0.1,-0.5,1,,79,
1927,24,STL,NL,103,394,27,0,0,2,-4,25,2.5,12,37,3.7,0.524,0.5,3.6,-0.3,35,,79/8,MVP-26
1928,25,STL,NL,138,584,37,0,0,2,-6,33,3.2,18,51,5,0.524,0.520,4.9,-0.5,49,,*79,MVP-12
1929,26,STL,NL,134,574,35,0,0,0,-6,29,2.6,18,46,4.3,0.519,0.516,4,-0.5,46,,*7,
1930,27,STL,NL,120,515,32,0,0,-2,-5,25,2,16,40,3.6,0.518,0.513,3.9,-0.7,42,,*7,
1931,28,STL,NL,122,494,33,-1,0,0,-5,27,2.6,15,42,4.3,0.522,0.517,4,-0.6,42,,*7,MVP-5
1932,29,CIN,NL,83,279,14,0,0,0,-3,10,1.0,9,19,1.9,0.513,0.506,1.9,-0.3,19,,7,
1933,30,CIN,NL,144,612,15,0,0,0,-4,12,1.2,19,30,3.3,0.509,0.508,3.3,-0.5,30,,*87,ASMVP-25
1934,31,CIN,NL,140,596,18,0,0,-4,-3,11,1.1,18,30,3.0,0.508,0.507,3.3,-1,33,,*87,
1935,32,CIN,NL,15,66,4,0,0,-2,0,2,0.2,2,4,0.4,0.513,0.501,0.6,-0.2,6,,8,
,,,,,,,,,,,,,,,,,,,,,,,
1937,34,CIN,NL,89,284,3,0,0,-2,-2,0,-0.1,9,9,0.9,0.500,0.500,1,-0.4,11,,87,
13 Seasons,13 Seasons,13 Seasons,,1283,5115,205,-4,0,-8,-46,148,13.8,158,306,30.1,0.51,0.5,31.4,-6,314,,,
,,,,,,,,,,,,,,,,,,,,,,,
STL (8 yrs),STL (8 yrs),STL (8 yrs),,812,3278,151,-3,0,0,-35,113,10,101,214,20.6,0.513,0.511,21.1,-3.5,214,,,
CIN (5 yrs),CIN (5 yrs),CIN (5 yrs),,471,1837,54,-1,0,-8,-11,35,3.4,57,92,9.5,0.508,0.506,10.3,-2.1,100,,,
