Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1993,21,ATL,NL,8,4,1,0,0,0,0,2,0.2,0,2,0.2,0.521,0.501,0.2,0.0,2,$109000.00,/6,
,,,,,,,,,,,,,,,,,,,,,,,
1995,23,ATL,NL,140,602,6,0,2,0,1,10,0.9,19,28,2.7,0.51,0.506,2.6,0.2,28,$114000.00,*57/9,MVP-18RoY-2
1996,24,ATL,NL,157,693,32,5,1,3,5,46,4.1,21,67,6.2,0.529,0.5,6.1,0.6,64,$825000.00,*56/9,ASMVP-4
1997,25,ATL,NL,157,679,23,3,0,-6,2,22,1.9,21,42,4,0.514,0.513,4.6,-0.5,48,$1525000.00,*5/79,ASMVP-9
1998,26,ATL,NL,160,707,45,1,0,3,3,52,4.9,21,73,7.1,0.533,0.532,7,0.4,71,$2550000.00,*5,ASMVP-9
1999,27,ATL,NL,157,701,60,3,-1,-11,3,55,5,21,76,6.9,0.533,0.531,8.0,-0.8,86,$4175000.00,*5/6,MVP-1SS
2000,28,ATL,NL,156,686,35,0,1,1,3,41,3.6,21,62,5.7,0.524,0.523,6,0.4,61,$4750000.00,*5/6,ASMVP-11SS
2001,29,ATL,NL,159,677,53,-1,0,-13,3,42,3.9,21,63,5.9,0.525,0.525,7.3,-1.1,76,$10333333.00,*5/7D,ASMVP-8
2002,30,ATL,NL,158,662,41,0,-1,3,-6,37,3.7,21,58,5.8,0.524,0.524,5.5,-0.3,55,$11333333.00,*7,MVP-11
2003,31,ATL,NL,153,656,29,1,1,1,-6,26,2.5,20,46,4.4,0.517,0.516,4.4,-1,45,$13333333.00,*7/D,MVP-25
2004,32,ATL,NL,137,567,16,-1,0,8,0,23,2.2,18,41,4,0.517,0.514,3.2,0.8,33,$15333333.00,57/D,
2005,33,ATL,NL,109,432,28,0,1,-3,2,28,2.8,13,42,4.1,0.526,0.52,4.4,-0.2,45,$16061802.00,5,
2006,34,ATL,NL,110,477,35,0,0,-14,2,24,2.2,15,39,3.6,0.520,0.514,5.0,-1.2,52,$12333333.00,5/D,MVP-20
2007,35,ATL,NL,134,600,58,0,-2,4,2,62,5.9,18,80,7.6,0.545,0.537,7.2,0.6,76,$12333333.00,*5/D6,MVP-6
2008,36,ATL,NL,128,534,50,-2,-1,10,2,59,5.7,17,76,7.3,0.546,0.536,6.4,1.2,66,$12333333.00,*5/D,ASMVP-12
2009,37,ATL,NL,143,596,10,-1,1,-6,2,6,0.5,19,25,2.3,0.504,0.504,2.9,-0.4,31,$10000000.00,*5/D,
2010,38,ATL,NL,95,381,10,1,0,0,2,12,1,12,24,2,0.514,0.508,2.4,0.1,24,$14000000.00,5/D,
2011,39,ATL,NL,126,512,12,-2,1,-4,2,9,1,16,25,2.5,0.508,0.5,2.9,-0.2,29,$14000000.00,*5/D,AS
2012,40,ATL,NL,112,448,15,-3,-1,0,2,14,1.5,14,28,2.8,0.513,0.509,2.7,0.3,28,$13000000.00,5/D,ASMVP-32
19 Seasons,19 Seasons,19 Seasons,,2499,10614,558,3,4,-24,25,568,53.4,327,895,85.2,0.522,0.520,88,-0.9,918,$168443133.00,,
