Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1928,23,PHI,NL,64,275,16,0,0,0,-3,13,1.3,8,22,2.2,0.521,0.508,2.2,-0.3,22,,9/8,
1929,24,PHI,NL,149,679,48,0,0,-7,-6,35,3.1,20,55,5.1,0.521,0.519,5.8,-1.2,62,,*98,MVP-11
1930,25,PHI,NL,156,722,64,0,0,-4,-7,52,4.4,21,74,6.5,0.53,0.528,7.0,-1.0,78,,*9,
1931,26,PHI,NL,148,657,43,-1,0,-8,-6,28,2.7,20,48,4.8,0.519,0.5,5.7,-1.5,56,$17500.00,*798,MVP-2
1932,27,PHI,NL,154,711,58,0,0,-6,-7,46,4.5,21,66,7,0.529,0.528,7.3,-1.4,72,$17500.00,*9,MVP-1
1933,28,PHI,NL,152,667,60,-1,0,-2,-7,50,5.3,20,70,7.5,0.536,0.534,8,-1.1,72,$17500.00,*9/8,ASMVP-2
1934,29,CHC,NL,115,485,22,0,0,2,-5,19,2,15,33,3.4,0.516,0.511,3.1,-0.3,31,$30000.00,*79/8,AS
1935,30,CHC,NL,119,485,14,0,0,4,-5,13,1.3,15,28,2.8,0.511,0.508,2,-0.1,24,$17289.00,*9,
1936,31,CHC,NL,29,126,5,0,0,1,-1,4,0.4,4,9,0.9,0.515,0.503,0.8,0.0,8,,9,
1936,31,PHI,NL,117,529,14,-1,0,-7,-5,1,0.1,17,18,1.8,0.501,0.501,2.5,-1.3,25,,*9/7,
1937,32,PHI,NL,115,449,18,0,0,-6,-5,7,0.7,15,22,2.2,0.506,0.504,2.8,-1,28,$11000.00,97,
1938,33,PHI,NL,129,500,-11,0,0,-4,-6,-21,-2.4,16,-5,-1,0.483,0.486,-0.2,-1.1,-1,,*9/7,
1939,34,PHI,NL,25,59,-1,0,0,0,-1,-1,-0.1,2,1,0.1,0.495,0.50,0.1,-0.1,1,,9/3,
1939,34,PIT,NL,85,302,12,0,0,-3,-3,6,0.6,10,16,1.6,0.508,0.504,2.0,-0.7,19,$8500.00,97,
1940,35,PHI,NL,116,400,-8,0,0,1,-4,-12,-1.3,14,2,0.1,0.489,0.492,0.0,-0.4,1,,1,
1941,36,PHI,NL,50,84,-7,0,0,0,-1,-8,-1,3,-5,-0.6,0.482,0.495,-0.6,-0.1,-5,,9/7,
1942,37,PHI,NL,14,14,-2,0,0,0,0,-3,-0.3,0,-2,-0.2,0.479,0.498,-0.2,0.0,-2,,,
1943,38,PHI,NL,12,20,-3,0,0,-1,0,-4,-0.5,1,-4,-0.4,0.459,0.497,-0.3,-0.1,-3,,/7,
1944,39,PHI,NL,4,7,-1,0,0,0,0,-1,-0,0,-1,-0.1,0.470,0.499,-0.1,0.0,-1,,/9,
17 Seasons,17 Seasons,17 Seasons,,1753,7171,340,-2,0,-40,-74,224,20.5,221,445,43.6,0.512,0.51,48.0,-11.8,485,$119289.00,,
PHI (15 yrs),PHI (15 yrs),PHI (15 yrs),,1405,5773,287,-2,0,-44,-59,182,16.4,177,360,34.9,0.512,0.512,39.8,-10.7,404,$63500.00,,
CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),,263,1096,40,0,0,7,-12,36,4,34,69,7.1,0.513,0.5,6.3,-0.4,63,$47289.00,,
PIT (1 yr),PIT (1 yr),PIT (1 yr),,85,302,12,0,0,-3,-3,6,0.6,10,16,1.6,0.508,0.504,2,-0.7,19,$8500.00,,
