Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1988,22,HOU,NL,50,131,-3,1,0,-2,2,-1,-0.2,4,3,0.3,0.497,0.499,0.5,0.0,5,,2,
1989,23,HOU,NL,134,509,12,4,2,-16,8,11,1.0,16,27,2.7,0.509,0.507,4.5,-0.9,43,$78000.00,*2/87,SS
1990,24,HOU,NL,150,621,-2,-3,2,3,7,8,0.9,20,28,2.9,0.51,0.505,2.3,1.2,25,$240000.00,*287/9,
1991,25,HOU,NL,149,609,16,2,2,-5,9,24,2.5,20,43,4.4,0.517,0.5,5.0,0.4,48,$437500.00,*2/487,AS
1992,26,HOU,NL,162,721,18,2,2,-7,5,20,2.2,21,40,4,0.514,0.514,4.9,-0.2,47,$1425000.00,*4,AS
1993,27,HOU,NL,155,707,26,-3,-1,-4,4,22,2.3,20,43,4.3,0.515,0.514,5,0.1,47,$3050000.00,*4,
1994,28,HOU,NL,114,511,29,6,1,-7,3,32,3,15,48,4.6,0.528,0.520,5.3,-0.4,54,$3500000.00,*4,ASMVP-16GGSS
1995,29,HOU,NL,141,673,39,3,2,-2,4,46,4.5,19,65,6.3,0.533,0.528,7,0.2,67,$4725000.00,*4,ASMVP-10GGSS
1996,30,HOU,NL,162,723,25,5,2,2,4,38,3.3,21,59,5.5,0.523,0.523,5.5,0.5,57,$2075000.00,*4,ASGG
1997,31,HOU,NL,162,744,43,7,2,19,4,76,7.3,21,97,9.4,0.547,0.547,7.5,2.3,78,$6280000.00,*4/D,ASMVP-4GGSS
1998,32,HOU,NL,160,738,40,11,0,-7,4,47,4.4,21,69,6.5,0.529,0.529,7.4,-0,76,$6145000.00,*4/D,ASMVP-5SS
1999,33,HOU,NL,160,749,19,2,2,7,4,34,3.0,22,55,5,0.520,0.520,4.5,1.0,48,$6060000.00,*4/7D,MVP-12
2000,34,HOU,NL,101,466,1,2,0,-3,3,3,0.1,14,16,1.4,0.502,0.50,1.8,-0.1,19,$6750000.00,4,
2001,35,HOU,NL,155,717,15,5,1,-11,4,15,1.3,21,35,3.3,0.509,0.509,4.4,-0.7,46,$7750000.00,*4/D,
2002,36,HOU,NL,145,655,-4,5,0,-18,4,-13,-1.5,19,6,0.4,0.491,0.492,2.3,-1.5,24,$8750000.00,*4/7,
2003,37,HOU,NL,153,717,5,3,1,-5,4,8,0.6,20,28,2.6,0.505,0.505,3.1,-0.2,33,$9750000.00,*8,
2004,38,HOU,NL,156,700,7,1,0,-13,-2,-7,-1,21,14,1.2,0.496,0.496,2.6,-2,27,$3000000.00,*78/D,
2005,39,HOU,NL,155,651,7,1,2,-11,3,3,0,20,23,2.1,0.502,0.502,3.3,-0.9,34,$3000000.00,*4/D,
2006,40,HOU,NL,145,607,-14,1,-1,-2,3,-13,-1.4,19,6,0.4,0.491,0.492,1,0.1,8,$4000000.00,*4/D,
2007,41,HOU,NL,141,555,-21,-1,1,-19,3,-37,-3.7,17,-19,-2.1,0.47,0.478,-0.2,-1.7,0,$5150000.00,*4/D2,
20 Seasons,20 Seasons,20 Seasons,,2850,12504,257,54,22,-100,82,314,29.1,372,687,65.5,0.511,0.511,76.2,-2.9,787,$82165500.00,,
