Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,24,PHI,NL,153,665,4,-5,0,8,10,18,2.0,20,37,4.2,0.514,0.513,3.4,2.2,29,,*6,
1916,25,PHI,NL,142,572,-11,-1,0,13,10,11,1.3,18,28,3.2,0.510,0.508,1.5,2.9,15,,*6,
1917,26,PHI,NL,127,540,-3,0,0,9,8,14,1.7,16,30,3.4,0.51,0.511,2.3,2.1,21,,*6/47,
1918,27,PHI,NL,125,566,-2,-1,0,-2,8,3,0.3,16,19,2.0,0.503,0.5,2.3,0.7,21,,*6,
1919,28,PHI,NL,92,375,0,-1,0,-5,6,1,-0.1,12,12,1,0.501,0.500,1.9,0.0,17,,6,
1920,29,PHI,NL,42,185,0,-2,0,4,3,5,0.5,5,10,1.1,0.513,0.503,1,0.8,6,,6,
1920,29,NYG,NL,108,488,7,1,0,21,7,36,4,14,51,5.7,0.539,0.526,3.3,3.2,30,,*6,
1921,30,NYG,NL,153,698,19,2,0,22,10,53,5.2,20,73,7.4,0.535,0.533,5,3.2,51,,*6,
1922,31,NYG,NL,156,745,13,0,0,17,10,41,4.0,21,62,6.0,0.525,0.524,4.4,2.7,45,,*6,
1923,32,NYG,NL,107,513,9,0,0,8,7,24,2.3,14,38,3.7,0.522,0.514,2.9,1.5,30,,64,
1924,33,BSN,NL,79,362,-2,0,0,-1,5,2,0.2,10,13,1.3,0.503,0.502,1.4,0,14,,6,
1925,34,BSN,NL,128,560,19,1,0,9,8,37,3.4,17,54,5.1,0.527,0.521,4.3,1.6,45,,*6,MVP-6
1926,35,BSN,NL,127,540,17,0,0,-1,8,24,2.4,17,41,4.1,0.519,0.515,4.2,0.7,42,,*6/5,MVP-9
1927,36,BSN,NL,111,427,-11,0,0,-9,7,-14,-1.4,13,0,-0.1,0.488,0.492,1,-0.2,9,,*6/5,
1928,37,BRO,NL,149,591,-22,-1,0,5,10,-8,-0.9,18,11,1.0,0.50,0.5,0.6,2,6,$40000.00,*6,
1929,38,BRO,NL,104,403,-18,-1,0,-5,7,-17,-1.5,12,-4,-0,0.485,0.491,0.2,0.2,1,,6,
1930,39,NYG,NL,10,19,-4,0,0,0,0,-3,-0,1,-3,-0.2,0.470,0.498,-0.2,0.0,-3,,/6,
16 Seasons,16 Seasons,16 Seasons,,1913,8249,15,-8,0,93,126,226,23.2,245,471,48.6,0.513,0.511,39.2,23.5,378,$40000.00,,
PHI (6 yrs),PHI (6 yrs),PHI (6 yrs),,681,2903,-12,-9,0,27,45,51,5.8,87,137,15.0,0.509,0.507,12.0,8.7,110,,,
NYG (5 yrs),NYG (5 yrs),NYG (5 yrs),,534,2463,44,3,0,68,35,150,15.3,70,220,22.5,0.529,0.525,15.6,10.7,152,,,
BSN (4 yrs),BSN (4 yrs),BSN (4 yrs),,445,1889,23,0,0,-2,29,50,4.5,57,107,10.4,0.511,0.509,10.8,2.5,109,,,
BRO (2 yrs),BRO (2 yrs),BRO (2 yrs),,253,994,-40,-1,0,0,17,-24,-2.4,31,6,0.7,0.491,0.493,0.8,1.6,6,$40000.00,,
