Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1973,21,SDP,NL,56,154,1,-1,0,-1,-1,-3,-0.4,5,2,0.1,0.494,0.498,0.3,-0.4,3,,7/83,
1974,22,SDP,NL,145,544,11,1,-1,-2,-5,4,0.4,18,22,2.1,0.503,0.503,2.2,-0.8,24,,*798,
1975,23,SDP,NL,143,591,7,5,1,2,-5,10,1.0,19,29,2.9,0.51,0.507,2.5,-0.4,27,,*9,
1976,24,SDP,NL,137,567,22,5,-1,9,-5,30,3.4,18,49,5.1,0.525,0.5,4.1,0.4,40,,*98,
1977,25,SDP,NL,157,678,23,4,2,9,-6,32,3.2,22,53,5,0.521,0.521,4.3,0.3,44,$90000.00,*9,AS
1978,26,SDP,NL,158,649,34,1,0,-9,-5,21,2.3,21,42,4.3,0.514,0.514,5,-1.6,51,,*98/37,ASMVP-10
1979,27,SDP,NL,159,686,50,0,1,12,-6,58,6,22,79,8.3,0.539,0.538,7.0,0.6,68,,*9,ASMVP-3GG
1980,28,SDP,NL,162,643,23,5,0,-6,-6,16,1.7,22,38,3.9,0.511,0.511,5,-1.4,44,,*98,ASGG
1981,29,NYY,AL,105,440,16,5,0,-7,-3,10,1.1,15,25,2.5,0.511,0.507,3.4,-1.1,32,$1300000.00,*78/D,ASMVP-7SS
1982,30,NYY,AL,140,597,26,3,-2,-7,-5,15,1.6,20,35,3.5,0.511,0.510,4.3,-1.3,43,,*7/D,ASMVP-11GGSS
1983,31,NYY,AL,152,664,28,1,-4,-18,-5,3,0.4,22,25,2.5,0.502,0.502,4.3,-2,42,$1661040.00,*78/9,ASMVP-7GGSS
1984,32,NYY,AL,141,626,41,1,1,-6,-5,33,3.4,21,53,5,0.524,0.521,6.1,-1.1,60,$1820704.00,*98/7,ASMVP-8GGSS
1985,33,NYY,AL,155,689,15,2,2,-1,-6,12,1.3,22,35,3.4,0.508,0.51,3.6,-0.7,36,$1795704.00,*9/D,ASMVP-12GGSS
1986,34,NYY,AL,154,652,15,2,-2,0,-6,9,1.0,22,32,3.1,0.506,0.506,3.1,-0.5,32,$1886714.00,*9/D5,AS
1987,35,NYY,AL,156,655,15,0,-3,-9,-6,-3,-0.3,22,19,1.8,0.498,0.498,2.8,-1.5,28,$1911714.00,*9/D,ASGG
1988,36,NYY,AL,149,631,44,5,-1,-10,-6,32,3,22,53,5.4,0.522,0.520,6,-1.5,63,$1958652.00,*9/D,ASMVP-4
,,,,,,,,,,,,,,,,,,,,,,,
1990,38,NYY,AL,20,67,-2,0,0,-3,-1,-6,-0.7,2,-4,-0.4,0.467,0.496,-0.1,-0.5,-1,$1958652.00,7/D,
1990,38,CAL,AL,112,470,18,2,-2,-19,-4,-5,-0.5,17,12,1.2,0.496,0.497,3.2,-2.4,31,,9/D,
1991,39,CAL,AL,150,633,13,-1,-3,-18,-7,-16,-1.6,23,6,0.5,0.489,0.490,2.5,-2.6,24,$3300000.00,*9D,
1992,40,TOR,AL,156,670,29,-2,0,0,-13,16,1.7,25,40,4.1,0.511,0.510,4.1,-1.3,40,$2300000.00,*D9,MVP-5SS
1993,41,MIN,AL,143,594,1,-1,-1,-5,-11,-18,-1.9,22,4,0.2,0.487,0.489,0.9,-1.7,9,$2700000.00,D9/3,
1994,42,MIN,AL,77,328,-4,1,-1,-1,-7,-12,-1.1,12,1,0.1,0.486,0.493,0.2,-0.7,2,$2725000.00,*D/9,
1995,43,CLE,AL,46,130,-10,0,-1,0,-4,-15,-1,5,-10,-1,0.469,0.491,-1,-0.3,-10,$600000.00,D,
22 Seasons,22 Seasons,22 Seasons,,2973,12358,416,38,-15,-91,-127,221,24,419,641,64.2,0.51,0.51,74.1,-22.7,731,$26008180.00,,
NYY (9 yrs),NYY (9 yrs),NYY (9 yrs),,1172,5021,198,19,-9,-61,-42,105,11.2,169,274,27.1,0.509,0.508,34,-10.4,335,$14293180.00,,
SDP (8 yrs),SDP (8 yrs),SDP (8 yrs),,1117,4512,171,20,1,13,-38,167,18,147,313,32.0,0.516,0.516,30.3,-3.1,301,$90000.00,,
MIN (2 yrs),MIN (2 yrs),MIN (2 yrs),,220,922,-3,-1,-2,-6,-18,-30,-3.0,35,5,0.3,0.487,0.490,1.1,-2.4,11,$5425000.00,,
CAL (2 yrs),CAL (2 yrs),CAL (2 yrs),,262,1103,31,1,-5,-37,-12,-21,-2.1,40,19,1.7,0.492,0.493,5.7,-5.1,55,$3300000.00,,
CLE (1 yr),CLE (1 yr),CLE (1 yr),,46,130,-10,0,-1,0,-4,-15,-1.4,5,-10,-1,0.469,0.491,-1,-0.3,-10,$600000.00,,
TOR (1 yr),TOR (1 yr),TOR (1 yr),,156,670,29,-2,0,0,-13,16,1.7,25,40,4.1,0.511,0.51,4.1,-1.3,40,$2300000.00,,
