Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1947,20,BRO,NL,40,89,-6,0,0,0,-1,-7,-0.7,4,-4,-0.4,0.482,0.495,-0.4,-0.1,-4,$5000.00,8/97,
1948,21,BRO,NL,53,172,-2,0,0,-2,-1,-4,-0.5,7,3,0.2,0.492,0.497,0.5,-0.3,5,$5000.00,1,
1949,22,BRO,NL,146,615,16,1,2,10,-1,28,2.7,24,52,5.2,0.52,0.518,4.2,1.0,42,$6500.00,*8,
1950,23,BRO,NL,152,684,33,0,5,-2,-1,35,3.3,25,60,5.8,0.523,0.5,6.2,-0.4,62,$12000.00,*8,ASMVP-9
1951,24,BRO,NL,150,672,13,0,-1,1,-1,12,1.2,24,37,4,0.508,0.508,3.7,0.0,35,$20000.00,*8,AS
1952,25,BRO,NL,144,598,24,2,-1,-2,-1,22,2.3,23,44,4.6,0.516,0.514,5,-0.3,46,$21000.00,*8,ASMVP-8
1953,26,BRO,NL,153,680,62,2,2,8,-1,73,7,25,98,9.3,0.546,0.543,8.7,0.6,90,$26000.00,*8,ASMVP-3
1954,27,BRO,NL,149,679,58,4,2,-1,-1,62,6.0,24,86,8.3,0.541,0.538,9,-0.3,87,$31000.00,*8,ASMVP-4
1955,28,BRO,NL,148,653,53,3,3,6,-1,65,6.2,24,89,8.6,0.544,0.540,8.2,0.4,82,$35000.00,*8,ASMVP-2
1956,29,BRO,NL,151,652,38,2,0,12,-1,52,5.1,24,76,7.6,0.537,0.534,6.8,1.0,64,$44000.00,*8,ASMVP-10
1957,30,BRO,NL,139,592,29,0,0,0,-1,29,2.8,22,51,5.0,0.522,0.518,5.3,-0,51,$44000.00,*8,MVP-18
1958,31,LAD,NL,106,365,11,0,0,-19,-1,-9,-0.9,14,5,0,0.492,0.495,2.5,-2.1,24,$44000.00,89/7,
1959,32,LAD,NL,126,435,21,-1,0,-11,-4,6,0.6,16,22,2.3,0.505,0.50,3.5,-1.5,33,$43500.00,*98/7,MVP-22
1960,33,LAD,NL,101,285,11,1,0,-6,-2,4,0.4,11,15,1.5,0.505,0.503,2.1,-0.8,21,$43000.00,89,
1961,34,LAD,NL,85,266,14,1,0,1,-2,14,1.4,10,24,2.4,0.516,0.509,2.3,-0.1,22,$38000.00,98,
1962,35,LAD,NL,80,196,11,0,0,-4,-2,5,1,7,12,1.2,0.506,0.503,1.6,-0.6,16,$38000.00,97/8,
1963,36,NYM,NL,129,415,7,0,2,-8,-5,-4,-0.5,16,12,1.2,0.496,0.497,2.1,-1.4,20,$38000.00,978,AS
1964,37,SFG,NL,91,189,-5,0,0,-5,-2,-12,-1.3,7,-5,-0.6,0.485,0.492,-0.1,-0.7,0,$32000.00,97,
18 Seasons,18 Seasons,18 Seasons,,2143,8237,389,14,13,-22,-26,369,35,306,675,66.3,0.517,0.516,70.7,-5.9,697,$526000.00,,
LAD (16 yrs),LAD (16 yrs),LAD (16 yrs),,1923,7633,386,15,11,-9,-19,385,37.0,284,668,65.7,0.520,0.52,68.6,-3.8,677,$456000.00,,
NYM (1 yr),NYM (1 yr),NYM (1 yr),,129,415,7,0,2,-8,-5,-4,-0.5,16,12,1.2,0.496,0.497,2.1,-1.4,20,$38000.00,,
SFG (1 yr),SFG (1 yr),SFG (1 yr),,91,189,-5,0,0,-5,-2,-12,-1,7,-5,-0.6,0.485,0.5,-0.1,-0.7,0,$32000.00,,
