Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1929,27,CLE,AL,152,680,32,-2,0,-8,-3,18,1.7,25,43,4.2,0.511,0.511,4.9,-1.1,51,$4800.00,*8,
1930,28,CLE,AL,139,606,28,0,0,-6,-3,19,1.7,23,42,4.0,0.513,0.511,4.5,-0.8,48,$7000.00,*8/9,
1931,29,CLE,AL,155,701,45,-1,0,-3,-3,38,3.6,26,64,6.1,0.52,0.522,6.3,-0.5,67,$9000.00,*8,MVP-4
1932,30,CLE,AL,153,712,35,-2,0,-6,-2,25,2.3,25,51,4.7,0.515,0.5,5.3,-0.8,56,$12500.00,*8,MVP-4
1933,31,CLE,AL,151,658,13,1,0,3,-2,15,1.5,25,40,4,0.510,0.509,3.5,0.1,37,$14500.00,*8,ASMVP-15
1934,32,CLE,AL,154,705,46,0,0,4,-2,48,4.4,26,74,6.8,0.529,0.527,7,0.2,70,$9000.00,*8,ASMVP-17
1935,33,CLE,AL,140,638,14,1,0,2,-2,15,1,23,39,3.6,0.510,0.509,3.5,-0.1,36,$13500.00,*8,AS
1936,34,CLE,AL,152,682,56,0,0,-4,-2,50,4.2,24,74,6.5,0.528,0.526,7,-0.5,78,$11000.00,*8,ASMVP-3
1937,35,CLE,AL,156,702,21,0,0,-9,-2,10,0.9,25,35,3.3,0.506,0.506,4.1,-1.0,44,$15000.00,*8,ASMVP-19
1938,36,CLE,AL,134,567,34,1,0,2,-2,35,3.2,20,55,5.0,0.523,0.519,4.8,0.1,53,$12000.00,*89,ASMVP-8
1939,37,CLE,AL,24,61,0,0,0,-2,-1,-3,-0.2,2,0,0.0,0.490,0.499,0.1,-0,2,,9,
1939,37,DET,AL,87,366,0,0,0,-1,-4,-5,-0.4,13,9,1,0.495,0.497,0.9,-0.4,10,$13000.00,7/8,
1940,38,DET,AL,64,124,-5,0,0,-4,-1,-10,-1.0,4,-6,-0.6,0.485,0.49,-0.2,-0.4,-2,$10000.00,8/79,
1941,39,BSN,NL,8,19,-2,0,0,0,0,-2,-0.2,1,-2,-0.2,0.469,0.498,-0.2,0.0,-2,,/87,
13 Seasons,13 Seasons,13 Seasons,,1669,7221,318,-3,0,-32,-27,255,22.8,262,517,48.0,0.514,0.513,51.1,-5.3,549,$131300.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CLE (11 yrs),CLE (11 yrs),CLE (11 yrs),,1510,6712,325,-4,0,-27,-23,272,24.4,244,516,47.9,0.516,0.515,50.6,-4.5,543,$108300.00,,
DET (2 yrs),DET (2 yrs),DET (2 yrs),,151,490,-5,0,0,-5,-4,-14,-1.4,17,3,0.3,0.491,0.496,0.7,-0.8,8,$23000.00,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,8,19,-2,0,0,0,0,-2,-0.2,1,-2,-0.2,0.469,0.498,-0.2,0.0,-2,,,
