Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1924,25,NYY,AL,24,39,3,0,0,0,0,2,0.2,1,4,0.4,0.509,0.501,0.4,0.0,4,$5000.00,/789,
1925,26,NYY,AL,150,674,23,-2,0,-1,-4,16,1.5,25,41,4.0,0.510,0.509,4.0,-0.5,42,$7500.00,*87,MVP-18
1926,27,NYY,AL,145,670,3,0,0,0,-4,0,-0.1,24,24,2.3,0.50,0.500,2.4,-0.4,23,$9000.00,*8/9,
1927,28,NYY,AL,152,726,40,1,0,8,-3,46,4.4,25,70,6.8,0.529,0.5,6.0,0.5,62,$10500.00,*8,
1928,29,NYY,AL,149,709,23,0,0,1,-3,21,2.1,24,45,5,0.514,0.513,4.4,-0.2,44,$13500.00,*8,MVP-6
1929,30,NYY,AL,142,666,32,1,0,-2,-3,28,2.5,23,51,4.9,0.518,0.516,5,-0.5,53,$13500.00,*8,
1930,31,NYY,AL,137,617,39,0,0,0,-5,34,3,22,56,5.2,0.522,0.518,5.2,-0.5,56,$13500.00,*789,
1931,32,NYY,AL,138,636,24,2,0,-2,-2,21,2.0,23,44,4.3,0.514,0.512,4,-0.3,46,$13500.00,*8,
1932,33,NYY,AL,144,675,29,-2,0,4,-4,27,2.4,24,50,4.7,0.517,0.515,4.4,0.0,46,$12500.00,*87,
1933,34,NYY,AL,122,472,16,0,0,-5,-2,9,0.9,18,27,2.6,0.507,0.506,3.1,-0.7,32,$11500.00,*87/9,
1934,35,NYY,AL,63,295,12,0,0,1,-1,12,1.1,10,22,2.1,0.518,0.507,2.0,0,21,$10000.00,87,
1935,36,NYY,AL,89,335,-2,-1,0,2,-3,-3,-0.4,13,9,0.8,0.496,0.498,0.7,-0.1,7,$10000.00,78,
12 Seasons,12 Seasons,12 Seasons,,1455,6514,242,-1,0,6,-36,211,19.6,232,443,42.5,0.514,0.512,41.9,-2.7,437,$130000.00,,
