Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1913,20,CHW,AL,9,12,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,0.474,0.499,-0.2,0.0,-2,$1500.00,/8,
1914,21,IND,FL,74,185,2,1,0,2,-2,3,0.4,3,6,0.6,0.504,0.502,0.4,0.1,4,$2000.00,7/839,
1915,22,NEW,FL,145,613,15,0,0,0,-4,11,1.3,10,21,2.3,0.51,0.508,2.2,-0.4,21,,*8/9,
1916,23,NYG,NL,39,71,-5,0,0,-1,-1,-6,-0.8,2,-4,-0.5,0.480,0.5,-0.4,-0.2,-3,,9/8,
1916,23,CIN,NL,69,300,9,1,0,3,-2,11,1.4,9,20,2,0.520,0.509,1.9,0.2,17,$5000.00,8,
1917,24,CIN,NL,136,567,33,-1,0,-3,-3,26,3.1,17,44,4.9,0.523,0.520,5,-0.8,47,,*8,
1918,25,CIN,NL,113,492,25,0,0,0,-3,23,3,14,37,4.1,0.524,0.517,4.2,-0.4,37,,*8,
1919,26,CIN,NL,133,572,27,-1,0,6,-3,29,3.3,17,46,5.1,0.526,0.521,5,0.2,40,,*8,
1920,27,CIN,NL,149,649,30,0,0,8,-4,34,3.8,19,54,5.9,0.526,0.524,5.1,0.4,46,,*83/4,
1921,28,CIN,NL,112,463,26,-1,0,0,-3,22,2.1,14,36,3.7,0.520,0.514,3.8,-0.4,36,$15000.00,*8,
1922,29,CIN,NL,49,189,9,0,0,-1,-1,7,0.7,6,13,1.3,0.514,0.504,1.4,-0,14,,8,
1923,30,CIN,NL,138,592,37,-3,0,-2,-4,28,2.7,18,46,4.5,0.520,0.517,4.7,-0.5,48,,*8,
1924,31,CIN,NL,121,519,22,0,0,-4,-3,14,1.4,16,30,3.0,0.51,0.509,3.5,-0.8,34,$19000.00,*8,MVP-10
1925,32,CIN,NL,134,590,20,-3,0,2,-4,16,1.4,18,34,3.2,0.511,0.509,3.1,-0.2,31,$19000.00,*8,MVP-10
1926,33,CIN,NL,144,630,20,-1,0,-8,-4,7,1,19,26,2.6,0.505,0.5,3.4,-1,34,$19000.00,*8/3,
1927,34,NYG,NL,140,615,-2,0,0,-2,-3,-7,-0.8,19,11,1.1,0.495,0.496,1.4,-0.6,13,$23333.00,*8,
1928,35,NYG,NL,46,180,-6,0,0,0,-1,-7,-0.7,6,-1,-0.1,0.485,0.496,-0.1,-0,-1,$23333.00,8,
1929,36,NYG,NL,115,508,8,-1,0,0,-2,5,0.5,16,21,2.0,0.504,0.503,2.0,-0.2,21,$23333.00,*8,
,,,,,,,,,,,,,,,,,,,,,,,
1931,38,CIN,NL,101,400,-9,0,0,-6,-3,-18,-1.9,12,-5,-1,0.48,0.489,0.1,-0.9,1,,87,
18 Seasons,18 Seasons,18 Seasons,,1967,8147,261,-8,0,-6,-49,198,21,236,434,45.3,0.511,0.5,46.3,-6,440,$150499.00,,
CIN (12 yrs),CIN (12 yrs),CIN (12 yrs),,1399,5963,251,-9,0,-5,-37,200,21.3,181,381,40,0.516,0.512,41.0,-4.7,386,$77000.00,,
NYG (4 yrs),NYG (4 yrs),NYG (4 yrs),,340,1374,-5,0,0,-3,-7,-15,-1.8,42,27,2.5,0.495,0.50,2.9,-1.1,30,$69999.00,,
NEW (2 yrs),NEW (2 yrs),NEW (2 yrs),,219,798,18,0,0,2,-6,14,1.7,13,27,2.9,0.507,0.506,2.6,-0.3,25,$2000.00,,
CHW (1 yr),CHW (1 yr),CHW (1 yr),,9,12,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,0.474,0.499,-0.2,0,-2,$1500.00,,
