Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1906,19,PHA,AL,6,18,-2,0,0,0,0,-1,-0.1,1,-1,-0.1,0.476,0.499,-0.1,0.0,-1,,/645,
1907,20,PHA,AL,14,24,1,0,0,-1,0,0,0.0,1,1,0.1,0.503,0.500,0.3,-0.1,2,$4200.00,/6,
1908,21,PHA,AL,102,369,6,-1,0,-7,1,-1,-0.1,13,13,1.4,0.50,0.500,2.2,-0.7,20,,46/897,
1909,22,PHA,AL,153,666,45,5,0,11,0,61,7.3,23,84,9.7,0.549,0.5,8.5,1.3,73,,*4/6,
1910,23,PHA,AL,153,667,33,10,0,24,0,67,7.8,24,91,11,0.552,0.549,7.7,2.9,67,,*4,
1911,24,PHA,AL,132,595,46,-1,0,-1,0,44,4.4,21,65,6.6,0.533,0.527,7,0.0,66,,*4,MVP-3
1912,25,PHA,AL,153,677,49,7,0,6,0,62,6,24,86,8.8,0.541,0.539,8.1,0.7,80,,*4,MVP-6
1913,26,PHA,AL,148,654,46,2,0,11,0,59,6.5,23,82,9.0,0.545,0.541,8,1.2,71,$7000.00,*4,MVP-3
1914,27,PHA,AL,152,659,52,4,0,1,0,57,6.4,24,81,9.1,0.543,0.540,9.1,0.0,80,,*4,MVP-1
1915,28,CHW,AL,155,681,50,0,0,12,0,62,6.8,25,86,9.4,0.544,0.542,8.0,1.4,74,$15000.00,*4,
1916,29,CHW,AL,155,675,29,2,0,8,0,39,4.5,25,64,7.1,0.530,0.529,6.2,1,55,$15000.00,*4,
1917,30,CHW,AL,156,688,22,3,0,-5,1,21,2.4,25,46,5.0,0.516,0.515,5.7,-0.5,51,$15000.00,*4,
1918,31,CHW,AL,97,424,12,0,0,-1,1,12,1.5,15,28,3.1,0.52,0.509,3.3,0.0,29,$15000.00,4,
1919,32,CHW,AL,140,628,20,0,0,3,2,25,2.8,22,48,5.1,0.520,0.517,4.7,0.6,45,$15000.00,*4,
1920,33,CHW,AL,153,703,45,3,0,5,3,56,6,25,81,7.9,0.536,0.5,7.4,1,76,$15000.00,*4,
1921,34,CHW,AL,139,610,18,-1,0,3,3,23,2.2,23,46,4.5,0.516,0.513,4.1,1,43,$15000.00,*4,
1922,35,CHW,AL,154,702,14,0,0,-5,5,14,1.3,25,39,3.9,0.509,0.509,4.4,-0.1,44,$15000.00,*4,MVP-5
1923,36,CHW,AL,145,633,39,-1,0,-2,5,41,3.9,24,65,6.3,0.527,0.524,6.6,0.3,67,$15000.00,*4,MVP-2
1924,37,CHW,AL,152,678,36,3,0,-15,5,29,2.8,25,54,5.2,0.518,0.516,6.6,-0.9,69,$15000.00,*4,MVP-2
1925,38,CHW,AL,118,534,32,3,0,-4,4,35,3.2,20,54,5.1,0.527,0.52,5.5,0,58,$3000.00,*4,
1926,39,CHW,AL,106,455,26,0,0,-4,3,25,2.4,17,42,4.1,0.523,0.515,4.6,-0.1,46,$35000.00,4,
1927,40,PHA,AL,95,289,14,1,0,-4,2,12,1.2,11,23,2.3,0.512,0.507,2.6,-0.2,27,$15000.00,4/6,
1928,41,PHA,AL,36,37,0,0,0,0,0,0,0,1,2,0.2,0.501,0.5,0.2,0,2,$15000.00,/46,
1929,42,PHA,AL,9,9,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.485,0.499,-0.1,0,-1,$15000.00,,
1930,43,PHA,AL,3,3,0,0,0,0,0,0,0,0,0,0,0.508,0.5,0,0,0,$15000.00,,
25 Seasons,25 Seasons,25 Seasons,,2826,12078,629,40,0,35,36,741,78.9,438,1178,124,0.528,0.525,119.9,8.2,1143,$259200.00,,
PHA (13 yrs),PHA (13 yrs),PHA (13 yrs),,1156,4667,287,28,0,40,4,360,39.6,167,527,57.3,0.535,0.532,52.9,5.1,487,$71200.00,,
CHW (12 yrs),CHW (12 yrs),CHW (12 yrs),,1670,7411,341,12,0,-5,32,381,39.3,271,652,66.7,0.524,0.521,67,3.1,656,$188000.00,,
