Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1952,20,BSN,NL,145,593,7,0,0,-7,0,1,0.0,22,23,2.3,0.501,0.500,3.2,-0.8,30,$6000.00,*5,MVP-21RoY-3
1953,21,MLN,NL,157,681,57,0,2,3,1,63,5.8,25,88,8.3,0.538,0.537,8.3,0.3,85,$10000.00,*5,ASMVP-2
1954,22,MLN,NL,138,600,54,2,0,3,0,59,5.8,22,81,8.0,0.54,0.536,7.8,0.3,78,$35000.00,*57,MVP-19
1955,23,MLN,NL,141,616,49,-1,1,4,1,53,5.0,23,76,7.3,0.538,0.5,7.2,0.3,72,$50000.00,*5,ASMVP-18
1956,24,MLN,NL,151,651,32,2,2,-3,1,34,3.2,24,58,6,0.524,0.522,6.4,-0.4,61,$50000.00,*5,AS
1957,25,MLN,NL,148,666,42,0,3,3,2,50,5.0,24,74,7.4,0.535,0.532,7,0.4,71,$50000.00,*5,ASMVP-8
1958,26,MLN,NL,149,649,17,3,1,16,2,40,4,24,64,6.5,0.528,0.526,4.9,1.9,47,$55000.00,*5,AS
1959,27,MLN,NL,148,682,57,-2,1,-2,3,57,5.8,24,81,8.2,0.539,0.536,9,0.1,83,$50000.00,*5,ASMVP-2
1960,28,MLN,NL,153,671,48,1,0,-5,3,47,4.9,25,72,7.4,0.532,0.531,8.0,-0.3,77,$65000.00,*5,ASMVP-10
1961,29,MLN,NL,152,672,47,-2,2,-1,3,48,4.8,25,73,7.2,0.532,0.530,7.4,0.2,75,$67500.00,*5,ASMVP-17
1962,30,MLN,NL,152,643,27,-2,1,1,3,31,3.2,24,55,5.7,0.521,0.519,5.4,1,54,$65000.00,*5/3,ASMVP-29
1963,31,MLN,NL,158,675,33,-2,0,14,0,46,5.3,25,70,8,0.533,0.533,6.2,1.8,56,$62500.00,*57,
1964,32,MLN,NL,141,590,8,2,1,5,2,19,2.3,22,42,4.6,0.515,0.51,3.9,1.0,36,$57500.00,*5/3,
1965,33,MLN,NL,156,626,20,1,0,3,3,27,3.0,24,51,5.4,0.520,0.519,5.1,0.7,48,$55000.00,*5,MVP-20
1966,34,ATL,NL,134,517,3,-1,1,1,3,6,0.8,19,25,2.7,0.505,0.504,2.5,0.5,24,$57500.00,*5,
1967,35,HOU,NL,101,383,2,0,1,-4,-4,-5,-1,14,9,0.9,0.494,0.496,1.3,-0.8,13,$57500.00,35,
1967,35,DET,AL,36,128,3,0,0,0,0,4,0.5,4,8,0.9,0.514,0.503,0.9,0.0,8,,53,
1968,36,DET,AL,31,57,-1,0,0,1,0,0,0.0,2,2,0.2,0.501,0.500,0.1,0.1,1,$75000.00,/35,
17 Seasons,17 Seasons,17 Seasons,,2391,10100,506,1,18,33,22,580,59,371,952,96.6,0.525,0.523,94.2,5.6,919,$868500.00,,
ATL (15 yrs),ATL (15 yrs),ATL (15 yrs),,2223,9532,502,1,16,35,27,581,58.9,352,932,94.6,0.53,0.525,92.0,6.4,897,$736000.00,,
DET (2 yrs),DET (2 yrs),DET (2 yrs),,67,185,3,0,0,2,-1,5,0.5,6,11,1.1,0.508,0.502,1,0.1,9,$75000.00,,
HOU (1 yr),HOU (1 yr),HOU (1 yr),,101,383,2,0,1,-4,-4,-5,-0.5,14,9,0.9,0.494,0.496,1.3,-0.8,13,$57500.00,,
