Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1898,22,PHI,NL,134,565,39,-1,0,2,-8,31,2.9,19,51,4.9,0.522,0.518,4.8,-0.6,49,,*O,
1899,23,PHI,NL,127,546,26,-1,0,8,-7,26,2.3,19,44,4.2,0.518,0.514,3.5,0.0,36,,*O,
1900,24,PHI,NL,138,623,57,-1,0,-4,-8,44,3.8,21,65,5.9,0.53,0.524,6.4,-1.1,68,,*O,
1901,25,PHI,NL,138,612,39,0,0,15,-8,46,4.5,19,65,6.6,0.533,0.5,5.3,0.7,50,$3000.00,*O,
1902,26,PHA,AL,11,48,2,0,0,0,-1,2,0.2,2,4,0,0.516,0.501,0.4,-0.1,4,,O,
1902,26,CLE,AL,110,482,13,-1,0,0,-6,6,0.6,17,23,2.2,0.506,0.504,2,-0.6,23,,*O,
1903,27,CLE,AL,140,593,23,-1,0,6,-7,21,2,21,42,4.4,0.516,0.514,3.9,-0.3,35,,*O,
1904,28,CLE,AL,150,659,37,2,0,3,-8,34,3.9,22,56,6.5,0.527,0.525,6,-0.7,53,,*O/4,
1905,29,CLE,AL,132,573,35,1,0,-2,-7,28,3.1,20,47,5.3,0.524,0.520,5.6,-1.1,49,,*O/4,
1906,30,CLE,AL,157,700,37,1,0,2,-6,34,4.0,23,57,6.5,0.525,0.525,6.2,-0.4,55,,*O/4,
1907,31,CLE,AL,147,637,31,1,0,2,-7,27,3.2,22,50,5.6,0.522,0.520,5.3,-1,48,,*O,
1908,32,CLE,AL,9,39,0,0,0,0,0,-1,-0.1,1,1,0.1,0.493,0.500,0,-0.1,1,,/9,
1909,33,CLE,AL,66,263,-1,0,0,0,-3,-4,-0.6,9,6,0.5,0.493,0.497,0.5,-0.4,6,,98/7,
1910,34,CLE,AL,24,77,2,0,0,-2,-1,-1,-0.2,3,2,0.2,0.494,0.499,0.4,-0,4,,9,
13 Seasons,13 Seasons,13 Seasons,,1483,6417,339,0,0,30,-77,293,29.8,219,511,53,0.521,0.518,50.8,-5.5,481,$3000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CLE (9 yrs),CLE (9 yrs),CLE (9 yrs),,935,4023,177,3,0,9,-45,144,16.2,139,284,31.2,0.518,0.516,30.5,-4.5,275,,,
PHI (4 yrs),PHI (4 yrs),PHI (4 yrs),,537,2346,160,-3,0,21,-31,146,13.5,78,224,21.7,0.526,0.521,19.9,-1.0,203,$3000.00,,
PHA (1 yr),PHA (1 yr),PHA (1 yr),,11,48,2,0,0,0,-1,2,0.2,2,4,0.4,0.516,0.501,0.4,-0.1,4,,,
