Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1938,22,STL,NL,112,431,2,0,0,-2,-4,-4,-0.5,14,11,1.0,0.497,0.498,1.3,-0.7,12,$2400.00,98/7,
1939,23,STL,NL,149,664,18,0,0,10,-7,21,2.1,21,42,4.3,0.515,0.514,3.4,0.3,32,$4500.00,*9,MVP-19
1940,24,STL,NL,140,570,23,-1,0,2,-6,19,1.8,19,38,3.9,0.51,0.512,3.7,-0.5,36,$6500.00,*9,
1941,25,STL,NL,113,484,23,0,0,-3,-5,15,1.5,17,32,3.3,0.514,0.5,3.6,-0.9,35,$8000.00,*9,ASMVP-19
1942,26,STL,NL,152,687,42,-1,0,2,-7,37,4.0,21,57,6,0.527,0.526,6.1,-0.7,55,$11000.00,*9,ASMVP-2
,,,,,,,,,,,,,,,,,,,,,,,
1946,30,STL,NL,156,685,26,-1,0,-2,-7,16,2,25,41,4.4,0.512,0.511,4.6,-1.1,43,$12000.00,*9,ASMVP-3
1947,31,STL,NL,147,619,11,0,0,6,-7,10,1.0,24,34,3.4,0.507,0.506,3,0.0,28,$17500.00,*79,ASMVP-20
1948,32,STL,NL,146,637,27,3,1,4,-7,28,2.8,25,53,5.4,0.520,0.518,5.0,-0.3,49,$17500.00,*79,ASMVP-7
1949,33,STL,NL,151,655,37,0,2,4,-7,36,3.6,26,62,6.2,0.524,0.523,5.8,-0.3,58,$20000.00,*7,ASMVP-3
1950,34,STL,NL,148,632,4,0,3,0,-7,0,-0.2,24,24,2.3,0.500,0.500,2.4,-1,24,$25000.00,*97,AS
1951,35,STL,NL,123,483,8,0,1,3,-5,8,0.8,18,26,3,0.507,0.505,2.5,-0.2,23,$18750.00,*9,AS
1952,36,STL,NL,140,587,22,2,2,4,-6,24,2.5,22,46,4.8,0.518,0.52,4.4,-0.3,42,$20000.00,*9,ASMVP-6
1953,37,STL,NL,143,579,17,-2,1,-5,-6,7,0.5,22,28,2.6,0.505,0.504,3.3,-1.1,33,$20000.00,*9,AS
1954,38,NYY,AL,69,154,5,-1,1,-5,-1,-1,-0.1,5,4,0.4,0.499,0.499,0.9,-0.7,9,$20000.00,9/7,
1955,39,NYY,AL,10,10,-1,0,0,0,0,-1,-0,0,-1,-0.1,0.485,0.499,-0.1,0.0,-1,$20000.00,,
1955,39,KCA,AL,108,315,15,0,-1,1,-3,12,1,10,22,2,0.511,0.508,2.1,-0.2,21,,9,
1956,40,KCA,AL,91,255,3,1,0,3,-3,4,0.5,8,12,1.2,0.505,0.503,0.9,0.1,9,$20000.00,97/8,
1956,40,NYY,AL,24,89,0,1,1,-3,-1,-2,-0,3,1,0.1,0.491,0.499,0.3,-0.4,3,,1,
1957,41,NYY,AL,96,255,0,-1,0,6,-3,2,0.2,8,10,1,0.503,0.502,0.4,0.3,4,$20000.00,7/9,
1958,42,NYY,AL,77,160,6,1,0,-2,-2,4,0.4,5,9,0.9,0.505,0.502,1,-0.4,10,$18000.00,97,
1959,43,NYY,AL,74,114,-5,0,1,-2,-1,-8,-0.9,4,-4,-0.5,0.489,0.495,-0.2,-0.4,-2,$18000.00,9/7,
1959,43,MLN,NL,11,21,-2,0,0,-1,0,-3,-0.4,1,-3,-0.3,0.468,0.498,-0.1,-0.2,-1,,/7,
19 Seasons,19 Seasons,19 Seasons,,2380,9086,282,3,12,20,-93,224,22.5,320,544,55.3,0.51,0.509,54.1,-8.2,524,$299150.00,,
STL (13 yrs),STL (13 yrs),STL (13 yrs),,1820,7713,261,2,11,24,-80,217,21.9,278,495,50.5,0.513,0.511,49,-6.4,471,$183150.00,,
NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),,350,782,5,0,3,-6,-8,-6,-0.8,24,18,1.7,0.498,0.5,2.3,-1.5,24,$96000.00,,
KCA (2 yrs),KCA (2 yrs),KCA (2 yrs),,199,570,18,1,-1,4,-5,16,1.7,17,34,3.4,0.508,0.505,3,-0.1,30,$20000.00,,
MLN (1 yr),MLN (1 yr),MLN (1 yr),,11,21,-2,0,0,-1,0,-3,-0.4,1,-3,-0.3,0.468,0.498,-0.1,-0.2,-1,,,
