Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1953,22,CHC,NL,10,39,2,0,0,1,1,3,0.3,1,5,0.5,0.533,0.502,0.4,0.2,4,$2000.00,6,
1954,23,CHC,NL,154,650,-4,-3,1,-2,9,2,0.0,24,26,2.4,0.501,0.501,2.7,0.7,28,$6000.00,*6,MVP-16RoY-2
1955,24,CHC,NL,154,646,38,1,-2,14,9,60,5.8,24,85,8.2,0.54,0.538,7.1,2.2,71,$10000.00,*6,ASMVP-3
1956,25,CHC,NL,139,593,24,-2,0,2,8,32,3.0,22,54,5.3,0.524,0.5,5.5,0.9,52,$17500.00,*6,ASMVP-28
1957,26,CHC,NL,156,673,37,1,1,-7,7,39,3.8,25,64,6,0.526,0.525,7.4,-0.1,71,$20000.00,65,ASMVP-6
1958,27,CHC,NL,154,682,48,2,0,10,9,68,6.9,25,92,9.3,0.545,0.543,9,1.9,83,$27500.00,*6,ASMVP-1
1959,28,CHC,NL,155,671,42,1,-1,23,9,74,8,25,99,10.2,0.549,0.547,7.8,3.5,76,$45000.00,*6,ASMVP-1
1960,29,CHC,NL,156,678,31,-1,2,9,9,51,5.3,25,76,7.9,0.535,0.533,7,2.0,67,$50000.00,*6,ASMVP-4GG
1961,30,CHC,NL,138,573,14,-1,-1,8,5,24,2.4,22,46,4.6,0.518,0.515,3.8,1.2,38,$57500.00,*67/3,AS
1962,31,CHC,NL,154,657,12,0,-2,2,-8,2,0.3,25,27,2.8,0.502,0.502,2.5,-0.6,25,$55000.00,*3/5,ASMVP-18
1963,32,CHC,NL,130,484,-8,1,-1,1,-7,-14,-1.7,18,4,0.3,0.487,0.490,0.1,-1,3,$55000.00,*3,
1964,33,CHC,NL,157,637,1,0,-2,14,-9,4,0.6,24,28,3,0.503,0.503,1.4,0.7,15,$57500.00,*3,
1965,34,CHC,NL,163,680,8,-2,-1,-2,-9,-6,-0.7,26,20,1.9,0.496,0.50,2.2,-1.3,22,$52500.00,*3,AS
1966,35,CHC,NL,141,554,1,-3,-2,-5,-7,-16,-1.7,20,4,0.4,0.487,0.489,0.8,-1.2,9,$55000.00,*3/5,
1967,36,CHC,NL,151,615,12,0,-3,-2,-8,0,0.2,22,22,2.4,0.500,0.500,2.5,-1.0,24,$55000.00,*3,ASMVP-14
1968,37,CHC,NL,150,595,16,1,-1,0,-8,9,1,20,29,3.5,0.507,0.507,3.2,-0.8,29,$55000.00,*3,MVP-13
1969,38,CHC,NL,155,629,-8,-1,-3,-7,-8,-27,-2.9,21,-6,-0.7,0.480,0.481,-0.1,-1.6,1,$60000.00,*3,ASMVP-12
1970,39,CHC,NL,72,247,-4,-1,-1,-2,-3,-11,-1.0,8,-2,-0.2,0.485,0.493,-0.1,-0.5,0,,3,
1971,40,CHC,NL,39,92,-5,-1,0,-2,-1,-8,-1,3,-5,-0.7,0.475,0.494,-0.5,-0.3,-4,,3,
19 Seasons,19 Seasons,19 Seasons,,2528,10395,255,-6,-16,55,-2,285,28.5,382,667,67.5,0.51,0.511,62.1,5.1,613,$680500.00,,
