Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1931,23,BRO,NL,73,196,1,0,0,0,2,2,0.2,6,8,0.8,0.503,0.501,0.9,0.2,8,,2,
1932,24,CIN,NL,118,458,19,1,0,-4,4,19,1.9,14,33,3.4,0.516,0.512,3.8,0.0,37,,*2,
1933,25,CIN,NL,107,374,2,0,0,-2,3,3,0.2,12,14,1.5,0.50,0.502,1.8,0.1,16,,2,
1934,26,CIN,NL,132,436,5,1,0,1,4,10,1.0,13,23,2.4,0.508,0.5,2.2,0.5,22,,*2,
1935,27,CIN,NL,120,352,22,0,0,-1,3,24,2.4,11,35,4,0.520,0.515,3.6,0.2,36,,2,MVP-13
1936,28,CIN,NL,121,413,21,0,0,-1,3,24,2.4,13,38,3.8,0.520,0.515,4,0.2,39,,*2,ASMVP-20
1937,29,CIN,NL,120,384,15,0,0,-4,3,14,1,12,27,2.7,0.512,0.509,3.1,-0.1,31,,2,AS
1938,30,CIN,NL,129,529,34,1,0,0,4,39,3.8,17,56,5.7,0.531,0.524,6,0.4,56,$16000.00,*2,ASMVP-1
1939,31,CIN,NL,130,494,12,1,0,-2,4,14,1.4,16,30,3.1,0.511,0.509,3.4,0.1,32,$17000.00,*2,AS
1940,32,CIN,NL,109,414,20,0,0,0,3,24,2.4,14,38,3.9,0.523,0.515,3.9,0.3,38,,2,ASMVP-9
1941,33,CIN,NL,117,434,-1,0,0,-3,4,0,-0.1,15,15,1.5,0.500,0.500,1.8,0,18,$18000.00,*2,
1942,34,BSN,NL,105,347,24,0,0,-2,3,25,2.7,11,36,4,0.526,0.517,4.1,0.0,38,,2,ASMVP-13
1943,35,NYG,NL,104,316,9,0,0,-1,2,10,1.1,10,20,2.1,0.511,0.51,2.3,0.2,21,$15000.00,2,AS
1944,36,NYG,NL,117,408,-2,0,0,-1,3,0,0.0,13,13,1.3,0.500,0.500,1.4,0.2,14,,2,
1945,37,NYG,NL,115,417,21,0,0,-1,3,24,2.5,13,37,3.7,0.521,0.515,3.9,0.3,38,,2,
1946,38,NYG,NL,88,263,9,0,0,0,2,11,1,10,21,2.2,0.514,0.508,2.2,0.2,21,,2,
1947,39,NYG,NL,48,117,0,0,0,0,1,1,0,5,5,1,0.501,0.500,0.5,0.1,5,,2,
17 Seasons,17 Seasons,17 Seasons,,1853,6352,208,5,0,-21,51,243,24.4,206,449,45.9,0.514,0.510,48.5,2.9,470,$66000.00,,
CIN (10 yrs),CIN (10 yrs),CIN (10 yrs),,1203,4288,148,4,0,-16,35,171,17,138,309,31.3,0.514,0.511,33.1,1.7,325,$51000.00,,
NYG (5 yrs),NYG (5 yrs),NYG (5 yrs),,472,1521,36,1,0,-3,12,46,4.9,51,97,10,0.510,0.507,10.3,1.0,99,$15000.00,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,105,347,24,0,0,-2,3,25,2.7,11,36,3.9,0.526,0.517,4,0.0,38,,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,73,196,1,0,0,0,2,2,0.2,6,8,0.8,0.503,0.501,0.9,0.2,8,,,
