Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%▼,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,29,CHW,AL,146,649,67,0,-1,-4,-10,52,5.0,24,76,7.3,0.534,0.530,7.6,-1.2,80,$7150000.00,3D,ASMVP-3
1994,26,CHW,AL,113,517,72,-3,-2,-8,-7,52,4.7,18,70,6.4,0.541,0.529,7.1,-1.3,78,$2755000.00,*3D,ASMVP-1SS
1991,23,CHW,AL,158,701,66,-2,-3,-4,-12,45,4.7,24,70,7.0,0.53,0.528,7.4,-1.6,73,$120000.00,D3,MVP-3SS
1992,24,CHW,AL,160,711,59,4,-3,-8,-9,43,4.6,26,69,7.0,0.528,0.5,7.9,-1.8,77,$620000.00,*3/D,MVP-8
1993,25,CHW,AL,153,676,56,0,1,-8,-9,40,3.9,25,64,6,0.525,0.524,7.1,-1.7,72,$1115000.00,*3/D,ASMVP-1SS
2000,32,CHW,AL,159,707,59,-3,-2,-2,-13,39,3.7,26,65,6.0,0.522,0.522,6,-1.3,66,$7100000.00,*D3,MVP-2SS
1996,28,CHW,AL,141,649,61,-2,-5,-11,-8,36,4,23,59,5.6,0.523,0.520,6.4,-1.5,70,$7150000.00,*3,ASMVP-8
1995,27,CHW,AL,145,647,57,-1,-1,-12,-10,33,3.1,24,57,5.3,0.521,0.519,7,-2.0,68,$7150000.00,3D,ASMVP-8
2003,35,CHW,AL,153,662,36,-2,0,-1,-13,19,1.9,25,44,4.3,0.512,0.511,4.4,-1.3,45,$5000000.00,*D3,MVP-15
2004,36,CHW,AL,74,311,23,-1,1,1,-6,18,1.7,12,29,2.8,0.523,0.510,2.7,-0.4,28,$6000000.00,D/3,
1990,22,CHW,AL,60,240,20,1,-1,-2,-3,15,1.5,9,23,2.3,0.525,0.509,2.6,-1,25,$100000.00,3/D,
2006,38,OAK,AL,137,559,30,-4,-2,0,-13,11,1.1,21,32,3,0.508,0.507,3.2,-1.2,32,$3100000.00,*D,MVP-4
1998,30,CHW,AL,160,712,26,3,-1,-2,-15,11,1.1,26,37,3.5,0.506,0.51,3.7,-1.6,38,$7000000.00,*D3,
1999,31,CHW,AL,135,590,22,-2,-2,-6,-10,3,0.3,22,25,2.3,0.502,0.501,3.0,-1.5,31,$7000000.00,D3,
2005,37,CHW,AL,34,124,3,-1,0,0,-3,0,0.0,5,5,0.4,0.500,0.500,0.4,-0.3,5,$8000000.00,D,
2007,39,TOR,AL,155,624,19,-4,-3,0,-14,-1,-0.1,23,22,2.2,0.499,0.499,2.2,-1.3,22,$5560000.00,*D,MVP-23
2001,33,CHW,AL,20,79,0,0,0,-1,-2,-3,-0,3,0,0.0,0.487,0.498,0.1,-0,1,$9927000.00,D/3,
2002,34,CHW,AL,148,628,14,-3,-1,1,-13,-3,-0,24,20,1.9,0.498,0.498,1.9,-1.2,20,$9927000.00,*D/3,
2008,40,TOR,AL,16,72,-2,0,-1,0,-1,-5,-0.5,3,-2,-0.2,0.470,0.497,-0,-0.1,-2,$12560000.00,D,
2008,40,OAK,AL,55,217,4,-2,-1,0,-5,-4,-0.4,8,4,0.4,0.49,0.497,0.4,-0.5,4,,D,
19 Seasons,19 Seasons,19 Seasons,,2322,10075,691,-24,-27,-65,-175,400,39.3,369,768,73.9,0.516,0.515,80.5,-22.5,833,$107334000.00,,
CHW (16 yrs),CHW (16 yrs),CHW (16 yrs),,1959,8603,640,-13,-21,-65,-143,398,39,314,712,68.3,0.519,0.517,75,-19.5,777,$86114000.00,,
OAK (2 yrs),OAK (2 yrs),OAK (2 yrs),,192,776,33,-6,-3,0,-17,7,0.8,29,36,3.6,0.503,0.504,3.6,-1.6,36,$3100000.00,,
TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),,171,696,17,-4,-3,0,-15,-6,-0.5,26,20,2,0.496,0.499,2,-1.4,20,$18120000.00,,
