Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1919,21,NYG,NL,54,197,-8,2,0,2,1,-3,-0.4,6,3,0.2,0.493,0.498,0.0,0.3,1,,8,
1920,22,NYG,NL,110,473,-2,4,0,8,4,14,1.5,14,29,3.1,0.515,0.510,2.2,1.3,20,,*5/6,
1921,23,NYG,NL,153,687,24,8,0,12,5,49,4.8,20,69,6.9,0.53,0.530,5.8,1.6,57,,54,
1922,24,NYG,NL,132,582,10,1,0,12,4,27,2.6,18,45,4.4,0.520,0.5,3.2,1.6,33,$15000.00,45/6,
1923,25,NYG,NL,151,703,30,3,0,14,5,52,5.1,20,72,7,0.534,0.531,5.7,1.9,58,$15000.00,*45,
1924,26,NYG,NL,145,675,26,3,0,20,6,55,5.5,19,74,7.5,0.539,0.534,6,2.6,54,$17500.00,*46/5,MVP-3
1925,27,NYG,NL,120,542,15,0,0,6,6,26,2,16,42,4.0,0.521,0.515,3.5,1.1,36,,546,MVP-9
1926,28,NYG,NL,135,589,6,1,0,17,5,28,2.8,18,46,4.6,0.521,0.518,3,2.2,29,,*4/5,
1927,29,STL,NL,153,693,23,5,0,37,5,70,7.1,20,91,9.2,0.547,0.544,5.5,4.4,54,,*4/6,MVP-2
1928,30,STL,NL,141,631,9,2,0,6,5,22,2.1,19,41,4.1,0.516,0.514,3.6,1.0,35,,*4,
1929,31,STL,NL,138,598,14,1,0,-4,4,16,1.4,18,34,3.2,0.510,0.509,3.7,0,38,,*45/6,MVP-20
1930,32,STL,NL,133,611,19,-1,0,11,4,34,2.9,18,52,4.7,0.522,0.518,3.8,1.3,41,,*45,
1931,33,STL,NL,131,570,3,2,0,10,4,19,1.9,17,36,3.7,0.52,0.512,2.8,1.4,26,,*4,MVP-1
1932,34,STL,NL,115,513,-9,1,0,0,4,-5,-0.6,15,10,1.0,0.496,0.497,1.1,0.4,10,,45/6,MVP-21
1933,35,STL,NL,147,646,9,0,0,-10,6,4,0,19,24,2.5,0.503,0.5,3.7,-1,34,,*46,ASMVP-16
1934,36,STL,NL,140,605,0,-1,0,3,4,6,0.6,19,25,2.5,0.505,0.504,2.2,1,22,$18500.00,*45,ASMVP-16
1935,37,STL,NL,103,402,-3,0,0,3,3,3,0.3,12,15,1.5,0.502,0.502,1.2,0.7,12,,1,ASMVP-14
1936,38,STL,NL,93,348,-5,0,0,-7,2,-10,-1.0,11,2,0.2,0.490,0.494,0.9,-0.5,9,,45/6,
1937,39,STL,NL,17,34,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,0.486,0.499,-0.1,0.0,-1,,/4,
19 Seasons,19 Seasons,19 Seasons,,2311,10099,159,29,0,140,77,405,39.1,302,708,70.4,0.517,0.52,57.1,22,567,$66000.00,,
STL (11 yrs),STL (11 yrs),STL (11 yrs),,1311,5651,58,8,0,49,42,157,14.8,171,328,32.6,0.512,0.511,28.1,9.0,279,$18500.00,,
NYG (8 yrs),NYG (8 yrs),NYG (8 yrs),,1000,4448,101,21,0,91,35,248,24.2,131,379,37.8,0.525,0.522,28.9,12.7,288,$47500.00,,
