Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1924,18,NYG,NL,52,88,-3,0,0,0,1,-2,-0.2,3,1,0.1,0.497,0.499,0.1,0.1,1,,45,
1925,19,NYG,NL,104,385,-2,-2,0,-6,3,-7,-0.8,12,5,0.4,0.493,0.496,1.1,-0.3,10,,5/46,
1926,20,NYG,NL,140,612,7,-1,0,0,5,11,1.0,19,30,2.9,0.51,0.507,3.0,0.4,30,,*5/9,MVP-9
1927,21,NYG,NL,138,619,8,-1,0,1,0,9,0.8,18,27,2.7,0.506,0.5,2.7,0.1,26,,57,
1928,22,NYG,NL,153,686,29,-1,0,11,5,44,4.3,21,64,6,0.529,0.527,5.4,1.5,53,,*5,MVP-2
1929,23,NYG,NL,130,600,0,-1,0,5,3,8,0.7,18,26,2.5,0.506,0.504,2,0.8,21,,*5,
1930,24,NYG,NL,148,671,43,-1,0,6,4,52,4,20,72,6.4,0.530,0.527,6.0,0.9,66,,*5,
1931,25,NYG,NL,78,330,6,0,0,-1,-3,1,0.0,10,11,1.1,0.501,0.501,1,-0.5,12,,9/4,
1932,26,NYG,NL,144,627,-7,0,0,-3,-2,-12,-1.3,19,7,0.7,0.491,0.492,1.0,-0.5,10,,*85/9,
1933,27,PIT,NL,138,596,18,0,0,6,-2,22,2.3,18,40,4.3,0.518,0.515,3.7,0.4,34,,*87,
1934,28,PIT,NL,97,416,-3,0,0,0,-4,-7,-0.7,13,6,0.6,0.493,0.496,0.6,-0,6,,7,
1935,29,CHC,NL,90,363,-8,0,0,2,0,-6,-0.6,11,5,1,0.493,0.496,0.3,0.2,3,,85,
1936,30,BRO,NL,26,115,-6,0,0,0,-1,-7,-0.7,4,-3,-0.3,0.473,0.50,-0.3,-0.1,-3,,7/8,
13 Seasons,13 Seasons,13 Seasons,,1438,6108,81,-6,0,21,9,105,9.3,185,290,28.4,0.507,0.507,26.8,2.6,268,,,
,,,,,,,,,,,,,,,,,,,,,,,
NYG (9 yrs),NYG (9 yrs),NYG (9 yrs),,1087,4618,80,-7,0,13,16,103,9,139,242,23.2,0.509,0.508,22.5,2.6,229,,,
PIT (2 yrs),PIT (2 yrs),PIT (2 yrs),,235,1012,15,1,0,6,-7,15,1.6,31,46,4.9,0.507,0.507,4.3,-0.1,40,,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,26,115,-6,0,0,0,-1,-7,-0.7,4,-3,-0.3,0.473,0.496,-0.3,-0.1,-3,,,
CHC (1 yr),CHC (1 yr),CHC (1 yr),,90,363,-8,0,0,2,0,-6,-0.6,11,5,0.5,0.493,0.496,0.3,0.2,3,,,
