Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1922,21,CHC,NL,31,82,-8,0,0,0,1,-7,-0.7,3,-5,-0.4,0.478,0.496,-0.5,0.1,-4,,2,
1923,22,CHC,NL,85,262,2,1,0,1,0,4,0.4,8,13,1.2,0.505,0.503,1.1,0.1,11,,23,
1924,23,CHC,NL,111,406,18,2,0,-3,3,21,2.1,13,34,3.4,0.52,0.513,3.7,0.0,37,,*2,MVP-15
1925,24,CHC,NL,117,443,11,-1,0,0,4,14,1.2,14,27,2.6,0.511,0.5,2.7,0.3,27,,*2,
1926,25,CHC,NL,93,326,6,0,0,-1,3,9,0.8,10,19,2,0.509,0.505,2.0,0.2,20,,2,
1927,26,CHC,NL,127,509,9,0,0,1,4,14,1.4,16,30,3.0,0.512,0.509,3,0.5,29,,*2,MVP-10
1928,27,CHC,NL,120,464,25,0,0,2,4,31,3,14,45,4.4,0.525,0.519,4.3,0.6,43,,*2,MVP-14
1929,28,CHC,NL,25,29,1,0,0,0,0,2,0.2,1,3,0.2,0.506,0.501,0,0.0,2,,/2,
1930,29,CHC,NL,141,577,35,1,0,2,5,43,3.6,18,60,5.4,0.526,0.523,5.3,0.5,58,$18000.00,*2,
1931,30,CHC,NL,116,438,8,0,0,1,4,12,1.2,14,26,2.6,0.511,0.508,2.6,0.4,25,,*2,
1932,31,CHC,NL,121,463,6,1,0,-1,4,10,1.0,14,24,2.5,0.508,0.506,2.6,0,25,,*2/3,
1933,32,CHC,NL,140,535,9,0,0,1,4,15,1.6,17,31,3.4,0.512,0.510,3.3,0.6,30,,*2,ASMVP-18
1934,33,CHC,NL,130,487,18,1,0,2,4,25,2.4,15,40,4.0,0.52,0.515,3.7,0.6,38,,*2,ASMVP-14
1935,34,CHC,NL,116,461,30,0,0,2,4,36,3.5,14,50,5.0,0.530,0.522,4.8,0.6,48,$17289.00,*2,ASMVP-1
1936,35,CHC,NL,121,468,8,1,0,2,4,15,1,15,30,3.0,0.512,0.5,2.8,1,28,$19355.00,*2,ASMVP-11
1937,36,CHC,NL,110,405,30,1,0,1,3,35,3.4,13,48,4.8,0.532,0.5,4.7,0.4,47,$17500.00,*2,ASMVP-2
1938,37,CHC,NL,88,353,11,0,0,2,3,16,1.6,11,28,2.8,0.5,0.5,2.6,0.4,26,,2,ASMVP-10
1939,38,CHC,NL,97,351,8,0,0,0,3,11,1.1,11,23,2.3,0.512,0.507,2.3,0.3,23,$20000.00,2,MVP-23
1940,39,CHC,NL,37,73,0,0,0,0,1,1,0.1,2,3,0.3,0.502,0.500,0.3,0.1,3,,2/3,
1941,40,NYG,NL,64,165,4,0,0,0,1,5,0.5,6,11,1.1,0.509,0.503,1.1,0.1,11,,2,
20 Seasons,20 Seasons,20 Seasons,,1990,7297,232,8,0,12,57,309,29.7,228,538,53.4,0.515,0.5,52.7,7,526,$92144.00,,
CHC (19 yrs),CHC (19 yrs),CHC (19 yrs),,1926,7132,228,7,0,12,56,304,29.1,223,527,52.3,0.516,0.512,51.6,6.5,515,$92144.00,,
NYG (1 yr),NYG (1 yr),NYG (1 yr),,64,165,4,0,0,0,1,5,0.5,6,11,1.1,0.509,0.503,1.1,0.1,11,,,
