Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1974,20,MON,NL,9,29,3,0,0,0,0,3,0.4,1,4,0.5,0.541,0.502,0.4,0.1,4,,/29,
1975,21,MON,NL,144,590,11,-2,1,3,1,14,1.4,19,33,3.3,0.511,0.509,2.9,0.4,30,,92/5,ASRoY-2
1976,22,MON,NL,91,347,-11,0,-1,12,3,2,0.2,11,13,1.3,0.50,0.502,-0.1,1.6,2,,29/7,
1977,23,MON,NL,154,595,26,-1,0,-1,10,35,3.5,19,54,5.4,0.524,0.5,5.4,0.9,55,,*2/7,
1978,24,MON,NL,157,607,11,3,0,11,10,35,3.9,20,54,6,0.525,0.524,4.5,2.4,43,$220000.00,*2/3,
1979,25,MON,NL,141,559,16,-1,-1,15,9,38,4.1,18,56,6.0,0.530,0.526,4,2.6,41,$220000.00,*2,ASMVP-17
1980,26,MON,NL,154,617,16,0,1,13,10,40,4,21,61,6.5,0.529,0.528,5.0,2.5,48,$220000.00,*2,ASMVP-2GG
1981,27,MON,NL,100,419,6,-4,-1,13,7,20,2.4,14,34,3.8,0.523,0.514,2,2.3,22,$240000.00,*2/3,ASMVP-6GGSS
1982,28,MON,NL,154,653,34,0,-1,14,10,58,6.4,22,80,8.6,0.541,0.539,6.9,2.8,66,$240000.00,*2,ASMVP-12GGSS
1983,29,MON,NL,145,609,10,0,0,27,9,47,5.0,21,67,7.1,0.536,0.532,4.1,4.0,40,,*2/3,AS
1984,30,MON,NL,159,669,33,-2,0,8,8,47,5.1,23,70,7.5,0.532,0.532,6.5,2,62,,*23,ASMVP-14SS
1985,31,NYM,NL,149,633,27,0,-1,8,9,43,4.7,22,65,7,0.532,0.529,5.9,1.9,56,$2028571.00,*2/39,ASMVP-6SS
1986,32,NYM,NL,132,573,8,1,-2,1,7,16,1.6,19,35,3.6,0.513,0.51,3.4,0.9,33,$2160714.00,*2/3795,ASMVP-3SS
1987,33,NYM,NL,139,573,-13,-1,-2,-1,8,-9,-0.9,20,11,1.0,0.494,0.495,1.0,0.8,12,$2060714.00,*2/39,AS
1988,34,NYM,NL,130,503,-5,-5,0,-10,7,-14,-1.6,17,4,0.1,0.488,0.490,1.3,-0.4,14,$2160714.00,*23/5,AS
1989,35,NYM,NL,50,166,-8,0,-1,0,3,-7,-0.8,5,-1,-0.3,0.485,0.495,-0.3,0.3,-1,$2198572.00,2/3,
1990,36,SFG,NL,92,272,4,-1,1,0,4,8,0.9,9,17,1.8,0.510,0.505,1.6,1,17,$250000.00,2/3,
1991,37,LAD,NL,101,280,2,-1,-2,1,3,4,0,9,13,1.2,0.504,0.502,1.1,1,11,$500000.00,23,
1992,38,MON,NL,95,325,-8,-2,0,-2,5,-8,-0.9,10,2,0.1,0.491,0.494,0.2,0.3,4,$825000.00,2/3,
19 Seasons,19 Seasons,19 Seasons,,2296,9019,159,-16,-7,112,124,372,40,300,672,70.1,0.518,0.516,56.3,26.1,560,$13324285.00,,
MON (12 yrs),MON (12 yrs),MON (12 yrs),,1503,6019,145,-9,0,112,82,331,35.9,199,530,55.8,0.52,0.522,42,21.6,418,$1965000.00,,
NYM (5 yrs),NYM (5 yrs),NYM (5 yrs),,600,2448,8,-5,-7,-1,35,30,3.0,83,113,11,0.505,0.506,11.4,3.5,114,$10609285.00,,
SFG (1 yr),SFG (1 yr),SFG (1 yr),,92,272,4,-1,1,0,4,8,1,9,17,2,0.510,0.5,2,1,17,$250000.00,,
LAD (1 yr),LAD (1 yr),LAD (1 yr),,101,280,2,-1,-2,1,3,4,0.3,9,13,1.2,0.504,0.502,1.1,0.5,11,$500000.00,,
