Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1943,20,PHA,AL,1,5,0,0,0,0,0,0,0.0,0,0,0.0,0.513,0.500,0.0,0.0,0,$600.00,/5,
1944,21,PHA,AL,139,556,-15,0,0,0,0,-14,-1.6,16,2,0.0,0.489,0.490,0.0,0.0,2,$3000.00,*5,MVP-22
1945,22,PHA,AL,147,602,-5,1,0,10,0,6,0.7,17,24,2.5,0.51,0.505,1.3,1.1,14,$5000.00,*5,
1946,23,PHA,AL,26,100,2,0,0,1,0,3,0.4,3,6,0.7,0.514,0.5,0.6,0.1,5,$8500.00,5,MVP-16
1946,23,DET,AL,105,477,12,0,0,5,0,17,1.9,14,31,3,0.518,0.512,2.6,0.6,26,,*5/3,MVP-16
1947,24,DET,AL,152,662,16,-2,0,7,0,21,2.2,19,40,4.2,0.515,0.514,4,0.7,33,$15000.00,*5,ASMVP-5
1948,25,DET,AL,92,414,2,1,-1,-4,0,-2,-0,12,10,0.9,0.498,0.499,1.3,-0.4,14,$20000.00,5,ASMVP-16
1949,26,DET,AL,134,613,30,1,-1,2,0,32,3.1,17,49,4.8,0.524,0.519,5,0.2,47,$22500.00,*5,ASMVP-8
1950,27,DET,AL,157,724,25,3,-1,2,0,30,2.8,21,51,4.9,0.518,0.517,4.6,0.3,49,$35000.00,*5,ASMVP-4
1951,28,DET,AL,147,674,14,4,2,1,0,21,2.1,20,41,4.0,0.514,0.513,3.8,0.2,40,$42000.00,*5,ASMVP-15
1952,29,DET,AL,39,171,1,0,1,1,0,3,0.3,5,8,0.8,0.508,0.502,0.7,0,7,$40000.00,5,AS
1952,29,BOS,AL,75,312,11,1,-1,0,0,11,1.1,10,20,2,0.515,0.507,2.1,0.0,20,,5,AS
1953,30,BOS,AL,134,520,18,0,1,-5,0,14,1.4,16,30,3.1,0.511,0.51,3.6,-0.5,35,$40000.00,*5/7,ASMVP-26
1954,31,BOS,AL,26,109,0,0,0,-2,0,-2,-0.2,3,2,0.1,0.492,0.499,0.3,-0.2,3,$40000.00,5,AS
1954,31,CHW,AL,71,261,0,-1,0,-3,-2,-5,-0.5,8,3,0.3,0.493,0.497,0.6,-0.5,6,,35/79,AS
1955,32,CHW,AL,128,504,13,-1,1,-2,-1,10,1,15,26,2.7,0.508,0.507,2.8,-0.2,27,$40000.00,*53/7,
1956,33,CHW,AL,21,91,2,-1,0,0,0,1,0,3,4,0,0.504,0.501,0.4,0.0,4,$40000.00,5/3,AS
1956,33,BAL,AL,102,389,-1,0,1,1,1,1,0.1,12,13,1.3,0.501,0.501,1.1,0.2,12,,5/34,AS
1957,34,BAL,AL,99,345,6,-1,-1,0,0,4,0.4,11,15,1.4,0.504,0.503,1.5,-0.1,15,$35000.00,53,AS
15 Seasons,15 Seasons,15 Seasons,,1795,7529,131,7,-1,15,-1,152,15.1,221,373,37.4,0.509,0.51,35.4,1.6,358,$386600.00,,
DET (7 yrs),DET (7 yrs),DET (7 yrs),,826,3735,99,8,-1,14,1,122,12.2,107,229,22.8,0.515,0.513,21,1.6,215,$174500.00,,
PHA (4 yrs),PHA (4 yrs),PHA (4 yrs),,313,1263,-17,2,0,11,0,-5,-0.6,37,32,3.2,0.498,0.498,1.9,1.2,21,$17100.00,,
CHW (3 yrs),CHW (3 yrs),CHW (3 yrs),,220,856,16,-3,1,-5,-2,7,0.7,26,33,3.4,0.503,0.503,3.8,-0.7,37,$80000.00,,
BOS (3 yrs),BOS (3 yrs),BOS (3 yrs),,235,941,29,1,-1,-7,0,23,2.3,29,52,5,0.510,0.507,6.0,-0.7,58,$80000.00,,
BAL (2 yrs),BAL (2 yrs),BAL (2 yrs),,201,734,5,-1,0,1,0,5,0.5,23,28,2.7,0.503,0.502,2.6,0.1,26,$35000.00,,
