Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,22,SLB,AL,81,294,1,-1,0,-1,-3,-3,-0.4,11,8,0.4,0.495,0.498,0.6,-0.4,9,$7400.00,4,
1916,23,SLB,AL,151,644,21,-1,0,0,-5,15,1.7,24,39,4.1,0.512,0.511,4.2,-0.6,39,,*3/1589,
1917,24,SLB,AL,135,587,35,1,0,-1,-5,31,3.6,21,52,5.9,0.53,0.522,6.0,-0.7,53,,*3/4,
1918,25,SLB,AL,114,505,29,4,0,12,-4,41,4.9,18,59,6.8,0.543,0.5,5.3,1.0,47,,*3/1,
1919,26,SLB,AL,132,560,36,1,0,5,-5,36,4.0,21,57,6,0.530,0.524,5.5,0.1,52,,*3,
1920,27,SLB,AL,154,692,73,4,0,6,-6,76,7.4,25,101,9.8,0.548,0.546,9,0.0,95,$10000.00,*3/1,
1921,28,SLB,AL,138,635,34,4,0,4,-6,36,4,23,59,5.7,0.525,0.521,5.2,-0.1,55,$12500.00,*3,
1922,29,SLB,AL,142,655,62,4,0,6,-6,66,6.3,23,89,8.7,0.545,0.540,8,-0.1,83,$12500.00,*3,MVP-1
,,,,,,,,,,,,,,,,,,,,,,,
1924,31,SLB,AL,151,685,-11,-2,0,-3,-7,-23,-2.1,25,2,0.3,0.485,0.486,0.5,-0.9,5,$12500.00,*3,
1925,32,SLB,AL,150,689,8,-2,0,2,-7,2,0.2,25,27,2.6,0.501,0.501,2.4,-1,25,$20000.00,*3/1,
1926,33,SLB,AL,150,663,-15,0,0,-5,-7,-26,-2.7,25,-2,-0.2,0.482,0.484,0.3,-1.2,3,$20000.00,*3/1,
1927,34,SLB,AL,149,662,1,3,0,-3,-7,-6,-0.5,24,18,1.9,0.50,0.497,2.1,-0.9,21,$15000.00,*3,
1928,35,WSH,AL,20,51,-4,0,0,0,0,-5,-0.5,2,-3,-0.3,0.475,0.497,-0.3,-0.1,-3,$17500.00,/37,
1928,35,BSN,NL,118,537,15,-1,0,-2,-5,7,1,16,22,2.2,0.506,0.5,2.5,-1,24,,*3/1,
1929,36,BSN,NL,154,686,1,0,0,-13,-7,-19,-1.8,21,2,0.3,0.489,0.489,1.5,-2,15,,*3,
1930,37,BSN,NL,116,468,-11,-1,0,-1,-5,-18,-1.6,14,-4,-0.2,0.486,0.490,0.0,-0.5,-3,,*3,
15 Seasons,15 Seasons,15 Seasons,,2055,9013,274,13,0,6,-85,208,22.5,319,527,54.0,0.511,0.509,53.4,-7.6,521,$127400.00,,
,,,,,,,,,,,,,,,,,,,,,,,
SLB (12 yrs),SLB (12 yrs),SLB (12 yrs),,1647,7271,274,15,0,22,-67,244,26,266,510,52.1,0.52,0.513,49.7,-4.4,488,$109900.00,,
BSN (3 yrs),BSN (3 yrs),BSN (3 yrs),,388,1691,5,-2,0,-16,-18,-31,-2.8,51,20,2.3,0.49,0.494,4.0,-3.2,36,,,
WSH (1 yr),WSH (1 yr),WSH (1 yr),,20,51,-4,0,0,0,0,-5,-0.5,2,-3,-0.3,0.475,0.497,-0.3,-0.1,-3,$17500.00,,
