Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1871,24,BOS,NA,16,86,13,1,0,2,1,17,1.0,3,20,1.2,0.560,0.506,1.1,0.2,18,,6/3,
1872,25,BOS,NA,48,258,14,1,0,18,3,36,2.2,8,44,3.0,0.547,0.514,1.9,1.3,26,,*6,
1873,26,BOS,NA,59,332,28,-4,0,10,4,38,2.4,10,48,3.3,0.54,0.515,2.7,0.9,38,$1800.00,*6,
1874,27,BOS,NA,60,318,18,1,0,2,4,25,1.8,10,35,2.8,0.530,0.5,2.7,0.4,33,$1800.00,*6/5,
1875,28,BOS,NA,79,410,24,0,0,6,5,35,2.9,12,47,4,0.538,0.518,3.7,1.0,41,,*6/1,
1876,29,BSN,NL,70,343,13,0,0,6,5,24,2.0,11,34,3.1,0.529,0.513,3,0.9,28,,*6/41,
1877,30,BSN,NL,61,299,-2,0,0,6,1,6,1,9,15,1.4,0.509,0.503,0.9,0.6,9,,*4/6,
1878,31,BSN,NL,59,273,-13,0,0,6,4,-3,-0.4,9,6,0.6,0.495,0.498,0,1.0,0,$1800.00,*6,
1879,32,PRO,NL,85,401,9,0,0,17,6,32,3.0,13,45,4.3,0.536,0.519,2.8,2.1,28,$2000.00,*6,
1880,33,BSN,NL,1,4,0,0,0,0,0,0,0.0,0,0,0.0,0.500,0.500,0.0,0.0,0,,/6,
1881,34,BSN,NL,7,28,-1,0,0,1,0,1,0.1,1,2,0.2,0.509,0.500,0.1,0,1,,/6,
1882,35,PRO,NL,46,189,-19,0,0,1,3,-15,-1.4,6,-8,-0.7,0.470,0.491,-0.8,0.4,-9,,6,
12 Seasons,12 Seasons,12 Seasons,,591,2941,86,-2,0,75,36,196,13.9,91,286,23.2,0.52,0.510,17.6,8.9,211,$7400.00,,
,,,,,,,,,,,,,,,,,,,,,,,
BSN (5 yrs),BSN (5 yrs),BSN (5 yrs),,198,947,-2,0,0,19,10,27,2,30,56,5.2,0.512,0.5,3.6,3,37,$1800.00,,
BOS (5 yrs),BOS (5 yrs),BOS (5 yrs),,262,1404,97,-2,0,38,17,151,10.2,42,193,14.5,0.540,0.514,12.1,4,156,$3600.00,,
PRO (2 yrs),PRO (2 yrs),PRO (2 yrs),,131,590,-9,0,0,18,9,17,1.5,19,37,3.6,0.513,0.509,2.0,2.5,18,$2000.00,,
