Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1921,20,WSH,AL,14,58,-1,0,0,1,-1,0,0.0,2,2,0.2,0.499,0.500,0.1,0.0,1,$2400.00,9/7,
1922,21,WSH,AL,101,394,8,0,0,-2,-4,1,0.1,15,16,1.6,0.501,0.501,1.8,-0.7,18,$2400.00,7/9,
1923,22,WSH,AL,150,656,9,2,0,-2,-7,2,0.2,25,27,2.7,0.50,0.501,2.9,-0.9,29,$5000.00,*7,
1924,23,WSH,AL,154,674,39,-2,0,10,-7,40,3.9,25,65,6.4,0.525,0.5,5.3,0.4,55,$7000.00,*7,
1925,24,WSH,AL,150,670,32,4,0,14,-7,43,4.0,25,68,7,0.527,0.525,5.1,0.7,54,$9000.00,*78,
1926,25,WSH,AL,147,656,45,-1,0,6,-6,45,4.4,24,69,6.8,0.530,0.527,6,0.1,63,$13000.00,*78,MVP-9
1927,26,WSH,AL,148,658,30,3,0,4,-7,30,3,24,54,5.3,0.520,0.518,4.9,-0.3,50,$13000.00,*7/8,MVP-6
1928,27,WSH,AL,135,528,52,3,0,8,-6,57,5.5,20,76,7.5,0.541,0.534,7,0.2,68,$14000.00,*7/9,MVP-6
1929,28,WSH,AL,145,643,10,2,0,0,-7,5,0.5,24,29,2.9,0.503,0.503,2.8,-0.6,29,$16000.00,*7,
1930,29,WSH,AL,47,214,2,0,0,-2,-2,-2,-0.2,8,5,0.5,0.495,0.499,0.7,-0.4,7,$10000.00,7,
1930,29,SLB,AL,101,456,34,-1,0,6,-5,35,3.1,17,52,4.8,0.531,0.519,4.2,0,46,,7,
1931,30,SLB,AL,151,675,43,0,0,-2,-7,34,3.2,25,59,5.6,0.521,0.520,6,-0.8,61,$13000.00,*7,MVP-20
1932,31,SLB,AL,150,667,19,-1,0,-1,-7,11,1.0,25,36,3.4,0.507,0.506,3.5,-0.7,37,$11500.00,*7/5,MVP-17
1933,32,WSH,AL,132,599,9,1,0,8,-6,12,1.2,22,34,3.2,0.509,0.507,2.4,0,26,$11000.00,*9/7,
1934,33,DET,AL,151,686,12,0,0,-1,-7,4,0.3,25,29,3,0.502,0.502,2.9,-0.8,30,$9000.00,*7/9,MVP-14
1935,34,DET,AL,147,651,3,0,0,6,-7,2,0.1,24,27,2.5,0.501,0.501,2.0,-0.1,21,$10000.00,*79,
1936,35,DET,AL,147,660,26,1,0,-3,-7,17,1.5,24,41,3.7,0.510,0.509,4.0,-0.8,44,$12000.00,*7,AS
1937,36,DET,AL,79,219,-3,0,0,0,-2,-5,-0.5,8,3,0.3,0.494,0.497,0.3,-0.2,3,$12000.00,7/39,
1938,37,WSH,AL,38,65,-5,0,0,0,-1,-5,-0.5,2,-3,-0.3,0.488,0.497,-0.3,0.0,-3,$7000.00,1,
18 Seasons,18 Seasons,18 Seasons,,2287,9829,364,12,0,50,-101,325,30.5,363,689,66,0.513,0.51,61.4,-4.7,638,$177300.00,,
WSH (12 yrs),WSH (12 yrs),WSH (12 yrs),,1361,5815,230,12,0,45,-60,227,21.9,216,443,43,0.516,0.515,38.8,-1.4,398,$109800.00,,
DET (4 yrs),DET (4 yrs),DET (4 yrs),,524,2216,38,1,0,2,-22,18,1.4,81,99,9.1,0.503,0.503,9.2,-1.9,97,$43000.00,,
SLB (3 yrs),SLB (3 yrs),SLB (3 yrs),,402,1798,97,-1,0,3,-19,80,7.3,66,146,13.8,0.518,0.514,13.4,-1,144,$24500.00,,
