Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1923,23,NYG,NL,3,10,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.453,0.499,-0.1,0.0,-1,,/87,
1924,24,NYG,NL,107,434,15,1,0,-2,-3,10,1.0,13,24,2.4,0.510,0.507,2.7,-0.6,26,,*87/9,
1925,25,NYG,NL,62,206,-4,1,0,-5,-2,-10,-1.0,6,-4,-0.3,0.49,0.494,0.2,-0.7,1,,78/9,
1926,26,CHC,NL,142,614,38,-1,0,0,-4,34,3.3,19,52,5.2,0.524,0.5,5.2,-0.4,52,,*8,MVP-5
1927,27,CHC,NL,146,646,44,0,0,0,-3,40,4.0,19,60,6,0.528,0.525,6.0,-0.4,60,,*8,MVP-12
1928,28,CHC,NL,145,622,42,0,0,-4,-3,35,3.3,19,54,5.3,0.524,0.521,6,-0.8,58,,*8,MVP-7
1929,29,CHC,NL,150,670,49,0,0,0,-3,46,4,20,67,6.1,0.527,0.525,6.2,-0.3,67,,*8,MVP-8
1930,30,CHC,NL,155,709,76,0,0,-10,-3,63,5.3,21,84,7.4,0.534,0.533,8,-1.2,94,$22500.00,*8,
1931,31,CHC,NL,112,458,7,0,0,-6,-3,-3,-0.3,14,12,1.2,0.498,0.498,1.9,-1.0,18,$33000.00,*78/9,
1932,32,BRO,NL,135,538,26,0,0,-3,-6,18,1.7,17,34,3.5,0.513,0.511,3.8,-0.9,37,$16500.00,*9/87,MVP-13
1933,33,BRO,NL,117,413,9,0,0,-3,-4,2,0.2,13,15,1.6,0.502,0.501,1.9,-1,18,,7/894,
1934,34,BRO,NL,67,212,6,0,0,0,-2,5,0.4,7,11,1,0.507,0.503,1.1,-0.2,11,,79,
1934,34,PHI,NL,7,23,-3,0,0,0,0,-4,-0.4,1,-3,-0.3,0.445,0.50,-0.3,0.0,-3,,/79,
12 Seasons,12 Seasons,12 Seasons,,1348,5555,304,1,0,-33,-37,235,21.4,170,404,38.9,0.516,0.515,42.7,-7.2,437,$72000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CHC (6 yrs),CHC (6 yrs),CHC (6 yrs),,850,3719,256,-1,0,-20,-20,215,20,113,328,31.1,0.524,0.522,33.5,-4.0,348,$55500.00,,
NYG (3 yrs),NYG (3 yrs),NYG (3 yrs),,172,650,10,1,0,-7,-5,-1,-0.1,20,19,1.9,0.500,0.502,2.7,-1.3,26,,,
BRO (3 yrs),BRO (3 yrs),BRO (3 yrs),,319,1163,41,0,0,-6,-11,24,2.3,36,60,6.1,0.508,0.506,6.8,-1.9,66,$16500.00,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,7,23,-3,0,0,0,0,-4,-0,1,-3,-0.3,0.445,0.498,-0.3,0.0,-3,,,
