Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1954,20,MLN,NL,122,509,4,-2,-1,-1,-5,-5,-0.6,19,14,1.3,0.496,0.497,1.5,-0.7,15,$6000.00,*79,RoY-4
1955,21,MLN,NL,153,665,37,2,-1,7,-5,40,3.8,25,65,6.3,0.527,0.525,5.8,0.0,58,$10000.00,*974,ASMVP-9
1956,22,MLN,NL,153,660,41,0,-1,15,-7,47,4.6,24,72,7.2,0.53,0.531,6.0,0.7,57,$17500.00,*9,ASMVP-3
1957,23,MLN,NL,151,675,54,2,0,4,-4,55,5.5,25,80,8.0,0.538,0.5,7.8,-0.1,76,$22500.00,*98,ASMVP-1
1958,24,MLN,NL,153,664,44,3,-2,8,-6,48,4.8,25,72,7,0.532,0.531,6.6,0.2,64,$35000.00,*98,ASMVP-3GG
1959,25,MLN,NL,154,693,64,6,0,-4,-7,60,6.1,25,85,8.6,0.540,0.538,9,-1.1,89,$35000.00,*98/5,ASMVP-3GG
1960,26,MLN,NL,153,664,41,2,2,14,-7,52,6,25,77,8.0,0.537,0.534,6.5,0.8,63,$45000.00,*9/84,ASMVP-11GG
1961,27,MLN,NL,155,671,44,4,1,23,-4,68,6.9,25,94,9.4,0.545,0.543,7,2.0,70,$45000.00,*89/5,ASMVP-8
1962,28,MLN,NL,156,667,57,0,0,6,-4,59,6.1,25,85,8.6,0.539,0.537,7.9,0.3,79,$47500.00,*89/3,ASMVP-6
1963,29,MLN,NL,161,714,62,7,0,-5,-7,57,6.4,25,82,9.1,0.540,0.539,9.5,-1.3,87,$53000.00,*9,ASMVP-3
1964,30,MLN,NL,145,634,38,6,-2,4,-6,39,4.5,23,62,6.8,0.530,0.527,6.3,-0,59,$61000.00,*94,ASMVP-14
1965,31,MLN,NL,150,639,43,4,-1,10,-7,50,5.4,24,73,8,0.537,0.534,6.8,0.3,64,$63500.00,*9,ASMVP-7
1966,32,ATL,NL,158,688,36,6,0,12,-7,48,5.4,24,72,7.8,0.533,0.53,6.3,0.8,59,$70000.00,*9/84,ASMVP-8
1967,33,ATL,NL,155,669,53,4,1,1,-6,53,6.1,23,76,8.5,0.538,0.537,8.2,-0.5,75,$92500.00,*98/4,ASMVP-5
1968,34,ATL,NL,160,676,31,2,-2,10,-8,33,4.5,23,56,6.8,0.526,0.526,5.3,0.4,46,$92500.00,*93,ASMVP-12
1969,35,ATL,NL,147,639,56,-1,-2,6,-7,53,6,21,74,8.1,0.539,0.536,7.2,0.1,68,$92500.00,*9/3,ASMVP-3
1970,36,ATL,NL,150,598,34,1,0,0,-6,28,3,20,49,5,0.519,0.518,4.9,-0.6,49,$125000.00,*93,ASMVP-17
1971,37,ATL,NL,139,573,59,0,1,-5,-7,47,5.2,20,66,7.2,0.537,0.532,7.8,-1.4,72,$125000.00,39,ASMVP-3
1972,38,ATL,NL,129,545,31,1,-2,-4,-7,18,2.2,18,36,3.9,0.516,0.513,4.3,-1.2,40,$200000.00,*39,ASMVP-16
1973,39,ATL,NL,120,465,38,-1,0,-2,-4,31,3.2,15,46,4.7,0.528,0.52,4.9,-0.8,47,$200000.00,79,ASMVP-12
1974,40,ATL,NL,112,382,12,-1,1,0,-3,9,0.9,12,21,2.1,0.508,0.506,2,-0.4,21,$200000.00,7,AS
1975,41,MIL,AL,137,543,-3,-1,-1,-1,-12,-18,-1.8,19,2,0.1,0.486,0.488,0.2,-1.3,3,$240000.00,*D/7,AS
1976,42,MIL,AL,85,308,3,-1,-1,0,-7,-6,-0.7,11,5,0.4,0.492,0.496,0.5,-0.8,5,$240000.00,D/7,
23 Seasons,23 Seasons,23 Seasons,,3298,13941,877,44,-11,98,-141,866,92.9,496,1363,143,0.528,0.526,132.4,-4.6,1265,$2118500.00,,
ATL (21 yrs),ATL (21 yrs),ATL (21 yrs),,3076,13090,877,46,-9,99,-122,890,95.4,466,1356,142.5,0.531,0.529,131.8,-2.5,1257,$1638500.00,,
MIL (2 yrs),MIL (2 yrs),MIL (2 yrs),,222,851,0,-2,-2,-1,-19,-24,-2.5,31,7,0.5,0.488,0.491,0.7,-2.1,8,$480000.00,,
