Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1930,19,DET,AL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.471,0.500,0.0,0.0,0,$3000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
1933,22,DET,AL,117,499,10,1,0,3,-5,9,0.9,19,28,2.6,0.51,0.505,2.3,-0.2,25,$3600.00,*3,
1934,23,DET,AL,153,667,45,0,0,3,-7,41,3.8,25,66,6.2,0.525,0.5,6.0,-0.4,63,$5000.00,*3,MVP-6
1935,24,DET,AL,152,710,60,0,0,5,-7,58,5.2,25,83,8,0.535,0.533,7.3,-0.3,78,$10000.00,*3,MVP-1
1936,25,DET,AL,12,55,5,0,0,0,-1,5,0.4,2,7,0.6,0.533,0.502,1,-0.1,7,$25000.00,3,
1937,26,DET,AL,154,701,64,1,0,2,-7,60,5,24,84,7.7,0.535,0.533,7.6,-0.5,82,$25000.00,*3,ASMVP-3
1938,27,DET,AL,155,681,59,0,0,1,-7,53,4.7,24,77,7.0,0.530,0.529,7,-0.5,76,$30000.00,*3,ASMVP-3
1939,28,DET,AL,138,604,41,1,0,2,-6,38,3.5,22,60,5.5,0.525,0.521,5.3,-0.4,57,$35000.00,*3,ASMVP-18
1940,29,DET,AL,148,671,62,1,0,-2,-7,53,5.0,22,76,7.1,0.534,0.531,7.2,-0.8,77,$35000.00,*7,ASMVP-1
1941,30,DET,AL,19,83,2,0,0,-2,-1,0,0.0,3,3,0.3,0.499,0.500,0.5,-0,5,$55000.00,7,
,,,,,,,,,,,,,,,,,,,,,,,
1945,34,DET,AL,78,312,22,1,0,0,-3,19,2.1,9,28,3.1,0.53,0.513,3.1,-0.4,28,$10000.00,7,MVP-14
1946,35,DET,AL,142,604,42,1,0,7,-6,43,4.7,19,62,6.5,0.533,0.529,5.8,0.1,55,$55000.00,*3,MVP-8
1947,36,PIT,NL,125,510,21,1,0,-2,-5,14,2,20,34,3.4,0.511,0.5,3.6,-1,36,,*3,
13 Seasons,13 Seasons,13 Seasons,,1394,6098,434,6,0,17,-64,393,37.0,214,607,57.6,0.527,0.523,56.0,-4.4,590,$291600.00,,
,,,,,,,,,,,,,,,,,,,,,,,
DET (12 yrs),DET (12 yrs),DET (12 yrs),,1269,5588,413,5,0,19,-58,379,35.5,194,573,54.1,0.528,0.525,52.4,-3.6,554,$291600.00,,
PIT (1 yr),PIT (1 yr),PIT (1 yr),,125,510,21,1,0,-2,-5,14,1.5,20,34,3.4,0.511,0.509,3.6,-1,36,,,
