Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1954,18,WSH,AL,9,15,0,0,0,-1,0,-1,-0.1,0,0,0.0,0.492,0.500,0.1,-0.1,1,,/4,
1955,19,WSH,AL,38,89,-3,1,-1,-1,0,-4,-0.4,3,-1,-0.1,0.490,0.498,0.0,0.0,0,,5/4,
1956,20,WSH,AL,44,110,-4,1,0,-5,0,-8,-0.8,3,-5,-0.5,0.48,0.495,0.0,-0.5,0,,5/4,
1957,21,WSH,AL,9,33,1,0,0,-1,0,1,0.1,1,2,0.2,0.507,0.5,0.3,-0.1,3,,/54,
1958,22,WSH,AL,13,33,-3,0,0,1,0,-2,-0.2,1,-1,-0,0.484,0.499,-0.2,0.1,-2,,/5,
1959,23,WSH,AL,153,648,31,-1,-1,-9,3,23,2.2,20,43,4.2,0.516,0.515,5,-0.8,52,,*5/7,ASMVP-15
1960,24,WSH,AL,124,518,26,0,0,-7,-3,16,2,16,32,3.1,0.514,0.511,4.0,-1.1,39,$20000.00,35,
1961,25,MIN,AL,150,656,48,-1,0,-1,-6,40,3.7,20,59,5.7,0.527,0.525,6,-0.9,60,,*35/7,ASMVP-11
1962,26,MIN,AL,155,666,31,-2,-1,-10,-7,10,0.8,20,31,2.8,0.507,0.507,4.1,-2.0,41,,*7/3,MVP-3
1963,27,MIN,AL,142,596,34,-1,-2,0,-6,24,2.4,18,42,4.2,0.519,0.516,4.4,-0.9,42,,*7,ASMVP-4
1964,28,MIN,AL,158,682,44,0,-1,-8,-8,27,2.6,21,48,4.7,0.519,0.518,5.9,-2,56,,*7/9,ASMVP-10
1965,29,MIN,AL,113,479,27,1,-1,4,-3,26,2.9,15,41,4,0.526,0.518,4.0,0.0,37,$50000.00,35/7,ASMVP-15
1966,30,MIN,AL,162,677,47,-3,-1,-7,-1,35,3.6,22,57,5.9,0.525,0.53,7.1,-1.2,64,,537,ASMVP-4
1967,31,MIN,AL,163,689,55,-1,-2,-5,-9,39,4.2,22,61,6.5,0.528,0.528,7.3,-1.8,65,$60000.00,*3/5,ASMVP-2
1968,32,MIN,AL,100,371,15,-1,-2,2,-4,11,1.2,13,23,2.5,0.514,0.508,2.4,-0.4,21,$80000.00,35,AS
1969,33,MIN,AL,162,709,58,-2,-2,-15,-3,37,4,24,60,6.2,0.524,0.524,7.9,-2.0,75,$80000.00,53,ASMVP-1
1970,34,MIN,AL,157,665,42,-4,-5,-10,1,25,3,23,48,5,0.517,0.517,6.1,-1.1,58,$95000.00,*53,ASMVP-3
1971,35,MIN,AL,147,624,22,-3,-3,-6,-4,6,0.6,21,28,2.8,0.505,0.505,3.6,-1.2,34,$115000.00,35,ASMVP-21
1972,36,MIN,AL,139,532,21,-4,-2,0,-7,9,1,19,28,3.1,0.508,0.507,3.2,-0.9,28,$115000.00,*3,
1973,37,MIN,AL,69,290,-2,-1,-1,2,-4,-5,-0.5,10,5,0.5,0.492,0.496,0.3,-0.2,3,$110000.00,3/D,
1974,38,MIN,AL,122,382,-4,-1,-1,-1,-7,-15,-1.6,14,-1,-0.2,0.487,0.49,-0.1,-0.9,0,$100000.00,D3,
1975,39,KCR,AL,106,369,-1,-2,0,-1,-9,-13,-1.4,13,0,-0.1,0.486,0.491,0.1,-1.1,1,,D/3,
22 Seasons,22 Seasons,22 Seasons,,2435,9833,487,-24,-27,-78,-76,281,28.1,318,600,60.4,0.513,0.512,71.5,-18.7,677,$825000.00,,
MIN (21 yrs),MIN (21 yrs),MIN (21 yrs),,2329,9464,488,-22,-27,-76,-67,295,29.5,305,600,60.5,0.514,0.513,71.4,-17.6,676,$825000.00,,
KCR (1 yr),KCR (1 yr),KCR (1 yr),,106,369,-1,-2,0,-1,-9,-13,-1.4,13,0,-0.1,0.486,0.491,0.1,-1.1,1,,,
