Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1914,19,DET,AL,68,217,-3,-2,0,-3,-1,-9,-1.2,8,-1,-0.3,0.484,0.493,0.2,-0.6,2,,83/47,
,,,,,,,,,,,,,,,,,,,,,,,
1916,21,DET,AL,136,515,12,-1,0,-1,-5,6,0.6,19,25,2.6,0.51,0.504,2.8,-0.8,26,,938/47,
1917,22,DET,AL,150,623,11,-1,0,-2,-7,2,0.2,23,25,2.6,0.501,0.5,2.9,-1.1,27,,*983,
1918,23,DET,AL,79,331,12,0,0,-2,-3,7,0.8,12,19,2,0.510,0.505,2.4,-0.7,21,,93/4,
1919,24,DET,AL,140,594,25,0,0,-6,-5,13,1.5,22,35,3.8,0.510,0.509,4,-1.2,41,,*3,
1920,25,DET,AL,145,600,9,-1,0,-4,-6,-2,-0,23,21,2.0,0.499,0.499,2.4,-1.0,25,$5000.00,*39/8,
1921,26,DET,AL,149,672,61,-1,0,-6,-7,47,4.4,25,72,6.8,0.529,0.527,7,-1.2,78,$6000.00,*9/3,
1922,27,DET,AL,118,526,46,1,0,-6,-6,36,3.4,19,55,5.4,0.529,0.521,6.0,-1.2,61,$12500.00,*9/3,MVP-12
1923,28,DET,AL,144,627,74,0,0,5,-7,73,6.9,24,96,9.3,0.548,0.543,8.9,-0.2,91,$12500.00,*93,MVP-3
1924,29,DET,AL,153,682,44,2,0,2,-7,41,4.0,25,66,6.4,0.525,0.524,6.2,-0,64,$15000.00,*9/3,MVP-9
1925,30,DET,AL,150,665,57,0,0,-2,-7,48,4.4,25,73,6.9,0.529,0.527,7.1,-0.8,75,$15000.00,*9,MVP-4
1926,31,DET,AL,141,596,43,-1,0,-6,-6,30,2.9,22,53,5.2,0.52,0.518,5.8,-1.2,59,$17500.00,*9,MVP-5
1927,32,DET,AL,141,596,64,1,0,-6,-6,53,5.0,22,75,7.2,0.535,0.530,7.7,-1.2,81,$17500.00,*9,MVP-2
1928,33,DET,AL,151,632,26,1,0,-4,-7,16,2,24,40,4.0,0.510,0.5,4.3,-1,44,$18750.00,*93,MVP-15
1929,34,DET,AL,125,519,33,-1,0,-9,-5,18,1.7,19,38,3.7,0.514,0.511,4.5,-1,47,$18750.00,*9/3,
1930,35,CIN,NL,142,539,34,0,0,6,-6,35,3.0,17,51,4.6,0.521,0.518,4.2,0.0,45,,*93,
,,,,,,,,,,,,,,,,,,,,,,,
1932,37,CIN,NL,15,31,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,0.487,0.499,-0.1,0.0,-1,,/3,
17 Seasons,17 Seasons,17 Seasons,,2147,8965,547,-1,0,-44,-92,410,38.7,332,742,72.2,0.52,0.516,76.9,-14.0,785,$138500.00,,
DET (15 yrs),DET (15 yrs),DET (15 yrs),,1990,8395,515,-2,0,-50,-86,377,36.0,314,692,67.7,0.52,0.516,72.9,-13.9,741,$138500.00,,
CIN (2 yrs),CIN (2 yrs),CIN (2 yrs),,157,570,32,0,0,6,-6,33,2.8,18,50,4.5,0.518,0.517,4.1,0,44,,,
