Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1909,21,BOS,AL,81,287,2,0,0,0,-4,-2,-0.4,10,8,0.8,0.497,0.498,0.8,-0.6,8,$8000.00,7/98,
1910,22,BOS,AL,155,694,7,0,0,4,-8,3,0.2,25,28,2.9,0.503,0.503,2.6,-0.6,24,,*9/78,
1911,23,BOS,AL,130,603,20,0,0,5,-7,17,1.8,21,38,3.9,0.51,0.511,3.3,-0.1,33,,*9,
1912,24,BOS,AL,147,685,-11,0,0,3,-8,-15,-1.6,23,8,0.9,0.489,0.5,0.5,-0.5,5,,*9/7,
1913,25,BOS,AL,148,670,14,-1,0,0,-7,6,0.6,23,29,3,0.505,0.504,3.1,-0.9,29,,*9/871,MVP-24
1914,26,BOS,AL,142,595,7,1,0,10,-7,10,1.1,22,33,3.6,0.509,0.508,3,0.2,23,,*9/8,MVP-20
1915,27,BOS,AL,149,675,5,-2,0,10,-8,6,1,24,30,3.1,0.505,0.504,2.0,0.2,20,,*9,
1916,28,BOS,AL,151,671,11,3,0,8,-8,13,1.5,24,37,4.0,0.511,0.510,3,0.0,29,,*9,
1917,29,BOS,AL,151,668,12,-1,0,2,-8,6,0.7,24,30,3.2,0.505,0.504,2.9,-0.7,28,,*9,
1918,30,BOS,AL,126,564,24,0,0,6,-6,23,2.8,20,43,5.0,0.522,0.517,4.2,0.0,37,,*9,
1919,31,BOS,AL,128,588,11,0,0,6,-6,10,1.2,21,31,3.3,0.509,0.507,2.6,0,25,,*9/8,
1920,32,BOS,AL,139,634,31,-2,0,8,-7,30,3.0,23,53,5.2,0.522,0.519,4.4,0.1,45,$9000.00,*9/7,
1921,33,CHW,AL,108,485,18,1,0,0,-5,13,1.3,18,31,3.0,0.512,0.508,3.0,-0.5,31,$14250.00,*9,
1922,34,CHW,AL,152,687,15,-1,0,6,-7,13,1.2,25,38,3.7,0.509,0.508,3,-0.2,32,$14250.00,*9,
1923,35,CHW,AL,145,670,8,-3,0,-5,-7,-6,-0.7,24,18,1.8,0.50,0.5,2.3,-1,23,$14250.00,*9,
1924,36,CHW,AL,130,561,26,-1,0,8,-6,27,2.6,21,48,5,0.520,0.516,3.9,0.3,40,$10000.00,*9,
1925,37,CHW,AL,127,518,-6,0,0,6,-6,-5,-1,20,14,1.4,0.496,0.497,0.9,0.0,8,$10000.00,*9,
17 Seasons,17 Seasons,17 Seasons,,2309,10255,194,-7,0,77,-115,149,15.5,367,516,53.4,0.507,0.506,45.3,-4.4,439,$79750.00,,
BOS (12 yrs),BOS (12 yrs),BOS (12 yrs),,1647,7334,133,-3,0,62,-84,108,11.6,260,367,38.7,0.507,0.506,32,-2.8,305,$17000.00,,
CHW (5 yrs),CHW (5 yrs),CHW (5 yrs),,662,2921,61,-4,0,15,-30,42,4.0,107,149,14.7,0.506,0.505,13.3,-1.6,134,$62750.00,,
