Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1923,21,DET,AL,109,357,16,-1,0,-1,-4,10,1.0,13,24,2.3,0.509,0.506,2.5,-0.5,25,$3600.00,0,
1924,22,DET,AL,120,487,4,2,0,1,-5,2,0.3,18,20,2.1,0.502,0.501,1.9,-0.3,19,$3000.00,*7/983,
1925,23,DET,AL,99,312,0,1,0,-2,-2,-3,-0.3,12,9,0.9,0.50,0.498,1.1,-0.4,11,$5500.00,87/9,
1926,24,DET,AL,136,563,40,1,0,-6,-3,31,3.0,21,52,5.1,0.522,0.5,5.8,-0.9,58,$5500.00,*87/9,MVP-5
1927,25,DET,AL,151,659,3,0,0,-4,-4,-5,-0.4,25,20,2,0.497,0.497,2.4,-0.7,24,$5500.00,*8/7,
1928,26,SLB,AL,154,697,50,2,0,4,-7,49,4.8,25,74,7.3,0.531,0.529,7,-0.3,70,$10000.00,*7,MVP-2
1929,27,SLB,AL,142,638,25,-1,0,2,-7,20,2,23,43,4.2,0.513,0.512,4.0,-0.4,41,$13000.00,*7,
1930,28,SLB,AL,49,209,1,0,0,1,-2,0,0.0,8,8,0.8,0.500,0.500,1,-0.1,7,$13000.00,7,
1930,28,WSH,AL,88,393,23,0,0,3,-4,22,2.0,14,37,3.4,0.522,0.512,3.1,-0.1,33,,7,
1931,29,WSH,AL,146,666,5,0,0,-4,-7,-5,-0.5,24,19,1.9,0.497,0.497,2.2,-1.0,23,$14500.00,*7,
1932,30,WSH,AL,149,677,31,2,0,5,-7,31,2.8,25,55,5.1,0.519,0.517,4.7,-0,50,$12000.00,*7,MVP-3
1933,31,WSH,AL,153,704,20,1,0,4,-7,18,1.7,25,43,4.1,0.511,0.510,4,-0.3,39,$11500.00,*7,MVP-3
1934,32,WSH,AL,137,604,31,0,0,2,-6,27,2.5,23,50,4.7,0.519,0.516,4.6,-0.4,48,$11500.00,*7/8,AS
1935,33,WSH,AL,119,519,-8,1,0,0,-5,-13,-1.3,19,7,0.6,0.490,0.493,0.7,-1,7,$12000.00,*7,
1936,34,BOS,AL,82,334,-16,-1,0,-2,-3,-23,-2.0,12,-11,-1,0.476,0.488,-0.7,-0.5,-9,$10000.00,7,
1937,35,BRO,NL,132,517,17,-1,0,-5,-6,6,0.5,17,23,2.3,0.505,0.504,2.8,-1.1,28,,*9,MVP-21
1938,36,BRO,NL,17,56,-2,0,0,1,-1,-1,-0.2,2,0,0.0,0.491,0.499,-0.1,0.0,-1,,9,
1938,36,PIT,NL,15,15,1,0,0,0,0,1,0.1,0,2,0.2,0.507,0.501,0.2,0.0,1,,,
1939,37,PIT,NL,10,13,-3,0,0,0,0,-3,-0.3,0,-3,-0.3,0.469,0.498,-0.3,0.0,-2,,/9,
17 Seasons,17 Seasons,17 Seasons,,2008,8420,237,7,0,-1,-79,164,15.5,308,472,45.8,0.508,0.507,46.0,-7.7,473,$130600.00,,
WSH (6 yrs),WSH (6 yrs),WSH (6 yrs),,792,3563,101,4,0,10,-36,80,7.2,131,211,19.8,0.509,0.51,19.0,-2.4,200,$61500.00,,
DET (5 yrs),DET (5 yrs),DET (5 yrs),,615,2378,62,3,0,-12,-18,36,3.6,89,125,12.4,0.506,0.505,13.6,-2.9,137,$23100.00,,
SLB (3 yrs),SLB (3 yrs),SLB (3 yrs),,345,1544,76,2,0,7,-16,69,6.6,56,125,12.3,0.519,0.518,11.5,-0.8,118,$36000.00,,
PIT (2 yrs),PIT (2 yrs),PIT (2 yrs),,25,28,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,0.492,0.5,-0.1,0,-1,,,
BRO (2 yrs),BRO (2 yrs),BRO (2 yrs),,149,573,15,-1,0,-4,-6,5,0.4,19,23,2.3,0.503,0.503,2.8,-1.1,27,,,
BOS (1 yr),BOS (1 yr),BOS (1 yr),,82,334,-16,-1,0,-2,-3,-23,-2,12,-11,-0.9,0.476,0.488,-0.7,-0.5,-9,$10000.00,,
