Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,19,NYG,NL,17,41,-3,0,0,0,0,-4,-0.5,1,-3,-0.4,0.472,0.497,-0.4,-0.1,-3,,/38,
1916,20,NYG,NL,49,84,-6,0,0,-4,-1,-10,-1.3,3,-8,-1.0,0.473,0.492,-0.5,-0.6,-4,,0,
1917,21,NYG,NL,11,8,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,0.48,0.499,-0.2,0.0,-2,,/7349,
1917,21,PIT,NL,8,24,-3,0,0,-1,0,-4,-0.5,1,-3,-0.5,0.435,0.5,-0.3,-0.2,-2,,/3,
,,,,,,,,,,,,,,,,,,,,,,,
1919,23,NYG,NL,32,117,2,0,0,-1,-1,0,-0.1,4,3,0.3,0.498,0.500,1,-0.3,4,,3,
1920,24,NYG,NL,155,651,2,-3,0,7,-6,0,-0,20,20,2.1,0.500,0.500,1.4,0.0,13,,*3,
1921,25,NYG,NL,149,647,22,-2,0,4,-6,18,1.7,20,37,3.8,0.512,0.511,4,-0.3,33,,*3,
1922,26,NYG,NL,151,642,13,3,0,10,-7,19,1.9,20,39,3.9,0.512,0.511,2.9,0.4,29,,*3,
1923,27,NYG,NL,145,617,10,1,0,2,-7,6,0.6,19,25,2.5,0.504,0.504,2.3,-0.4,23,,*3,
1924,28,NYG,NL,144,627,31,2,0,2,-6,29,2.9,19,48,4.8,0.521,0.518,4.7,-1,46,,*3/8475,MVP-6
1925,29,NYG,NL,147,633,8,1,0,8,2,20,1.8,20,39,4,0.513,0.511,3.1,0.9,31,,*43/97,MVP-3
1926,30,NYG,NL,136,553,10,0,0,10,-5,15,1.4,17,32,3.2,0.511,0.509,2.1,0.5,22,,*34,MVP-23
1927,31,CIN,NL,61,236,-1,0,0,2,-2,-1,-0.1,7,7,0.7,0.499,0.500,0.5,0.0,5,,34/7,
1928,32,CIN,NL,116,449,2,0,0,4,-5,1,0,14,15,1.4,0.50,0.500,1.1,-0.2,10,,0,
1929,33,CIN,NL,147,632,-10,0,0,8,-7,-10,-0.9,19,10,1.0,0.494,0.494,0.4,0.1,2,,*3,
1930,34,CIN,NL,51,206,-6,0,0,1,-2,-8,-0.7,6,-1,-0,0.487,0.496,-0.1,-0.1,-2,,3,
1930,34,CHC,NL,39,178,-2,0,0,3,-2,-1,-0.1,5,4,0.4,0.498,0.499,0.2,0,1,,3,
,,,,,,,,,,,,,,,,,,,,,,,
1932,36,BRO,NL,64,226,-5,0,0,-3,-3,-10,-1.1,7,-3,-0.3,0.484,0.494,0,-0.6,0,,3/8,
16 Seasons,16 Seasons,16 Seasons,,1622,6571,61,2,0,52,-58,57,5,202,259,25.3,0.503,0.505,20.9,-1.2,207,,,
NYG (11 yrs),NYG (11 yrs),NYG (11 yrs),,1136,4620,87,2,0,38,-37,90,8.0,142,232,22.6,0.507,0.508,19.3,-0.4,193,,,
CIN (4 yrs),CIN (4 yrs),CIN (4 yrs),,375,1523,-16,0,0,15,-16,-18,-1.7,47,29,3.0,0.496,0.497,2,-0.2,14,,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,64,226,-5,0,0,-3,-3,-10,-1.1,7,-3,-0.3,0.484,0.494,0,-0.6,0,,,
CHC (1 yr),CHC (1 yr),CHC (1 yr),,39,178,-2,0,0,3,-2,-1,-0.1,5,4,0.4,0.498,0.499,0.2,0.1,1,,,
PIT (1 yr),PIT (1 yr),PIT (1 yr),,8,24,-3,0,0,-1,0,-4,-0.5,1,-3,-0.5,0.435,0.497,-0.3,-0.2,-2,,,
