Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1908,22,PHA,AL,9,33,0,0,0,1,0,2,0.2,1,3,0.4,0.524,0.501,0.2,0.2,2,,/5,
1909,23,PHA,AL,148,605,25,-1,0,-1,5,29,3.3,22,50,5.7,0.524,0.522,6.0,0.4,51,,*5,
1910,24,PHA,AL,146,625,15,-1,0,4,5,23,2.6,23,46,5.2,0.52,0.517,4.8,1.0,42,,*5,
1911,25,PHA,AL,148,660,37,1,0,-3,5,40,4.0,24,64,6.4,0.527,0.5,6.6,0.3,67,,*5,MVP-11
1912,26,PHA,AL,149,648,53,0,0,9,5,67,6.8,24,91,9,0.546,0.542,8.3,1.5,82,,*5,MVP-7
1913,27,PHA,AL,149,645,47,-1,0,-1,5,50,5.5,23,73,7.9,0.537,0.534,8,0.4,74,$8000.00,*5,MVP-5
1914,28,PHA,AL,150,637,33,-1,0,4,5,41,5,24,65,7.4,0.532,0.530,7.1,1.0,61,,*5,MVP-3
,,,,,,,,,,,,,,,,,,,,,,,
1916,30,NYY,AL,100,402,12,0,0,2,3,18,2.0,15,33,3.6,0.521,0.513,3.4,0.6,31,$9167.00,5,
1917,31,NYY,AL,146,613,11,-1,0,3,5,18,2.1,23,41,4.6,0.515,0.513,4.2,1.0,38,$9167.00,*5,
1918,32,NYY,AL,126,558,17,-1,0,3,4,23,2.8,20,43,4.9,0.522,0.517,4.6,1,40,$9167.00,*5,
1919,33,NYY,AL,141,623,6,-1,0,5,5,15,1.7,23,38,4.0,0.512,0.510,3.4,1.2,32,$12000.00,*5,
,,,,,,,,,,,,,,,,,,,,,,,
1921,35,NYY,AL,94,369,0,0,0,8,3,11,1.0,14,25,2.4,0.511,0.506,1.6,1.1,17,$13000.00,5,
1922,36,NYY,AL,69,258,-1,-1,0,1,2,1,0,10,11,1.0,0.501,0.5,1.0,0,10,$13000.00,5,
13 Seasons,13 Seasons,13 Seasons,,1575,6676,255,-5,0,35,53,337,36.9,245,582,62.8,0.524,0.521,59.4,9.7,547,$73501.00,,
,,,,,,,,,,,,,,,,,,,,,,,
PHA (7 yrs),PHA (7 yrs),PHA (7 yrs),,899,3853,211,-2,0,13,30,252,27.2,140,393,42.2,0.531,0.528,41.1,4.7,380,$8000.00,,
NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),,676,2823,44,-3,0,22,22,85,9.7,105,190,20.5,0.514,0.511,18.2,5,168,$65501.00,,
