Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1897,23,LOU,NL,62,263,9,2,0,-1,-3,7,0.5,9,16,1.4,0.509,0.503,1.5,-0.3,17,$1500.00,O/4,
1898,24,LOU,NL,151,635,11,0,0,1,2,13,1.2,22,35,3.4,0.508,0.508,3.4,0.2,34,$1650.00,354,
1899,25,LOU,NL,148,630,33,1,0,8,-1,41,3.6,22,63,5.8,0.53,0.523,5.2,0.6,55,$1950.00,5O/43,
1900,26,PIT,NL,135,580,55,1,0,2,-6,51,4.5,20,71,6.5,0.534,0.5,6.4,-0.4,69,$2100.00,*O/5431,
1901,27,PIT,NL,140,619,42,3,0,4,2,51,4.9,20,70,7,0.536,0.531,6.8,0.5,66,$2700.00,6O5/4,
1902,28,PIT,NL,136,599,36,2,0,10,-1,47,5.2,19,66,7.3,0.539,0.532,6,1.0,56,$3600.00,O63/41,
1903,29,PIT,NL,129,571,41,3,0,10,7,60,6,18,78,7.6,0.545,0.536,6.6,1.7,68,$5000.00,*6O/3,
1904,30,PIT,NL,132,558,48,5,0,-2,8,59,6.5,18,77,8.3,0.549,0.540,9,0.7,79,$5000.00,*6/O34,
1905,31,PIT,NL,147,616,48,4,0,14,10,76,8.1,20,96,10.2,0.555,0.550,8.7,2.7,82,$5000.00,*6/O,
1906,32,PIT,NL,142,590,40,4,0,10,9,63,7.3,19,82,9.3,0.552,0.546,8.3,2.3,72,$5000.00,*6/O5,
1907,33,PIT,NL,142,580,47,8,0,-5,9,59,6.9,19,78,9.0,0.549,0.543,9.7,1,83,$5000.00,*6/3,
1908,34,PIT,NL,151,640,62,4,0,1,10,77,9.4,20,97,11.5,0.562,0.558,11.4,1.4,96,$10000.00,*6,
1909,35,PIT,NL,137,590,45,1,0,7,9,62,7.3,19,80,9.2,0.55,0.544,8.2,2.0,73,$10000.00,*6/7,
1910,36,PIT,NL,150,638,23,-1,0,-1,9,30,3.3,19,49,5.2,0.522,0.520,5.3,0.9,50,$10000.00,*63/4,
1911,37,PIT,NL,130,559,37,-2,0,7,6,48,5,17,65,6.6,0.538,0.5,6.0,1,58,$10000.00,63/87,MVP-3
1912,38,PIT,NL,145,634,33,-1,0,20,10,61,6.1,19,81,8.0,0.543,0.538,6.1,3,60,$10000.00,*6,MVP-2
1913,39,PIT,NL,114,455,7,2,0,-2,7,14,1.5,14,28,2.9,0.513,0.509,3.1,0.6,30,$10000.00,*6/8,MVP-8
1914,40,PIT,NL,150,616,-3,-1,0,9,9,14,1.5,19,33,3.5,0.511,0.510,2.6,2.1,24,$10000.00,*65/3,
1915,41,PIT,NL,156,625,16,1,0,5,9,30,3.5,19,50,5.6,0.523,0.522,5.2,1.6,45,$10000.00,*643,
1916,42,PIT,NL,123,485,11,-1,0,-7,5,8,1.0,15,23,2.6,0.508,0.506,3.4,-0.2,30,$10000.00,63/4,
1917,43,PIT,NL,74,263,-1,0,0,-5,-1,-7,-0.9,8,1,-0.1,0.489,0.495,0.6,-0.7,6,$10000.00,35/46,
21 Seasons,21 Seasons,21 Seasons,,2794,11746,637,34,0,85,107,863,91.8,374,1236,130.9,0.533,0.529,123.2,21,1151,$138500.00,,
PIT (18 yrs),PIT (18 yrs),PIT (18 yrs),,2433,10218,584,31,0,77,109,802,86.5,321,1124,120.2,0.536,0.531,113.1,20.8,1046,$133400.00,,
LOU (3 yrs),LOU (3 yrs),LOU (3 yrs),,361,1528,53,2,0,8,-2,61,5.3,52,113,10.7,0.5,0.513,10.1,0.5,105,$5100.00,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,15,17,0,0,0,-2,0,-2,-0.2,1,-1,-0.1,0.488,0.499,0.1,-0.2,1,,,
CIN (1 yr),CIN (1 yr),CIN (1 yr),,55,175,-7,0,0,-3,-2,-11,-1.3,6,-5,-0.6,0.478,0.492,-0.3,-0.5,-2,,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,101,315,-6,0,0,0,0,-6,-0.7,10,4,0.3,0.493,0.496,0.4,-0.1,4,,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,19,53,3,0,0,0,0,3,0.3,2,5,0.5,0.516,0.502,0.5,0,5,,,
