Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1888,20,PIT,NL,71,292,17,0,0,-1,0,16,1.6,10,26,2.7,0.523,0.510,2.9,-0.1,27,,3,
1889,21,PIT,NL,123,557,21,-2,0,6,0,25,2.0,19,44,3.8,0.517,0.513,3.5,0.4,38,,*3/O,
1890,22,PBB,PL,124,577,38,-2,0,-2,0,35,2.7,14,48,4.0,0.52,0.516,4.0,0.0,50,,*3,
1891,23,PIT,NL,133,606,21,-2,0,8,0,26,2.1,20,46,4.1,0.518,0.5,3.6,0.6,38,,*3,
1892,24,PIT,NL,151,659,-3,1,0,12,0,10,0.8,22,32,3,0.506,0.506,2.1,1.1,20,,*3,
1893,25,PIT,NL,131,616,23,-2,0,12,0,33,2.5,20,54,4.6,0.520,0.516,4,0.9,42,,*3,
1894,26,PIT,NL,132,621,27,-2,0,3,0,28,2,21,49,4.0,0.515,0.512,3.8,0.2,46,,*3,
1895,27,PIT,NL,130,594,23,-2,0,5,0,26,2.0,20,46,4.0,0.515,0.512,4,0.4,41,,*3,
1896,28,PIT,NL,59,258,-3,-1,0,0,0,-4,-0.3,9,5,0.6,0.495,0.498,0.6,0.0,5,,3/O4,
1896,28,NYG,NL,46,197,5,0,0,1,0,6,0.5,7,13,1.2,0.511,0.503,1.1,0.1,12,,3/O,
1897,29,NYG,NL,17,73,-1,0,0,2,0,0,0.0,2,3,0.3,0.502,0.500,0.1,0,1,,3,
1897,29,CIN,NL,97,399,16,0,0,-4,0,11,0.9,14,25,2.2,0.509,0.506,2.6,-0.4,29,,*3,
1898,30,CIN,NL,118,506,6,0,0,-1,-1,4,0.3,17,21,2.1,0.503,0.502,2.3,-0.2,22,,*3,
1899,31,CIN,NL,135,583,24,-1,0,8,-2,29,2.5,20,48,4.6,0.519,0.516,4,0.6,40,,*3,
1900,32,CIN,NL,141,614,25,-2,0,4,-2,25,2.2,21,46,4.3,0.52,0.5,4.0,0,42,,*3,
1901,33,CIN,NL,140,635,23,1,0,-2,-3,18,1.7,20,38,4,0.513,0.511,4.2,-0.6,40,$2400.00,*3,
1902,34,CIN,NL,129,579,24,-1,0,0,-4,19,2,18,37,4.1,0.517,0.513,4.1,-0.5,37,$2500.00,*3/1,
1903,35,CIN,NL,120,512,17,-1,0,-2,-4,10,1.0,17,27,2.7,0.508,0.506,2.9,-0.5,29,,*3,
1904,36,STL,NL,142,610,29,-2,0,-2,-5,20,2.3,19,39,4.3,0.516,0.514,4.5,-0.7,41,,*3,
1905,37,STL,NL,134,558,7,-1,0,-7,-4,-5,-0.6,18,13,1.3,0.496,0.497,2.1,-1.2,20,,*3,
1906,38,STL,NL,87,349,-1,0,0,0,-3,-5,-0.6,11,7,0.6,0.494,0.497,0.7,-0.4,7,,3,
1907,39,STL,NL,32,122,-6,0,0,-1,-1,-8,-1.1,4,-4,-0.6,0.467,0.494,-0.5,-0.3,-3,,3,
20 Seasons,20 Seasons,20 Seasons,,2392,10517,331,-19,0,39,-31,320,26.4,342,663,61.6,0.512,0.509,59.9,-0.4,624,$4900.00,,
PIT (8 yrs),PIT (8 yrs),PIT (8 yrs),,930,4203,127,-10,0,45,-1,161,12.5,141,303,26.8,0.514,0.511,23.8,3.4,257,,,
CIN (7 yrs),CIN (7 yrs),CIN (7 yrs),,880,3828,134,-5,0,3,-17,115,10.6,126,241,23.8,0.513,0.51,24,-1.5,238,$4900.00,,
STL (4 yrs),STL (4 yrs),STL (4 yrs),,395,1639,28,-3,0,-10,-13,3,0.1,52,55,5.5,0.5,0.503,6.8,-2.5,65,,,
NYG (2 yrs),NYG (2 yrs),NYG (2 yrs),,63,270,4,0,0,3,0,7,0.5,9,16,1.4,0.508,0.502,1.2,0.2,13,,,
PBB (1 yr),PBB (1 yr),PBB (1 yr),,124,577,38,-2,0,-2,0,35,2.7,14,48,4,0.521,0.516,4,0,50,,,
