Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1925,17,PHA,AL,10,9,2,0,0,0,0,2,0.2,0,3,0.2,0.520,0.501,0.2,0.0,3,$2000.00,/2,
1926,18,PHA,AL,26,35,-1,0,0,0,0,0,0.0,1,1,0.1,0.500,0.500,0.1,0.0,1,$2500.00,0,
1927,19,PHA,AL,61,147,5,0,0,-1,-1,3,0.3,6,9,0.9,0.51,0.502,1.0,-0.2,10,$3000.00,3/2,
1928,20,PHA,AL,118,473,29,-3,0,3,1,30,3.0,18,48,4.8,0.525,0.5,4.4,0.4,45,$5000.00,532,MVP-11
1929,21,PHA,AL,149,638,61,0,0,4,-6,58,5.4,24,82,8,0.537,0.534,7.4,-0.2,78,$7500.00,*3/5,
1930,22,PHA,AL,153,674,54,-1,0,5,-7,51,4.5,25,76,7.1,0.530,0.528,7,-0.2,71,$16666.00,*3,
1931,23,PHA,AL,139,592,27,0,0,4,-5,26,3,22,49,4.6,0.518,0.515,4.2,0.0,45,$16667.00,*35/79,MVP-25
1932,24,PHA,AL,154,702,93,-2,0,5,-6,90,8.0,26,115,10.5,0.552,0.550,10,-0.1,110,$16667.00,*35,MVP-1
1933,25,PHA,AL,149,670,81,1,0,0,-7,75,6.9,25,99,9.2,0.547,0.543,9.3,-0.6,99,$16667.00,*3/6,ASMVP-1
1934,26,PHA,AL,150,652,69,2,0,8,-6,73,6.6,24,97,9.0,0.544,0.541,8.3,0.2,89,$17500.00,*3/5,ASMVP-10
1935,27,PHA,AL,147,649,66,0,0,4,-5,66,6.0,24,90,8.3,0.541,0.537,8.0,-0,86,,*32/5,ASMVP-11
1936,28,BOS,AL,155,693,49,1,0,-1,-7,43,3.6,25,67,5.9,0.524,0.522,6.1,-0.7,68,$25000.00,*37/95,ASMVP-11
1937,29,BOS,AL,150,674,22,-1,0,2,-7,16,1.5,24,40,3.8,0.51,0.509,3.6,-0.5,38,$23000.00,*3/2,AS
1938,30,BOS,AL,149,685,74,0,0,-6,-7,61,5.4,24,85,7.6,0.536,0.533,8.1,-1.1,90,$20000.00,*3,ASMVP-1
1939,31,BOS,AL,124,565,64,0,0,-2,-6,56,5,20,75,6.8,0.540,0.5,7.0,-1,77,$27500.00,*3/1,ASMVP-2
1940,32,BOS,AL,144,618,39,-2,0,-1,-3,33,3.2,21,54,5.2,0.522,0.519,5.2,-0,55,$25000.00,32/5,ASMVP-6
1941,33,BOS,AL,135,582,28,-1,0,3,-6,24,2.4,20,44,4.2,0.517,0.515,4.0,-0.2,41,$25000.00,*3/59,AS
1942,34,BOS,AL,30,120,5,0,0,3,-1,7,0.7,3,10,1.1,0.524,0.505,0.8,0,7,,3,
1942,34,CHC,NL,70,228,-8,0,0,-4,-2,-14,-1.7,7,-7,-0.9,0.476,0.490,-0.4,-0.8,-3,$15000.00,3/2,
,,,,,,,,,,,,,,,,,,,,,,,
1944,36,CHC,NL,15,22,-3,0,0,0,0,-3,-0.4,1,-3,-0.3,0.48,0.498,-0.3,0.0,-3,,/52,
1945,37,PHI,NL,89,248,3,0,0,-3,-2,-2,-0.2,8,6,0.3,0.498,0.499,0.7,-1,9,,35/1,
20 Seasons,20 Seasons,20 Seasons,,2317,9676,759,-4,0,23,-83,695,62.9,347,1042,96.1,0.527,0.525,94.2,-6,1019,$264667.00,,
PHA (11 yrs),PHA (11 yrs),PHA (11 yrs),,1256,5241,487,-2,0,32,-42,475,43.4,195,670,62.5,0.535,0.531,59.6,-1,638,$104167.00,,
BOS (7 yrs),BOS (7 yrs),BOS (7 yrs),,887,3937,281,-3,0,-2,-37,239,21.7,136,376,34.5,0.524,0.521,34.7,-3.3,378,$145500.00,,
CHC (2 yrs),CHC (2 yrs),CHC (2 yrs),,85,250,-11,0,0,-4,-2,-18,-2.1,8,-10,-1.2,0.476,0.491,-0.7,-0.8,-6,$15000.00,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,89,248,3,0,0,-3,-2,-2,-0.2,8,6,0.3,0.498,0.499,0.7,-0.5,9,,,
