Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1991,23,HOU,NL,156,650,31,2,0,1,-8,26,2.7,21,47,4.8,0.518,0.517,4.6,-0.8,46,,*3,RoY-1
1992,24,HOU,NL,162,697,26,2,-1,6,-8,24,2.7,21,44,4.7,0.517,0.517,4.0,-0.3,38,$350000.00,*3,MVP-19
1993,25,HOU,NL,142,609,34,4,-3,7,-8,35,3.6,19,53,5.4,0.53,0.522,4.5,0.0,46,$655000.00,*3,MVP-20
1994,26,HOU,NL,110,479,67,6,-1,5,-6,70,6.7,15,84,8.2,0.562,0.5,7.7,-0.1,79,$2525000.00,*3/9,ASMVP-1GGSS
1995,27,HOU,NL,114,539,30,2,0,8,-6,35,3.4,15,50,5,0.530,0.521,4.0,0.2,42,$6875000.00,*3,MVP-15
1996,28,HOU,NL,162,719,64,3,-1,2,-9,59,5.4,21,80,7.5,0.536,0.536,8,-0.9,79,$4875000.00,*3,ASMVP-9
1997,29,HOU,NL,162,717,56,2,0,9,-9,58,6,21,80,7.7,0.536,0.536,6.9,-0.1,71,$8040000.00,*3/D,ASMVP-3SS
1998,30,HOU,NL,147,661,49,2,-1,4,-8,46,4.4,20,66,6.3,0.532,0.529,6,-0.5,62,$7945000.00,*3,
1999,31,HOU,NL,162,729,65,3,-3,3,-9,59,5.3,22,81,7.4,0.534,0.534,7.3,-0.7,78,$6500000.00,*3/D,ASMVP-2SS
2000,32,HOU,NL,159,719,49,-2,-1,0,-9,37,3.3,22,59,5.4,0.522,0.522,5.5,-0.9,59,$6500000.00,*3/D,MVP-7
2001,33,HOU,NL,161,717,42,7,-2,1,-9,40,3.8,21,62,5.8,0.525,0.524,5.8,-1,60,$6500000.00,*3,MVP-7
2002,34,HOU,NL,158,691,28,1,-2,-2,-9,17,1.6,21,38,4,0.511,0.511,4.0,-1.2,40,$11000000.00,*3/D,
2003,35,HOU,NL,160,702,28,1,-3,4,-8,22,2.1,21,43,4.1,0.514,0.51,3.7,-0.5,39,$13000000.00,*3,MVP-14
2004,36,HOU,NL,156,679,20,0,0,6,-9,18,1.7,21,39,3.7,0.512,0.511,3.1,-0.4,33,$16000000.00,*3/D,
2005,37,HOU,NL,39,123,1,-3,1,2,-1,0,0.0,4,4,0.3,0.500,0.500,0.1,0.1,2,$18000000.00,3,
15 Seasons,15 Seasons,15 Seasons,,2150,9431,591,31,-17,54,-115,544,52.1,284,829,79.9,0.525,0.523,74.8,-7.2,775,$108765000.00,,
