Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1922,22,STL,NL,37,161,7,1,0,-5,-1,1,0.1,5,6,0.6,0.502,0.500,1.0,-0.6,11,,3,
1923,23,STL,NL,134,587,42,0,0,-11,-6,24,2.3,18,42,4.1,0.517,0.514,5.2,-1.7,53,,*3,
1924,24,STL,NL,137,583,22,1,0,-10,-6,7,0.6,18,25,2.4,0.51,0.504,3.6,-1.7,34,,*3/4,MVP-17
1925,25,STL,NL,153,682,45,0,0,0,-7,38,3.5,20,59,5.5,0.523,0.5,5.6,-0.7,59,,*3,MVP-7
1926,26,STL,NL,154,684,22,0,0,-3,-7,12,1.2,20,33,3,0.508,0.508,3.6,-1.1,36,,*3,
1927,27,STL,NL,152,678,28,-1,0,3,-7,23,2.3,20,43,4.4,0.516,0.515,4,-0.4,40,,*3,MVP-13
1928,28,STL,NL,149,667,50,-1,0,-9,-7,34,3,20,54,5.3,0.522,0.521,6.3,-1.6,63,,*3,MVP-1
1929,29,STL,NL,146,645,26,0,0,-6,-7,14,1.2,20,34,3.2,0.509,0.508,4,-1.1,40,,*3,
1930,30,STL,NL,131,562,1,0,0,-6,-6,-11,-1.0,17,6,0.7,0.492,0.494,1.3,-1.0,12,,*3,
1931,31,STL,NL,108,419,24,0,0,-2,-4,18,1.7,13,30,3.1,0.517,0.511,3.4,-0.7,32,,3,MVP-15
1932,32,STL,NL,91,339,6,0,0,-3,-3,0,0.0,10,10,1.1,0.500,0.500,1.4,-1,13,,3,
1933,33,CIN,NL,145,609,3,0,0,3,-7,-1,-0.2,19,18,2,0.500,0.500,1.6,-0.5,15,,*3,MVP-17
1934,34,CIN,NL,142,592,4,0,0,-8,-6,-10,-1.0,18,8,0.8,0.493,0.49,1.6,-1.4,16,,*3,
1935,35,CIN,NL,107,423,-16,0,0,0,-5,-21,-2.1,13,-8,-0.7,0.480,0.487,-0.8,-0.4,-8,,3,
1936,36,SLB,AL,140,596,-2,1,0,-15,-7,-23,-2.0,21,-2,-0.1,0.486,0.488,1.3,-1.9,13,$6500.00,*3,
1937,37,SLB,AL,65,127,-4,0,0,-1,-1,-6,-1,5,-2,-0.2,0.491,0.496,-0.1,-0.2,-1,$8000.00,3,
16 Seasons,16 Seasons,16 Seasons,,1991,8354,258,0,0,-73,-87,98,9.0,258,357,35.3,0.51,0.505,43.0,-15.8,430,$14500.00,,
,,,,,,,,,,,,,,,,,,,,,,,
STL (11 yrs),STL (11 yrs),STL (11 yrs),,1392,6007,274,-1,0,-52,-62,159,15.0,182,342,33.5,0.511,0.51,39.2,-11.4,393,,,
CIN (3 yrs),CIN (3 yrs),CIN (3 yrs),,394,1624,-9,0,0,-5,-18,-32,-3.3,50,19,2,0.492,0.494,2.5,-2.3,24,,,
SLB (2 yrs),SLB (2 yrs),SLB (2 yrs),,205,723,-7,1,0,-16,-8,-29,-2.6,26,-4,-0.2,0.487,0.49,1.3,-2.1,13,$14500.00,,
