Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1974,21,BOS,AL,24,75,-1,0,0,0,-2,-2,-0.2,3,1,0.0,0.490,0.499,0.0,-0.2,0,,D/7,
1975,22,BOS,AL,144,613,18,-1,-1,0,-9,7,0.9,22,29,3.0,0.505,0.505,3.0,-0.9,29,$27000.00,7D,MVP-3RoY-2
1976,23,BOS,AL,153,624,14,-1,-2,-1,-9,1,0.2,22,23,2.4,0.50,0.500,2.5,-1.1,24,$60000.00,7D,
1977,24,BOS,AL,160,710,41,4,-3,-2,-12,27,2.9,24,52,5.2,0.517,0.5,5.4,-1.4,54,$150000.00,*D97,ASMVP-4
1978,25,BOS,AL,163,746,49,1,-2,8,-9,48,5.2,25,73,8,0.532,0.532,6.7,-0.1,65,$125000.00,*7D9/8,ASMVP-1
1979,26,BOS,AL,158,688,47,3,-2,1,-8,41,4.1,24,65,6.4,0.526,0.525,6,-0.7,64,$639227.00,*7D/9,ASMVP-5
1980,27,BOS,AL,124,542,13,1,-3,-4,-5,2,0,18,20,2.0,0.502,0.501,2.4,-0.9,24,$639227.00,*7D/9,AS
1981,28,BOS,AL,108,495,9,-1,-2,7,-4,9,1.0,16,25,2.5,0.509,0.506,2,0.3,18,$779227.00,*7,
1982,29,BOS,AL,145,638,23,0,-5,-2,-5,10,1.1,21,31,3.0,0.507,0.507,3.4,-0.8,34,$779227.00,*7,MVP-19
1983,30,BOS,AL,155,689,31,-1,-3,12,-6,33,3.6,22,55,5.7,0.522,0.521,4.4,0.7,43,$779227.00,*7/D,ASMVP-4SS
1984,31,BOS,AL,159,708,6,1,-4,6,-6,3,0.3,23,26,2.5,0.502,0.502,1.9,0,20,$779227.00,*7/D,ASMVP-13SS
1985,32,BOS,AL,140,608,16,0,-6,-6,-5,-1,0.0,20,20,2,0.500,0.500,2.5,-1.1,26,$779227.00,*7/D,AS
1986,33,BOS,AL,157,693,32,-1,-2,10,-6,34,3.5,23,57,5.6,0.522,0.52,4.6,0.5,46,$1984423.00,*7/D,ASMVP-3
1987,34,BOS,AL,108,459,0,0,-5,-5,-5,-13,-1.3,16,2,0.2,0.488,0.492,0.7,-0.9,7,$2110000.00,7D,
1988,35,BOS,AL,135,542,2,-2,-2,0,-11,-12,-1.2,19,7,0.5,0.491,0.492,0.5,-1.1,6,$2214865.00,*D7,
1989,36,BOS,AL,56,228,-9,1,0,0,-5,-14,-1.5,8,-6,-0.7,0.473,0.491,-0.7,-0.5,-6,$2354748.00,D,
16 Seasons,16 Seasons,16 Seasons,,2089,9058,292,5,-42,24,-107,173,18.9,306,479,47.7,0.509,0.509,45.7,-8,455,$14200625.00,,
