Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1991,20,CLE,AL,27,104,-3,0,0,-2,0,-5,-0.5,4,-1,-0.1,0.483,0.497,0.1,-0.2,1,$100000.00,5,
1992,21,CLE,AL,40,131,-5,1,0,-1,1,-6,-0.6,5,-1,-0.1,0.485,0.496,0.1,-0.1,1,$110000.00,5,
1993,22,CLE,AL,47,192,6,2,0,-3,1,6,0.6,7,13,1.3,0.51,0.504,1.6,-0.2,16,$135000.00,5,
1994,23,CLE,AL,98,369,14,-1,-2,-4,1,8,0.7,14,22,2.0,0.507,0.5,2.4,-0.3,26,$325000.00,*5,
1995,24,CLE,AL,137,557,40,0,0,0,2,42,4.0,21,63,6,0.529,0.524,5.9,0.3,63,$825000.00,*5/D,
1996,25,CLE,AL,151,636,60,-4,-1,-1,2,57,5.4,24,81,7.5,0.534,0.531,7,0.4,82,$1600000.00,*5/D,MVP-15SS
1997,26,CLE,AL,147,627,47,0,-1,-6,-8,33,3,24,57,5.5,0.521,0.519,6.0,-1.2,62,$2625000.00,*3,ASMVP-6
1998,27,CLE,AL,123,537,35,-1,0,-13,-7,15,1.4,20,35,3.3,0.511,0.508,5,-1.8,47,$4800000.00,*3/D,ASMVP-21
1999,28,CLE,AL,146,629,36,-1,2,-2,-9,25,2.3,24,49,4.5,0.516,0.514,4.8,-1.1,51,$8225000.00,*3D,AS
2000,29,CLE,AL,158,684,29,0,1,6,-10,25,2.4,26,51,4.8,0.515,0.514,4.2,-0.4,45,$8175000.00,3D,
2001,30,CLE,AL,156,644,53,-1,0,-9,-9,34,3.3,24,58,5.6,0.521,0.520,6.4,-2,66,$7875000.00,*3/D,MVP-7
2002,31,CLE,AL,147,613,70,0,2,-8,-9,55,5.2,23,78,7,0.535,0.532,8.2,-1.7,86,$8000000.00,*3D,MVP-7
2003,32,PHI,NL,159,698,44,-4,2,-6,-9,28,2.6,21,49,4.7,0.518,0.52,5.3,-1.6,55,$11166667.00,*3/D,MVP-4
2004,33,PHI,NL,143,618,27,-3,0,-2,-8,14,1.3,19,33,3.2,0.510,0.509,3.4,-1.1,35,$12166667.00,*3/D,ASMVP-19
2005,34,PHI,NL,59,242,-4,-3,1,4,-3,-5,-0.6,8,3,0.2,0.491,0.497,-0.2,0.0,-1,$13166667.00,3/D,
2006,35,CHW,AL,143,610,40,-1,2,0,-13,28,2.8,22,50,4.9,0.519,0.517,4.9,-1.2,50,$14166667.00,*D/3,ASMVP-12
2007,36,CHW,AL,130,536,31,-2,0,0,-11,17,1.7,20,37,3.6,0.513,0.510,3.6,-1.1,37,$14833333.00,*D/3,
2008,37,CHW,AL,149,602,14,-1,-2,0,-13,-3,-0,23,20,2,0.498,0.498,2.0,-1.2,20,$15666666.00,*D,
2009,38,CHW,AL,107,417,11,-4,1,0,-9,-1,0,16,15,1.4,0.499,0.5,1.5,-0.9,15,$13000000.00,D,
2009,38,LAD,NL,17,17,-2,0,0,0,0,-1,-0.2,1,-1,-0.1,0.491,0.499,-0.1,0.0,-1,,,
2010,39,MIN,AL,108,340,32,-2,-1,0,-7,22,2.3,13,35,3.6,0.521,0.514,4,-0.7,35,$1500000.00,D,MVP-18
2011,40,MIN,AL,71,242,7,-1,-1,0,-5,1,0.1,9,10,1,0.501,0.5,1,-0.6,10,$3000000.00,D,
2011,40,CLE,AL,22,82,4,0,0,0,-2,3,0.3,3,6,0.6,0.512,0.502,0.6,-0.2,6,,D/5,
2012,41,PHI,NL,30,71,3,0,0,1,-1,3,0.3,2,5,0.5,0.509,0.502,0.4,0,4,$1250000.00,/D3,
2012,41,BAL,AL,28,115,0,-1,-1,0,-2,-4,-0.4,4,0,0,0.485,0.497,0,-0.3,0,,D,
22 Seasons,22 Seasons,22 Seasons,,2543,10313,587,-27,3,-45,-129,390,37.6,375,764,72.9,0.514,0.513,77.6,-16.4,810,$142711667.00,,
CLE (13 yrs),CLE (13 yrs),CLE (13 yrs),,1399,5805,385,-6,1,-42,-46,291,27.8,217,509,48,0.519,0.517,52.2,-8,551,$42795000.00,,
PHI (4 yrs),PHI (4 yrs),PHI (4 yrs),,391,1629,70,-9,3,-3,-21,40,3.6,50,89,8.5,0.51,0.51,8.9,-2.6,93,$37750001.00,,
CHW (4 yrs),CHW (4 yrs),CHW (4 yrs),,529,2165,95,-8,1,0,-46,42,4.3,81,123,12.1,0.508,0.506,12,-4.3,122,$57666666.00,,
MIN (2 yrs),MIN (2 yrs),MIN (2 yrs),,179,582,39,-3,-1,0,-13,22,2.4,22,44,4.5,0.513,0.509,4.5,-1.3,44,$4500000.00,,
LAD (1 yr),LAD (1 yr),LAD (1 yr),,17,17,-2,0,0,0,0,-1,-0.2,1,-1,-0.1,0.491,0.499,-0.1,0,-1,,,
BAL (1 yr),BAL (1 yr),BAL (1 yr),,28,115,0,-1,-1,0,-2,-4,-0.4,4,0,0,0.485,0.497,0,-0.3,0,,,
