Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1926,19,PIT,NL,38,92,-4,0,0,3,1,1,0.1,3,4,0.4,0.502,0.500,0.0,0.4,1,,4/6,
1927,20,PIT,NL,12,24,-2,0,0,-1,0,-2,-0.2,1,-2,-0.2,0.481,0.499,-0.1,-0.1,0,,/463,
1928,21,WSH,AL,63,259,-11,1,0,2,4,-4,-0.4,10,6,0.6,0.49,0.498,0.4,0.6,4,$3828.00,6,
1929,22,WSH,AL,145,601,9,-2,0,-1,10,15,1.4,23,38,3.7,0.510,0.5,3.8,0.8,39,$4000.00,*6/4,
1930,23,WSH,AL,154,686,36,0,0,20,10,67,5.9,25,92,8,0.539,0.537,6.6,2.7,72,$6000.00,*6,
1931,24,WSH,AL,156,700,25,-1,0,11,10,45,4.3,26,71,6.8,0.527,0.526,6,2.1,60,$10000.00,*6,MVP-7
1932,25,WSH,AL,143,629,25,0,0,7,9,42,4,24,66,6.1,0.527,0.524,5.5,1.5,58,$12000.00,*6,MVP-6
1933,26,WSH,AL,152,697,25,0,0,16,10,51,4.9,25,76,7.2,0.532,0.530,6,2.6,60,$18000.00,*6,ASMVP-2
1934,27,WSH,AL,127,568,3,2,0,8,9,21,1.9,21,42,3.9,0.516,0.512,3.3,1.5,34,$22000.00,*6,AS
1935,28,BOS,AL,144,630,7,0,0,-4,9,12,1.0,24,35,3.3,0.508,0.507,3.8,0.4,39,$27000.00,*6/3,AS
1936,29,BOS,AL,81,334,-9,-1,0,0,4,-6,-0.5,12,7,0.6,0.494,0.497,0.7,0,6,$27000.00,65,
1937,30,BOS,AL,148,671,18,0,0,-12,10,16,1.4,24,39,3.7,0.510,0.509,4.8,-0.2,51,$27000.00,*6,ASMVP-7
1938,31,BOS,AL,143,637,32,0,0,5,9,46,4.2,23,69,6.3,0.53,0.525,5.8,1.4,64,$27000.00,*6,ASMVP-7
1939,32,BOS,AL,143,627,23,-1,0,-10,9,22,2.0,22,44,4.1,0.514,0.512,5.0,0.0,54,$27000.00,*6,ASMVP-16
1940,33,BOS,AL,149,645,19,0,0,-9,10,20,2,22,42,4.0,0.513,0.5,4.8,0,51,$27000.00,*6/5,
1941,34,BOS,AL,143,615,30,-1,0,-6,8,31,3.1,21,52,5.1,0.521,0.519,5.7,0.2,58,$27000.00,*65/7,ASMVP-11
1942,35,BOS,AL,45,95,5,0,0,0,0,5,0.5,3,8,0.8,0.511,0.503,0.8,0,8,$27000.00,5/36,
1943,36,BOS,AL,59,88,7,0,0,0,0,7,0.8,3,10,1.1,0.514,0.505,1.1,0.0,10,$27000.00,5,MVP-27
1944,37,BOS,AL,76,231,3,-1,0,-2,-2,-3,-0.3,7,4,0.3,0.496,0.498,0.6,-1,6,$27000.00,3,
1945,38,BOS,AL,3,11,1,0,0,1,0,2,0.2,0,2,0.3,0.573,0.501,0.1,0.1,1,$25000.00,/5,
20 Seasons,20 Seasons,20 Seasons,,2124,8840,242,-4,0,28,122,388,35.9,316,704,66.4,0.517,0.515,63.8,14.3,676,$370828.00,,
BOS (11 yrs),BOS (11 yrs),BOS (11 yrs),,1134,4584,136,-5,0,-37,58,152,14.2,160,312,29.5,0.513,0.511,33,2,349,$295000.00,,
WSH (7 yrs),WSH (7 yrs),WSH (7 yrs),,940,4140,111,1,0,63,63,237,21.8,153,390,36.8,0.523,0.522,30.8,11.9,327,$75828.00,,
PIT (2 yrs),PIT (2 yrs),PIT (2 yrs),,50,116,-5,0,0,2,2,-2,-0.2,4,2,0.2,0.497,0.5,0,0.4,0,,,
